path,size_bytes,sha256
.gitattributes,300,aae5e268098ab396c21fc2fb5de1dfb3d83bfa9ec35be9de1f3e1cc19d32fb32
.github/workflows/reproducibility.yml,2296,edd03d922dec5b0467a7c5510c13fa29135acedb9265f6d14ad2cc9494887b92
.gitignore,68,c777640f39f603e517c46c775993300d64947d0d41dd574fc9e87ac060932bcc
.zenodo.json,954,cc97b8afd2836c4529baf7ec8578b7e0ad85112387dd814f4cfa11d26951ad04
AUTHOR_RELEASE_ACTIONS.md,3066,1711b322cf5b514e6eb4cda4df6b741a2ac0770aaaf7afa66f43ff0241d111f8
CAUSAL_SPECIFICITY.md,8403,e9a38a0196e83716c0d52b2ffdc325838cd72bcb5b671887dd99d5ad64df4e09
CITATION.cff,1319,3d86bedeb4a1ca0dc7c25fd13acba3edb3a9dea1fa3800329ab3af6e8a542609
CORE_RESULT_SURVIVAL.md,7894,83ba830c7ab4be1428709bc4c82c5fb37321c72a3a3ee2fa4e0b914a236aa2dc
FROZEN_CLAIMS_AND_LIMITATIONS.md,11457,2ceda724b2837ac870c202125928a988df017daa447be70781257999edc07572
FROZEN_CONTENT_INTEGRITY.md,1127,a5dad98e9056a6f42d5b0086d731d09c5c796ac6997a690970d4eda1861852eb
GENERALITY_ANALYSIS.md,7818,4edcdd1c0af0848dc3b39fe80f4b1d0ca57df1442744263b657ecae1c9af2456
LICENSE,1071,3464b3d85f0b5e9a01d6cfaec29d575d688c6581416176582ecf8d9640af67cb
PHASE_03_ENVIRONMENT.md,615,0c2aba82b6183545abfcf5be9a712053a0b2b5ddc7396f073ba7f69d191afa17
PHASE_03_HANDOFF.md,9409,4c5658bd29b45e48dfe62ff14a07b598aab42427609d2a5e4cb985d69a73d310
PHASE_04_ENVIRONMENT.md,436,7ce0f7190ed950d79945661793b324a86ef93dbf0391f9823acfb8ef0e379f57
PHASE_04_HANDOFF.md,6290,deb8430907f62db7b27cb4279c840287bddd5e4c44681a64e329407fbb9457c1
PHASE_04_PACKAGE_MANIFEST.md,1399,a66b3d4d8833c12f3fdf62263330beb4a490df322783c99b42215f1146fb9a1d
PHASE_04_PILOT_PLAN.md,6889,b4cceb8aa5c4529a206347a559493aa7495dd7e118cf3805e8ecbae3484c7c6d
PHASE_05_ENVIRONMENT.md,532,2947ba9bd95f02aef1c4d9117239cbf2e1ff4078a9bc27f854319ab96cef246e
PHASE_05_HANDOFF.md,6536,357bcc2d0f55b61992ccc77e309b0a4bf38ab8ca585a2f78c9817a1779eb86f1
PHASE_05_PACKAGE_MANIFEST.md,2525,748f5c615bf63f0de9f816de248ae7e796689e165b27c947276bf5f6d96825f8
PHASE_05_PLAN.md,6221,5aff108e955a0a0591bedc6a1a21b98fbebf774e4c452e9ec84a60dbf71beadf
PHASE_06_ENVIRONMENT.md,504,0d80b1f9e079191f0c7725c46bfc58652a09e1e27ba42a63e6774be2d69cc1d5
