figure,filename,format,size_bytes,sha256,width_inches,height_inches,width_pixels,height_pixels,resolution_dpi,colour_mode
Figure 3,FIGURE_3_PUBLICATION_GRADE.pdf,pdf,70223,1c68f74b5bdec348ce6a4705d2add9974404b11207f8d02166584a4a8eb61a43,7.20,6.18,,,vector,vector RGB
Figure 3,FIGURE_3_PUBLICATION_GRADE.svg,svg,298623,93a2c8b1c859d4630ab0cdedd11face4d36f43966f42274b523c70b9ab8bf4af,7.20,6.18,,,vector,vector RGB
Figure 3,FIGURE_3_PUBLICATION_GRADE.eps,eps,176909,25bc737665a30f534b8baf305e5f780d0bec104c88af4fe886e23e26296292be,7.20,6.18,,,vector,vector RGB
Figure 3,FIGURE_3_PUBLICATION_GRADE.png,png,657793,7b97f885ea420d24352dcc683c69b18e4fb38bd4e571e963b0a9a346b406732d,7.20,6.18,4320,3708,600,RGBA
Figure 3,FIGURE_3_PUBLICATION_GRADE.tiff,tiff,904444,064c9c55f0d3aad60447f4d0dfc8d6d1bf5e0e714338039074ff094bd16898d8,7.20,6.18,4320,3708,600,RGB
Figure 4,FIGURE_4_PUBLICATION_GRADE.pdf,pdf,35852,03cd4805dafd692508ae4000c298732e68d3133a0da41bb83d59cfc79911b70c,7.20,6.45,,,vector,vector RGB
Figure 4,FIGURE_4_PUBLICATION_GRADE.svg,svg,86866,f313f385dc6577b7e47002116c897c0668e91ac3907613a1759c18185528f7c4,7.20,6.45,,,vector,vector RGB
Figure 4,FIGURE_4_PUBLICATION_GRADE.eps,eps,119828,f42ad92b21aef233c52b80aba98a25ee768c746812a52f44846ce2934a83f7ff,7.20,6.45,,,vector,vector RGB
Figure 4,FIGURE_4_PUBLICATION_GRADE.png,png,423371,6766c4ffa01413f33c0f30e0575f7cc38eee0d0eb5acacfe82413191f1a799b4,7.20,6.45,4320,3870,600,RGBA
Figure 4,FIGURE_4_PUBLICATION_GRADE.tiff,tiff,734646,66226754b92df8a00013ad8a66a3fb301276f4cc3e3635e9609a00fcb9c5db82,7.20,6.45,4320,3870,600,RGB
Figure 5,FIGURE_5_PUBLICATION_GRADE.pdf,pdf,35338,8b7449af6ed2024f1ddf77cfd4fa70d53f7a05c0842275f69d2d6b82649bf3d2,7.20,7.42,,,vector,vector RGB
Figure 5,FIGURE_5_PUBLICATION_GRADE.svg,svg,108374,b6e1ecac950193adfc305b364028ac3ea7a31a53e7af8ab9de668e0612315994,7.20,7.42,,,vector,vector RGB
Figure 5,FIGURE_5_PUBLICATION_GRADE.eps,eps,131617,aff4bf8f3f80d9de07788c62271aee5104043838fc63159856dd031c8a098920,7.20,7.42,,,vector,vector RGB
Figure 5,FIGURE_5_PUBLICATION_GRADE.png,png,962084,d39fb653fa2e797a6bf3e6d27091e7af4cb2e8497a8aef79d960f8dfb8d825e0,7.20,7.42,4320,4452,600,RGBA
Figure 5,FIGURE_5_PUBLICATION_GRADE.tiff,tiff,1150474,70227aa34071a8dc011a36f62de37aa4f781594939e08b7c8cb3d64c7f972226,7.20,7.42,4320,4452,600,RGB
Figure 6,FIGURE_6_PUBLICATION_GRADE.pdf,pdf,29178,769ab3b721802eb796208ca225dfe88f9ce8148d146708e36f1d7666e016990b,7.20,5.20,,,vector,vector RGB
Figure 6,FIGURE_6_PUBLICATION_GRADE.svg,svg,61360,75828cab86cc4200fc0e83c2a33d95ed7891404ffe48f6c200914d5336f05e77,7.20,5.20,,,vector,vector RGB
Figure 6,FIGURE_6_PUBLICATION_GRADE.eps,eps,97280,e64aa1f6c5a90c2d9fc3727fe25158bc39957b6b8195b3dea406dd1e513782b1,7.20,5.20,,,vector,vector RGB
Figure 6,FIGURE_6_PUBLICATION_GRADE.png,png,361561,84be95a81c7fcf4fb90bed88e556be15609e6134c4285462a1d200dd5c82a216,7.20,5.20,4320,3120,600,RGBA
Figure 6,FIGURE_6_PUBLICATION_GRADE.tiff,tiff,600902,9e7af437b426f92050bac7cff9a8b89c900c39a8b0c010bef080a7ff317cee1f,7.20,5.20,4320,3120,600,RGB
Figure 7,FIGURE_7_PUBLICATION_GRADE.pdf,pdf,36051,c21746a7a7b078d73d8f12582a9dcba3b7914f123bd8ab9ff496dc05bf129c57,7.20,5.35,,,vector,vector RGB
Figure 7,FIGURE_7_PUBLICATION_GRADE.svg,svg,62360,594a85eb2eff557398ceac394cf237e92341288e3392b5c578652e5147b1c6b1,7.20,5.35,,,vector,vector RGB
Figure 7,FIGURE_7_PUBLICATION_GRADE.eps,eps,114558,a2c34412d7123bfba084dcaa4e9197f77bc0e17bd9f2948add6504283a6bd213,7.20,5.35,,,vector,vector RGB
Figure 7,FIGURE_7_PUBLICATION_GRADE.png,png,386136,7ce0af55a95b2b3bb27b37d588431e898f90a74fc2a54854f5c098b781e3625f,7.20,5.35,4320,3210,600,RGBA
Figure 7,FIGURE_7_PUBLICATION_GRADE.tiff,tiff,569744,16f60a6b3891db07e83178e26aceb3ecacfd66a2f57afa5f095e663dfb6d8d6a,7.20,5.35,4320,3210,600,RGB
