figure,filename,format,size_bytes,sha256,width_inches,height_inches,width_pixels,height_pixels,resolution_dpi,colour_mode
Figure S1,FIGURE_S1_PUBLICATION_GRADE.pdf,pdf,67421,95eb3666ff3b5283d2c160e05f2c675978e1b1354892fde1399e4597c1626631,7.20,8.65,,,vector,vector RGB
Figure S1,FIGURE_S1_PUBLICATION_GRADE.svg,svg,244696,cc80021b4fb4d38d2c9e02bf4807d051164af677465869763c252faf50e34dd2,7.20,8.65,,,vector,vector RGB
Figure S1,FIGURE_S1_PUBLICATION_GRADE.eps,eps,234629,7f0a40d7376d05ca0c0835da0e86c02b76ff4b708a49ba5733ec67e020f67fb1,7.20,8.65,,,vector,vector RGB
Figure S1,FIGURE_S1_PUBLICATION_GRADE.png,png,556968,5075fd5c4b77c4cb780a149290c70bf3bf47c5691bc50fa8c7ef9dc93b3d5c20,7.20,8.65,4320,5190,600,RGBA
Figure S1,FIGURE_S1_PUBLICATION_GRADE.tiff,tiff,1004352,f305f6cb78586a287ef671ba776a8ccd0f535125240a98df3355a1ce37a2ba02,7.20,8.65,4320,5190,600,RGB
Figure S2,FIGURE_S2_PUBLICATION_GRADE.pdf,pdf,34621,bb89aa892660b699371008aacea97a764da0a36403cfa1989f1aa9d3f8387634,7.20,7.35,,,vector,vector RGB
Figure S2,FIGURE_S2_PUBLICATION_GRADE.svg,svg,126124,e4ce183e1d3fc35e620cf99d73eb4ca5eea71ad60a9dacfebf10f40c45028e14,7.20,7.35,,,vector,vector RGB
Figure S2,FIGURE_S2_PUBLICATION_GRADE.eps,eps,135453,096d39740a7bebaa2e92073345d93777e0fb9a5d7eb4552559375b66ab251345,7.20,7.35,,,vector,vector RGB
Figure S2,FIGURE_S2_PUBLICATION_GRADE.png,png,570735,34cc4410763a58c584d4a84c591aaacef54dd83824092da9e8ff58501efa758e,7.20,7.35,4320,4410,600,RGBA
Figure S2,FIGURE_S2_PUBLICATION_GRADE.tiff,tiff,952548,f33d803223c05bf58ee286c7c8f5b15b143482ee7795f4400126ed3336fc2216,7.20,7.35,4320,4410,600,RGB
Figure S3,FIGURE_S3_PUBLICATION_GRADE.pdf,pdf,41756,405e8695670fe60c1fc5bb3d48de03c2f992ea07d02347c65cfde4abf40f733e,7.20,3.45,,,vector,vector RGB
Figure S3,FIGURE_S3_PUBLICATION_GRADE.svg,svg,135631,8774088a045dbf7c30399675018144c387ae16e0d49901bd8853d12635f177f4,7.20,3.45,,,vector,vector RGB
Figure S3,FIGURE_S3_PUBLICATION_GRADE.eps,eps,107494,4d2eceb2d4f03ccee5732c51de568e1d6ff16a20f81ae3f8cf6268468903a08d,7.20,3.45,,,vector,vector RGB
Figure S3,FIGURE_S3_PUBLICATION_GRADE.png,png,187727,e81a6363c67bf4607c9aa7ebc1ecda8166bc3a9e0d9c7aff3dd9523936ff1f52,7.20,3.45,4320,2070,600,RGBA
Figure S3,FIGURE_S3_PUBLICATION_GRADE.tiff,tiff,353018,e5ee9f5cadaf530f9b73ab082db8e26d77a9334509a813d2945452f2c0c0fc50,7.20,3.45,4320,2070,600,RGB
Figure S4,FIGURE_S4_PUBLICATION_GRADE.pdf,pdf,33955,46551857e8adf1fa14ab072a85271dbfe91e67b2c0a9abaaeef251746bb21c62,7.20,6.35,,,vector,vector RGB
Figure S4,FIGURE_S4_PUBLICATION_GRADE.svg,svg,102828,858c258b32f396c727c88b155b12d2c5cf62acb33bf6626179f788db7003174c,7.20,6.35,,,vector,vector RGB
Figure S4,FIGURE_S4_PUBLICATION_GRADE.eps,eps,110498,ab144c752a8a531ba17c3a76e2de3a83789660fddab7dab594c1296b1fee1d0a,7.20,6.35,,,vector,vector RGB
Figure S4,FIGURE_S4_PUBLICATION_GRADE.png,png,1251733,5081cc82eb6a6c93328069bc21194834b35063599a17425aba912fc2a1631b24,7.20,6.35,4320,3810,600,RGBA
Figure S4,FIGURE_S4_PUBLICATION_GRADE.tiff,tiff,1159042,dd99667f6304530f6a9b0429deca4608ff49ad547c97cee9c03bb4946ff00481,7.20,6.35,4320,3810,600,RGB
Figure S5,FIGURE_S5_PUBLICATION_GRADE.pdf,pdf,94682,7e86abec1fe8d9471cbcc897567bb4052bb9f94d33dd82c8836690a1b05f8cdf,7.20,7.45,,,vector,vector RGB
Figure S5,FIGURE_S5_PUBLICATION_GRADE.svg,svg,150708,ee6d23821bde7807eeb0f5f0be88db0b25af5743f552ffcd8dab6bd4daf6e24f,7.20,7.45,,,vector,vector RGB
Figure S5,FIGURE_S5_PUBLICATION_GRADE.eps,eps,198137,62fb5208d1e94d443dc1a05f5f78b45d8b3b8c6c4cf32f82fcdc43ee0fee1e46,7.20,7.45,,,vector,vector RGB
Figure S5,FIGURE_S5_PUBLICATION_GRADE.png,png,650898,8248b7e198b6643337bbb27b02c59052acd3acb9be023aa7216dc8f59048960b,7.20,7.45,4320,4470,600,RGBA
Figure S5,FIGURE_S5_PUBLICATION_GRADE.tiff,tiff,1606498,af6deeff22e796b314bdfa9e4d2935f985fca581fd8d4b0f14cb89567eb22718,7.20,7.45,4320,4470,600,RGB
Figure S6,FIGURE_S6_PUBLICATION_GRADE.pdf,pdf,34560,1a52ddb57c41859bb0c35205f9cfabb4a24306d6f1788093c367c2a1a8199bb7,7.20,8.05,,,vector,vector RGB
Figure S6,FIGURE_S6_PUBLICATION_GRADE.svg,svg,89111,e1527efe35b356b9f5a8cbbaf384df30a209223ad8aac299bf93a2805f41af75,7.20,8.05,,,vector,vector RGB
Figure S6,FIGURE_S6_PUBLICATION_GRADE.eps,eps,137505,51dfc1ead87ab62c6074cd7660e64963c9c98857424944d81db7892e5c3f2308,7.20,8.05,,,vector,vector RGB
Figure S6,FIGURE_S6_PUBLICATION_GRADE.png,png,399542,e8b93719fd1bb41285481e2d26b3588c4352a02de7e74c45a2d9e26f19714e64,7.20,8.05,4320,4830,600,RGBA
Figure S6,FIGURE_S6_PUBLICATION_GRADE.tiff,tiff,791034,397960a70d5b34f33ee6930a47f43762a6d1f3a5c68932e27cea3972fd7e409a,7.20,8.05,4320,4830,600,RGB
Figure S7,FIGURE_S7_PUBLICATION_GRADE.pdf,pdf,35169,f95f48a6e260884e6b65f7a2bad8ebd6e0e5198cdf4c687904318f313a2e3b3f,7.20,6.65,,,vector,vector RGB
Figure S7,FIGURE_S7_PUBLICATION_GRADE.svg,svg,84534,3c3392fd7504f5a74681d71988d19e1c0a8992a3fb0725722452c75562416ac0,7.20,6.65,,,vector,vector RGB
Figure S7,FIGURE_S7_PUBLICATION_GRADE.eps,eps,114249,1c24b1327a71430c821e5b7cf3e1822434d640d20462348af89d472d3949b786,7.20,6.65,,,vector,vector RGB
Figure S7,FIGURE_S7_PUBLICATION_GRADE.png,png,712037,82927b03d42640d825ca89e2a42d62d13f56e2bbac832452ba1d8200e0421d93,7.20,6.65,4320,3990,600,RGBA
Figure S7,FIGURE_S7_PUBLICATION_GRADE.tiff,tiff,1054618,dec226887c7387d65918d4d21f9872a361228c7426f9bd1a608b97a1b734a374,7.20,6.65,4320,3990,600,RGB
