condition,viability_def,inherit_prob,rep,method,analysis_role,k,preserved_info,viability,actual_viability,syntactic_info,meta
control,mean_future_fitness,0.1,0,balanced_random_group,primary,1,0.0,27.175553385416666,27.077246093750002,0.06712167658299861,"{""status"": ""ok""}"
control,mean_future_fitness,0.1,0,balanced_random_group,primary,2,0.0067121676582998615,27.127994791666666,27.077246093750002,0.06712167658299861,"{""status"": ""ok""}"
control,mean_future_fitness,0.1,0,balanced_random_group,primary,3,0.010638534036958613,27.078710937499995,27.077246093750002,0.06712167658299861,"{""status"": ""ok""}"
control,mean_future_fitness,0.1,0,balanced_random_group,primary,4,0.013424335316599723,27.119303385416668,27.077246093750002,0.06712167658299861,"{""status"": ""ok""}"
control,mean_future_fitness,0.1,0,balanced_random_group,primary,6,0.01735070169525848,27.174902343750002,27.077246093750002,0.06712167658299861,"{""status"": ""ok""}"
control,mean_future_fitness,0.1,0,balanced_random_group,primary,8,0.020136502974899582,27.2509765625,27.077246093750002,0.06712167658299861,"{""status"": ""ok""}"
control,mean_future_fitness,0.1,0,balanced_random_group,primary,12,0.024062869353558336,27.243359375,27.077246093750002,0.06712167658299861,"{""status"": ""ok""}"
control,mean_future_fitness,0.1,0,balanced_random_group,primary,16,0.026848670633199446,27.201399739583337,27.077246093750002,0.06712167658299861,"{""status"": ""ok""}"
control,mean_future_fitness,0.1,0,balanced_random_group,primary,24,0.030775037011858197,27.111230468749998,27.077246093750002,0.06712167658299861,"{""status"": ""ok""}"
control,mean_future_fitness,0.1,0,balanced_random_group,primary,32,0.033560838291499306,27.188248697916663,27.077246093750002,0.06712167658299861,"{""status"": ""ok""}"
control,mean_future_fitness,0.1,0,balanced_random_group,primary,48,0.03748720467015806,27.147786458333332,27.077246093750002,0.06712167658299861,"{""status"": ""ok""}"
control,mean_future_fitness,0.1,0,balanced_random_group,primary,64,0.040273005949799164,27.09703776041667,27.077246093750002,0.06712167658299861,"{""status"": ""ok""}"
control,mean_future_fitness,0.1,0,balanced_random_group,primary,96,0.04419937232845792,27.02880859375,27.077246093750002,0.06712167658299861,"{""status"": ""ok""}"
control,mean_future_fitness,0.1,0,balanced_random_group,primary,128,0.04698517360809903,27.035221354166666,27.077246093750002,0.06712167658299861,"{""status"": ""ok""}"
control,mean_future_fitness,0.1,0,affinity_rank_group,primary,1,0.0,27.19853515625,27.077246093750002,0.06712167658299861,"{""status"": ""ok""}"
control,mean_future_fitness,0.1,0,affinity_rank_group,primary,2,0.0067121676582998615,27.179361979166668,27.077246093750002,0.06712167658299861,"{""status"": ""ok""}"
