condition,viability_def,inherit_prob,rep,method,analysis_role,k,preserved_info,viability,actual_viability,syntactic_info,meta
control,negative_adjacency_state_entropy,0.1,0,balanced_random_group,primary,1,0.0,-1.341019749007271,-1.3422218040641254,0.06281457176272641,"{""status"": ""ok""}"
control,negative_adjacency_state_entropy,0.1,0,balanced_random_group,primary,2,0.006281457176272641,-1.3410429107143336,-1.3422218040641254,0.06281457176272641,"{""status"": ""ok""}"
control,negative_adjacency_state_entropy,0.1,0,balanced_random_group,primary,3,0.009955874074277936,-1.3420616399137502,-1.3422218040641254,0.06281457176272641,"{""status"": ""ok""}"
control,negative_adjacency_state_entropy,0.1,0,balanced_random_group,primary,4,0.012562914352545283,-1.338896688274975,-1.3422218040641254,0.06281457176272641,"{""status"": ""ok""}"
control,negative_adjacency_state_entropy,0.1,0,balanced_random_group,primary,6,0.016237331250550577,-1.3406098901723515,-1.3422218040641254,0.06281457176272641,"{""status"": ""ok""}"
control,negative_adjacency_state_entropy,0.1,0,balanced_random_group,primary,8,0.018844371528817922,-1.3422535044843218,-1.3422218040641254,0.06281457176272641,"{""status"": ""ok""}"
control,negative_adjacency_state_entropy,0.1,0,balanced_random_group,primary,12,0.022518788426823217,-1.3399332993834765,-1.3422218040641254,0.06281457176272641,"{""status"": ""ok""}"
control,negative_adjacency_state_entropy,0.1,0,balanced_random_group,primary,16,0.025125828705090565,-1.3399590955901237,-1.3422218040641254,0.06281457176272641,"{""status"": ""ok""}"
control,negative_adjacency_state_entropy,0.1,0,balanced_random_group,primary,24,0.028800245603095857,-1.3401285920170714,-1.3422218040641254,0.06281457176272641,"{""status"": ""ok""}"
control,negative_adjacency_state_entropy,0.1,0,balanced_random_group,primary,32,0.031407285881363205,-1.3393728738787014,-1.3422218040641254,0.06281457176272641,"{""status"": ""ok""}"
control,negative_adjacency_state_entropy,0.1,0,balanced_random_group,primary,48,0.0350817027793685,-1.3399107716718526,-1.3422218040641254,0.06281457176272641,"{""status"": ""ok""}"
control,negative_adjacency_state_entropy,0.1,0,balanced_random_group,primary,64,0.037688743057635844,-1.3395903094788433,-1.3422218040641254,0.06281457176272641,"{""status"": ""ok""}"
control,negative_adjacency_state_entropy,0.1,0,balanced_random_group,primary,96,0.041363159955641146,-1.3388438798740134,-1.3422218040641254,0.06281457176272641,"{""status"": ""ok""}"
control,negative_adjacency_state_entropy,0.1,0,balanced_random_group,primary,128,0.043970200233908484,-1.3393724571934484,-1.3422218040641254,0.06281457176272641,"{""status"": ""ok""}"
