condition,viability_def,inherit_prob,rep,method,analysis_role,k,preserved_info,viability,actual_viability,syntactic_info,meta
control,negative_fitness_distribution_entropy,0.1,0,balanced_random_group,primary,1,0.0,-4.844287813801921,-4.898177186370206,0.06464789927948442,"{""status"": ""ok""}"
control,negative_fitness_distribution_entropy,0.1,0,balanced_random_group,primary,2,0.006464789927948442,-4.920941993588684,-4.898177186370206,0.06464789927948442,"{""status"": ""ok""}"
control,negative_fitness_distribution_entropy,0.1,0,balanced_random_group,primary,3,0.010246449610838104,-4.890758592511501,-4.898177186370206,0.06464789927948442,"{""status"": ""ok""}"
control,negative_fitness_distribution_entropy,0.1,0,balanced_random_group,primary,4,0.012929579855896885,-4.904038651027097,-4.898177186370206,0.06464789927948442,"{""status"": ""ok""}"
control,negative_fitness_distribution_entropy,0.1,0,balanced_random_group,primary,6,0.016711239538786546,-4.846342470415014,-4.898177186370206,0.06464789927948442,"{""status"": ""ok""}"
control,negative_fitness_distribution_entropy,0.1,0,balanced_random_group,primary,8,0.019394369783845324,-4.893710830917448,-4.898177186370206,0.06464789927948442,"{""status"": ""ok""}"
control,negative_fitness_distribution_entropy,0.1,0,balanced_random_group,primary,12,0.023176029466734988,-4.896251694379879,-4.898177186370206,0.06464789927948442,"{""status"": ""ok""}"
control,negative_fitness_distribution_entropy,0.1,0,balanced_random_group,primary,16,0.02585915971179377,-4.917365838298185,-4.898177186370206,0.06464789927948442,"{""status"": ""ok""}"
control,negative_fitness_distribution_entropy,0.1,0,balanced_random_group,primary,24,0.029640819394683427,-4.8761539055495415,-4.898177186370206,0.06464789927948442,"{""status"": ""ok""}"
control,negative_fitness_distribution_entropy,0.1,0,balanced_random_group,primary,32,0.03232394963974221,-4.896436710097734,-4.898177186370206,0.06464789927948442,"{""status"": ""ok""}"
control,negative_fitness_distribution_entropy,0.1,0,balanced_random_group,primary,48,0.03610560932263187,-4.884215165957261,-4.898177186370206,0.06464789927948442,"{""status"": ""ok""}"
control,negative_fitness_distribution_entropy,0.1,0,balanced_random_group,primary,64,0.03878873956769065,-4.908624688084317,-4.898177186370206,0.06464789927948442,"{""status"": ""ok""}"
control,negative_fitness_distribution_entropy,0.1,0,balanced_random_group,primary,96,0.042570399250580315,-4.916842733310745,-4.898177186370206,0.06464789927948442,"{""status"": ""ok""}"
control,negative_fitness_distribution_entropy,0.1,0,balanced_random_group,primary,128,0.045253529495639086,-4.869893030829941,-4.898177186370206,0.06464789927948442,"{""status"": ""ok""}"
control,negative_fitness_distribution_entropy,0.1,0,affinity_rank_group,primary,1,0.0,-4.845620062783379,-4.898177186370206,0.06464789927948442,"{""status"": ""ok""}"
control,negative_fitness_distribution_entropy,0.1,0,affinity_rank_group,primary,2,0.006464789927948442,-4.903271460794315,-4.898177186370206,0.06464789927948442,"{""status"": ""ok""}"
control,negative_fitness_distribution_entropy,0.1,0,affinity_rank_group,primary,3,0.010246449610838104,-4.9024431316622055,-4.898177186370206,0.06464789927948442,"{""status"": ""ok""}"
control,negative_fitness_distribution_entropy,0.1,0,affinity_rank_group,primary,4,0.012929579855896885,-4.863737349249725,-4.898177186370206,0.06464789927948442,"{""status"": ""ok""}"
control,negative_fitness_distribution_entropy,0.1,0,affinity_rank_group,primary,6,0.016711239538786546,-4.923440310195593,-4.898177186370206,0.06464789927948442,"{""status"": ""ok""}"
control,negative_fitness_distribution_entropy,0.1,0,affinity_rank_group,primary,8,0.019394369783845324,-4.881683501931004,-4.898177186370206,0.06464789927948442,"{""status"": ""ok""}"
