condition,viability_def,inherit_prob,rep,method,analysis_role,k,preserved_info,viability,actual_viability,syntactic_info,meta
control,negative_local_metabolite_configuration_entropy,0.1,0,balanced_random_group,primary,1,0.0,-3.880415642085598,-3.879906551345669,0.06610146159130187,"{""status"": ""ok""}"
control,negative_local_metabolite_configuration_entropy,0.1,0,balanced_random_group,primary,2,0.006610146159130187,-3.8794975401948326,-3.879906551345669,0.06610146159130187,"{""status"": ""ok""}"
control,negative_local_metabolite_configuration_entropy,0.1,0,balanced_random_group,primary,3,0.010476833786507326,-3.881650971777043,-3.879906551345669,0.06610146159130187,"{""status"": ""ok""}"
control,negative_local_metabolite_configuration_entropy,0.1,0,balanced_random_group,primary,4,0.013220292318260374,-3.8800978052621926,-3.879906551345669,0.06610146159130187,"{""status"": ""ok""}"
control,negative_local_metabolite_configuration_entropy,0.1,0,balanced_random_group,primary,6,0.017086979945637515,-3.880160148199871,-3.879906551345669,0.06610146159130187,"{""status"": ""ok""}"
control,negative_local_metabolite_configuration_entropy,0.1,0,balanced_random_group,primary,8,0.01983043847739056,-3.8826260937812105,-3.879906551345669,0.06610146159130187,"{""status"": ""ok""}"
control,negative_local_metabolite_configuration_entropy,0.1,0,balanced_random_group,primary,12,0.0236971261047677,-3.8801885145027963,-3.879906551345669,0.06610146159130187,"{""status"": ""ok""}"
control,negative_local_metabolite_configuration_entropy,0.1,0,balanced_random_group,primary,16,0.02644058463652075,-3.8805245301699935,-3.879906551345669,0.06610146159130187,"{""status"": ""ok""}"
control,negative_local_metabolite_configuration_entropy,0.1,0,balanced_random_group,primary,24,0.030307272263897886,-3.879650929642625,-3.879906551345669,0.06610146159130187,"{""status"": ""ok""}"
control,negative_local_metabolite_configuration_entropy,0.1,0,balanced_random_group,primary,32,0.033050730795650934,-3.879909255911582,-3.879906551345669,0.06610146159130187,"{""status"": ""ok""}"
control,negative_local_metabolite_configuration_entropy,0.1,0,balanced_random_group,primary,48,0.03691741842302807,-3.880990209543679,-3.879906551345669,0.06610146159130187,"{""status"": ""ok""}"
control,negative_local_metabolite_configuration_entropy,0.1,0,balanced_random_group,primary,64,0.03966087695478112,-3.879675303870657,-3.879906551345669,0.06610146159130187,"{""status"": ""ok""}"
control,negative_local_metabolite_configuration_entropy,0.1,0,balanced_random_group,primary,96,0.043527564582158264,-3.881300910620053,-3.879906551345669,0.06610146159130187,"{""status"": ""ok""}"
