condition,viability_def,inherit_prob,rep,method,analysis_role,k,preserved_info,viability,actual_viability,syntactic_info,meta
control,negative_protocell_compositional_entropy,0.1,0,balanced_random_group,primary,1,0.0,-7.503717052166187,-7.544198300471229,0.06365352916243444,"{""status"": ""ok""}"
control,negative_protocell_compositional_entropy,0.1,0,balanced_random_group,primary,2,0.006365352916243444,-7.523141681313381,-7.544198300471229,0.06365352916243444,"{""status"": ""ok""}"
control,negative_protocell_compositional_entropy,0.1,0,balanced_random_group,primary,3,0.010088845676101911,-7.649976759309773,-7.544198300471229,0.06365352916243444,"{""status"": ""ok""}"
control,negative_protocell_compositional_entropy,0.1,0,balanced_random_group,primary,4,0.012730705832486889,-7.581704700619188,-7.544198300471229,0.06365352916243444,"{""status"": ""ok""}"
control,negative_protocell_compositional_entropy,0.1,0,balanced_random_group,primary,6,0.01645419859234536,-7.511644704619297,-7.544198300471229,0.06365352916243444,"{""status"": ""ok""}"
control,negative_protocell_compositional_entropy,0.1,0,balanced_random_group,primary,8,0.01909605874873033,-7.571843369049886,-7.544198300471229,0.06365352916243444,"{""status"": ""ok""}"
control,negative_protocell_compositional_entropy,0.1,0,balanced_random_group,primary,12,0.0228195515085888,-7.554790029670893,-7.544198300471229,0.06365352916243444,"{""status"": ""ok""}"
control,negative_protocell_compositional_entropy,0.1,0,balanced_random_group,primary,16,0.025461411664973777,-7.597033725042703,-7.544198300471229,0.06365352916243444,"{""status"": ""ok""}"
control,negative_protocell_compositional_entropy,0.1,0,balanced_random_group,primary,24,0.029184904424832243,-7.586858492867391,-7.544198300471229,0.06365352916243444,"{""status"": ""ok""}"
control,negative_protocell_compositional_entropy,0.1,0,balanced_random_group,primary,32,0.03182676458121722,-7.576187548065181,-7.544198300471229,0.06365352916243444,"{""status"": ""ok""}"
control,negative_protocell_compositional_entropy,0.1,0,balanced_random_group,primary,48,0.03555025734107568,-7.611976390993085,-7.544198300471229,0.06365352916243444,"{""status"": ""ok""}"
