condition,viability_def,inherit_prob,rep,method,analysis_role,k,preserved_info,viability,actual_viability,syntactic_info,meta
control,threshold_survival,0.1,0,balanced_random_group,primary,1,0.0,0.0,0.0,0.06449774769280762,"{""status"": ""ok""}"
control,threshold_survival,0.1,0,balanced_random_group,primary,2,0.0064497747692807625,0.0,0.0,0.06449774769280762,"{""status"": ""ok""}"
control,threshold_survival,0.1,0,balanced_random_group,primary,3,0.010222651147407454,0.0,0.0,0.06449774769280762,"{""status"": ""ok""}"
control,threshold_survival,0.1,0,balanced_random_group,primary,4,0.012899549538561525,0.0,0.0,0.06449774769280762,"{""status"": ""ok""}"
control,threshold_survival,0.1,0,balanced_random_group,primary,6,0.01667242591668822,0.0,0.0,0.06449774769280762,"{""status"": ""ok""}"
control,threshold_survival,0.1,0,balanced_random_group,primary,8,0.019349324307842287,0.0,0.0,0.06449774769280762,"{""status"": ""ok""}"
control,threshold_survival,0.1,0,balanced_random_group,primary,12,0.02312220068596898,0.0,0.0,0.06449774769280762,"{""status"": ""ok""}"
control,threshold_survival,0.1,0,balanced_random_group,primary,16,0.02579909907712305,0.0,0.0,0.06449774769280762,"{""status"": ""ok""}"
control,threshold_survival,0.1,0,balanced_random_group,primary,24,0.02957197545524974,0.0,0.0,0.06449774769280762,"{""status"": ""ok""}"
control,threshold_survival,0.1,0,balanced_random_group,primary,32,0.03224887384640381,0.0,0.0,0.06449774769280762,"{""status"": ""ok""}"
control,threshold_survival,0.1,0,balanced_random_group,primary,48,0.036021750224530504,0.0,0.0,0.06449774769280762,"{""status"": ""ok""}"
control,threshold_survival,0.1,0,balanced_random_group,primary,64,0.038698648615684575,0.0,0.0,0.06449774769280762,"{""status"": ""ok""}"
control,threshold_survival,0.1,0,balanced_random_group,primary,96,0.04247152499381127,0.0,0.0,0.06449774769280762,"{""status"": ""ok""}"
control,threshold_survival,0.1,0,balanced_random_group,primary,128,0.04514842338496534,0.0,0.0,0.06449774769280762,"{""status"": ""ok""}"
control,threshold_survival,0.1,0,affinity_rank_group,primary,1,0.0,0.0,0.0,0.06449774769280762,"{""status"": ""ok""}"
control,threshold_survival,0.1,0,affinity_rank_group,primary,2,0.0064497747692807625,0.0,0.0,0.06449774769280762,"{""status"": ""ok""}"
control,threshold_survival,0.1,0,affinity_rank_group,primary,3,0.010222651147407454,0.0,0.0,0.06449774769280762,"{""status"": ""ok""}"
