condition,viability_def,inherit_prob,rep,method,analysis_role,k,preserved_info,viability,actual_viability,syntactic_info,meta
selective,negative_protocell_compositional_entropy,0.1,0,balanced_random_group,primary,1,0.0,-7.566540849144261,-7.600403165437234,0.259127855524077,"{""status"": ""ok""}"
selective,negative_protocell_compositional_entropy,0.1,0,balanced_random_group,primary,2,0.025912785552407704,-7.5948580551517955,-7.600403165437234,0.259127855524077,"{""status"": ""ok""}"
selective,negative_protocell_compositional_entropy,0.1,0,balanced_random_group,primary,3,0.041070793389795156,-7.592555051870691,-7.600403165437234,0.259127855524077,"{""status"": ""ok""}"
selective,negative_protocell_compositional_entropy,0.1,0,balanced_random_group,primary,4,0.05182557110481541,-7.566830251168145,-7.600403165437234,0.259127855524077,"{""status"": ""ok""}"
selective,negative_protocell_compositional_entropy,0.1,0,balanced_random_group,primary,6,0.06698357894220286,-7.587994690000032,-7.600403165437234,0.259127855524077,"{""status"": ""ok""}"
selective,negative_protocell_compositional_entropy,0.1,0,balanced_random_group,primary,8,0.0777383566572231,-7.583390238407128,-7.600403165437234,0.259127855524077,"{""status"": ""ok""}"
selective,negative_protocell_compositional_entropy,0.1,0,balanced_random_group,primary,12,0.09289636449461056,-7.603401641466121,-7.600403165437234,0.259127855524077,"{""status"": ""ok""}"
selective,negative_protocell_compositional_entropy,0.1,0,balanced_random_group,primary,16,0.10365114220963081,-7.6136455302911425,-7.600403165437234,0.259127855524077,"{""status"": ""ok""}"
selective,negative_protocell_compositional_entropy,0.1,0,balanced_random_group,primary,24,0.11880915004701825,-7.575028168995101,-7.600403165437234,0.259127855524077,"{""status"": ""ok""}"
selective,negative_protocell_compositional_entropy,0.1,0,balanced_random_group,primary,32,0.1295639277620385,-7.643094210537082,-7.600403165437234,0.259127855524077,"{""status"": ""ok""}"
selective,negative_protocell_compositional_entropy,0.1,0,balanced_random_group,primary,48,0.14472193559942595,-7.621662370502854,-7.600403165437234,0.259127855524077,"{""status"": ""ok""}"
selective,negative_protocell_compositional_entropy,0.1,0,balanced_random_group,primary,64,0.1554767133144462,-7.644780196883172,-7.600403165437234,0.259127855524077,"{""status"": ""ok""}"
selective,negative_protocell_compositional_entropy,0.1,0,balanced_random_group,primary,96,0.17063472115183367,-7.530800217796788,-7.600403165437234,0.259127855524077,"{""status"": ""ok""}"
selective,negative_protocell_compositional_entropy,0.1,0,balanced_random_group,primary,128,0.1813894988668539,-7.592212274124697,-7.600403165437234,0.259127855524077,"{""status"": ""ok""}"
selective,negative_protocell_compositional_entropy,0.1,0,affinity_rank_group,primary,1,0.0,-7.5371270400258155,-7.600403165437234,0.259127855524077,"{""status"": ""ok""}"
selective,negative_protocell_compositional_entropy,0.1,0,affinity_rank_group,primary,2,0.025912785552407704,-7.593754349583374,-7.600403165437234,0.259127855524077,"{""status"": ""ok""}"
selective,negative_protocell_compositional_entropy,0.1,0,affinity_rank_group,primary,3,0.041070793389795156,-7.583580315015846,-7.600403165437234,0.259127855524077,"{""status"": ""ok""}"
selective,negative_protocell_compositional_entropy,0.1,0,affinity_rank_group,primary,4,0.05182557110481541,-7.613589937158721,-7.600403165437234,0.259127855524077,"{""status"": ""ok""}"
selective,negative_protocell_compositional_entropy,0.1,0,affinity_rank_group,primary,6,0.06698357894220286,-7.595949649288231,-7.600403165437234,0.259127855524077,"{""status"": ""ok""}"
selective,negative_protocell_compositional_entropy,0.1,0,affinity_rank_group,primary,8,0.0777383566572231,-7.567522013558916,-7.600403165437234,0.259127855524077,"{""status"": ""ok""}"
selective,negative_protocell_compositional_entropy,0.1,0,affinity_rank_group,primary,12,0.09289636449461056,-7.572204364346725,-7.600403165437234,0.259127855524077,"{""status"": ""ok""}"
selective,negative_protocell_compositional_entropy,0.1,0,affinity_rank_group,primary,16,0.10365114220963081,-7.624338043620472,-7.600403165437234,0.259127855524077,"{""status"": ""ok""}"
