condition,viability_def,inherit_prob,rep,method,analysis_role,k,preserved_info,viability,actual_viability,syntactic_info,meta
selective,threshold_survival,0.1,0,balanced_random_group,primary,1,0.0,0.0,1.0,0.26797584694458915,"{""status"": ""ok""}"
selective,threshold_survival,0.1,0,balanced_random_group,primary,2,0.026797584694458917,0.0,1.0,0.26797584694458915,"{""status"": ""ok""}"
selective,threshold_survival,0.1,0,balanced_random_group,primary,3,0.04247316685061658,0.0,1.0,0.26797584694458915,"{""status"": ""ok""}"
selective,threshold_survival,0.1,0,balanced_random_group,primary,4,0.053595169388917833,0.0,1.0,0.26797584694458915,"{""status"": ""ok""}"
selective,threshold_survival,0.1,0,balanced_random_group,primary,6,0.0692707515450755,0.0,1.0,0.26797584694458915,"{""status"": ""ok""}"
selective,threshold_survival,0.1,0,balanced_random_group,primary,8,0.08039275408337675,0.0,1.0,0.26797584694458915,"{""status"": ""ok""}"
selective,threshold_survival,0.1,0,balanced_random_group,primary,12,0.09606833623953441,0.0,1.0,0.26797584694458915,"{""status"": ""ok""}"
selective,threshold_survival,0.1,0,balanced_random_group,primary,16,0.10719033877783567,0.0,1.0,0.26797584694458915,"{""status"": ""ok""}"
selective,threshold_survival,0.1,0,balanced_random_group,primary,24,0.12286592093399332,0.0,1.0,0.26797584694458915,"{""status"": ""ok""}"
selective,threshold_survival,0.1,0,balanced_random_group,primary,32,0.13398792347229457,0.0,1.0,0.26797584694458915,"{""status"": ""ok""}"
selective,threshold_survival,0.1,0,balanced_random_group,primary,48,0.14966350562845224,0.0,1.0,0.26797584694458915,"{""status"": ""ok""}"
selective,threshold_survival,0.1,0,balanced_random_group,primary,64,0.1607855081667535,0.0,1.0,0.26797584694458915,"{""status"": ""ok""}"
selective,threshold_survival,0.1,0,balanced_random_group,primary,96,0.17646109032291116,0.0,1.0,0.26797584694458915,"{""status"": ""ok""}"
selective,threshold_survival,0.1,0,balanced_random_group,primary,128,0.18758309286121239,0.0,1.0,0.26797584694458915,"{""status"": ""ok""}"
selective,threshold_survival,0.1,0,affinity_rank_group,primary,1,0.0,0.0,1.0,0.26797584694458915,"{""status"": ""ok""}"
selective,threshold_survival,0.1,0,affinity_rank_group,primary,2,0.026797584694458917,0.0,1.0,0.26797584694458915,"{""status"": ""ok""}"
selective,threshold_survival,0.1,0,affinity_rank_group,primary,3,0.04247316685061658,0.0,1.0,0.26797584694458915,"{""status"": ""ok""}"
selective,threshold_survival,0.1,0,affinity_rank_group,primary,4,0.053595169388917833,0.0,1.0,0.26797584694458915,"{""status"": ""ok""}"
selective,threshold_survival,0.1,0,affinity_rank_group,primary,6,0.0692707515450755,0.0,1.0,0.26797584694458915,"{""status"": ""ok""}"
selective,threshold_survival,0.1,0,affinity_rank_group,primary,8,0.08039275408337675,0.0,1.0,0.26797584694458915,"{""status"": ""ok""}"
