condition,viability_def,inherit_prob,analysis_set,methods,syntactic_info_mean,semantic_info_mean,semantic_efficiency_mean,value_of_information_mean,actual_viability_mean,frontier_max_viability,frontier_reaches_target,n_intervention_points
control,excess_over_control,0.1,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.06381274258623032,0.0,0.0,0.30979003906250213,0.0064697265625,0.2916992187500007,True,504
control,excess_over_control,0.2,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.0645675557812929,0.0,0.0,0.2900661892361107,0.019070095486110716,0.32327473958333286,True,504
control,excess_over_control,0.3,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.06662446538188953,0.0,0.0,0.36187608506944385,0.039317491319444585,0.34697265624999574,True,504
control,excess_over_control,0.4,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.06934889774218271,0.0,0.0,0.32231987847222027,-0.0461697048611119,0.3666666666666636,True,504
control,excess_over_control,0.5,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.07520133721368207,0.0,0.0,0.2949055989583303,0.031038411458333155,0.3169596354166657,True,504
control,excess_over_control,0.6,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.08261803306456411,0.0,0.0,0.32765570746527484,-0.016419813368057312,0.24723307291666075,True,504
control,excess_over_control,0.7,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.09800103058571168,0.0,0.0,0.3309027777777782,0.008865017361111782,0.3180338541666643,True,504
control,excess_over_control,0.8,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.1300643968532897,0.0,0.0,0.3154866536458325,-0.039689127604168206,0.3989908854166728,True,504
control,excess_over_control,0.9,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.21153765937664412,0.0,0.0,0.353314887152773,0.04390733506944441,0.394628906249995,True,504
control,excess_over_control,1.0,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.4753794860799237,0.0,0.0,0.3079671223958342,0.028474934895833453,0.30367838541666714,True,504
