condition,viability_def,inherit_prob,analysis_set,methods,syntactic_info_mean,semantic_info_mean,semantic_efficiency_mean,value_of_information_mean,actual_viability_mean,frontier_max_viability,frontier_reaches_target,n_intervention_points
control,excess_over_control,0.1,kmeans_profile_only_mechanistic,kmeans_profile,0.06381274258623032,,,0.3102457682291657,0.0064697265625,,False,168
control,excess_over_control,0.2,kmeans_profile_only_mechanistic,kmeans_profile,0.0645675557812929,,,0.33599717881944,0.019070095486110716,,False,168
control,excess_over_control,0.3,kmeans_profile_only_mechanistic,kmeans_profile,0.06662446538188953,,,0.32476671006944385,0.039317491319444585,,False,168
control,excess_over_control,0.4,kmeans_profile_only_mechanistic,kmeans_profile,0.06934889774218271,,,0.36486545138888954,-0.0461697048611119,,False,168
control,excess_over_control,0.5,kmeans_profile_only_mechanistic,kmeans_profile,0.07520133721368207,,,0.2948079427083317,0.031038411458333155,,False,168
control,excess_over_control,0.6,kmeans_profile_only_mechanistic,kmeans_profile,0.08261803306456411,,,0.2915554470486077,-0.016419813368057312,,False,168
control,excess_over_control,0.7,kmeans_profile_only_mechanistic,kmeans_profile,0.09800103058571168,,,0.2684353298611146,0.008865017361111782,,False,168
control,excess_over_control,0.8,kmeans_profile_only_mechanistic,kmeans_profile,0.1300643968532897,,,0.27482910156250107,-0.039689127604168206,,False,168
control,excess_over_control,0.9,kmeans_profile_only_mechanistic,kmeans_profile,0.21153765937664412,,,0.4491156684027751,0.04390733506944441,,False,168
control,excess_over_control,1.0,kmeans_profile_only_mechanistic,kmeans_profile,0.4753794860799237,,,0.34995930989583773,0.028474934895833453,,False,168
