condition,viability_def,inherit_prob,analysis_set,methods,syntactic_info_mean,semantic_info_mean,semantic_efficiency_mean,value_of_information_mean,actual_viability_mean,frontier_max_viability,frontier_reaches_target,n_intervention_points
control,mean_future_fitness,0.1,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.06427135983404421,0.0,0.0,0.26064453124999787,27.133365885416666,27.421647135416666,True,672
control,mean_future_fitness,0.2,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.06386419563123351,0.0,0.0,0.22545301649305927,27.125453016493054,27.403157552083332,True,672
control,mean_future_fitness,0.3,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.06578801551479714,0.0,0.0,0.2699191623263886,27.17001681857639,27.40540364583333,True,672
control,mean_future_fitness,0.4,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.0690457046661536,0.0,0.0,0.22165798611111143,27.125238715277774,27.41956380208333,True,672
control,mean_future_fitness,0.5,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.0763153700609886,0.0,0.0,0.26509331597222996,27.170952690972225,27.35712890625,True,672
control,mean_future_fitness,0.6,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.08340643630591277,0.0,0.0,0.23492024739583783,27.14423014322917,27.44641927083333,True,672
control,mean_future_fitness,0.7,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.09792363271142261,0.0,0.0,0.29175618489583854,27.170434570312505,27.375162760416668,True,672
control,mean_future_fitness,0.8,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.1285482552973781,0.0,0.0,0.3200792100694372,27.160964626736106,27.38024088541667,True,672
control,mean_future_fitness,0.9,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.21501410668553644,0.0,0.0,0.2030029296875,27.1158935546875,27.369889322916663,True,672
control,mean_future_fitness,1.0,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.4817044803925395,0.0,0.0,0.260291883680555,27.13320855034722,27.382421874999995,True,672
