condition,viability_def,inherit_prob,analysis_set,methods,syntactic_info_mean,semantic_info_mean,semantic_efficiency_mean,value_of_information_mean,actual_viability_mean,frontier_max_viability,frontier_reaches_target,n_intervention_points
control,mean_future_fitness,0.1,kmeans_profile_only_mechanistic,kmeans_profile,0.06427135983404421,,,0.20253906249999787,27.133365885416666,,False,168
control,mean_future_fitness,0.2,kmeans_profile_only_mechanistic,kmeans_profile,0.06386419563123351,,,0.1869764539930543,27.125453016493054,,False,168
control,mean_future_fitness,0.3,kmeans_profile_only_mechanistic,kmeans_profile,0.06578801551479714,,,0.2699191623263886,27.17001681857639,,False,168
control,mean_future_fitness,0.4,kmeans_profile_only_mechanistic,kmeans_profile,0.0690457046661536,,,0.20704210069443718,27.125238715277774,,False,168
control,mean_future_fitness,0.5,kmeans_profile_only_mechanistic,kmeans_profile,0.0763153700609886,,,0.25428602430555713,27.170952690972225,,False,168
control,mean_future_fitness,0.6,kmeans_profile_only_mechanistic,kmeans_profile,0.08340643630591277,,,0.2043863932291643,27.14423014322917,,False,168
control,mean_future_fitness,0.7,kmeans_profile_only_mechanistic,kmeans_profile,0.09792363271142261,,,0.2080647786458414,27.170434570312505,,False,168
control,mean_future_fitness,0.8,kmeans_profile_only_mechanistic,kmeans_profile,0.1285482552973781,,,0.27082790798610645,27.160964626736106,,False,168
control,mean_future_fitness,0.9,kmeans_profile_only_mechanistic,kmeans_profile,0.21501410668553644,,,0.1964599609374993,27.1158935546875,,False,168
control,mean_future_fitness,1.0,kmeans_profile_only_mechanistic,kmeans_profile,0.4817044803925395,,,0.22074110243055145,27.13320855034722,,False,168
