condition,viability_def,inherit_prob,analysis_set,methods,syntactic_info_mean,semantic_info_mean,semantic_efficiency_mean,value_of_information_mean,actual_viability_mean,frontier_max_viability,frontier_reaches_target,n_intervention_points
control,negative_adjacency_state_entropy,0.1,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.06364119384233012,0.0,0.0,0.00323933868612003,-1.3397356013780415,-1.3369392863265173,True,504
control,negative_adjacency_state_entropy,0.2,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.06434012493695752,0.0,0.0,0.002615244856303711,-1.3398516175731305,-1.337623416761882,True,504
control,negative_adjacency_state_entropy,0.3,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.06718592229589171,0.0,0.0,0.002857546147997825,-1.3398966415863451,-1.337679735607864,True,504
control,negative_adjacency_state_entropy,0.4,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.06960380125574961,0.0,0.0,0.002615411426943659,-1.3397253166612142,-1.337172066000402,True,504
control,negative_adjacency_state_entropy,0.5,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.0752716029594157,0.0,0.0,0.002674052526208337,-1.340124031319905,-1.3373613599538756,True,504
control,negative_adjacency_state_entropy,0.6,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.08195906459904244,0.0,0.0,0.0022051705178136594,-1.3401681888947727,-1.3364887424062213,True,504
control,negative_adjacency_state_entropy,0.7,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.09832478602946726,0.0,0.0,0.002636552924429436,-1.340012687878002,-1.3377304839646933,True,504
control,negative_adjacency_state_entropy,0.8,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.12924109220713836,0.0,0.0,0.003206980612603383,-1.3396605865998303,-1.336918080814601,True,504
control,negative_adjacency_state_entropy,0.9,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.21294599159845432,0.0,0.0,0.00267792092735597,-1.3398422011705344,-1.3368256213417782,True,504
control,negative_adjacency_state_entropy,1.0,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.4792030596485935,0.0,0.0,0.002183268245721681,-1.3399849275666718,-1.3371966746518686,True,504
