condition,viability_def,inherit_prob,analysis_set,methods,syntactic_info_mean,semantic_info_mean,semantic_efficiency_mean,value_of_information_mean,actual_viability_mean,frontier_max_viability,frontier_reaches_target,n_intervention_points
control,negative_adjacency_state_entropy,0.1,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.06364119384233012,0.0,0.0,0.00323933868612003,-1.3397356013780415,-1.3369392863265173,True,672
control,negative_adjacency_state_entropy,0.2,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.06434012493695752,0.0,0.0,0.002615244856303711,-1.3398516175731305,-1.3375714220790498,True,672
control,negative_adjacency_state_entropy,0.3,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.06718592229589171,0.0,0.0,0.002857546147997825,-1.3398966415863451,-1.337508921557957,True,672
control,negative_adjacency_state_entropy,0.4,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.06960380125574961,0.0,0.0,0.00286921252972161,-1.3397253166612142,-1.337172066000402,True,672
control,negative_adjacency_state_entropy,0.5,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.0752716029594157,0.0,0.0,0.002674052526208337,-1.340124031319905,-1.3373613599538756,True,672
control,negative_adjacency_state_entropy,0.6,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.08195906459904244,0.0,0.0,0.0022528720353769405,-1.3401681888947727,-1.3364887424062213,True,672
control,negative_adjacency_state_entropy,0.7,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.09832478602946726,0.0,0.0,0.002636552924429436,-1.340012687878002,-1.337017696771489,True,672
control,negative_adjacency_state_entropy,0.8,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.12924109220713836,0.0,0.0,0.003206980612603383,-1.3396605865998303,-1.336918080814601,True,672
control,negative_adjacency_state_entropy,0.9,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.21294599159845432,0.0,0.0,0.00267792092735597,-1.3398422011705344,-1.3368256213417782,True,672
control,negative_adjacency_state_entropy,1.0,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.4792030596485935,0.0,0.0,0.002183268245721681,-1.3399849275666718,-1.3371966746518686,True,672
