condition,viability_def,inherit_prob,analysis_set,methods,syntactic_info_mean,semantic_info_mean,semantic_efficiency_mean,value_of_information_mean,actual_viability_mean,frontier_max_viability,frontier_reaches_target,n_intervention_points
control,negative_adjacency_state_entropy,0.1,kmeans_profile_only_mechanistic,kmeans_profile,0.06364119384233012,,,0.0025445562586803305,-1.3397356013780415,,False,168
control,negative_adjacency_state_entropy,0.2,kmeans_profile_only_mechanistic,kmeans_profile,0.06434012493695752,,,0.0016923615476400755,-1.3398516175731305,,False,168
control,negative_adjacency_state_entropy,0.3,kmeans_profile_only_mechanistic,kmeans_profile,0.06718592229589171,,,0.0024264943354326274,-1.3398966415863451,,False,168
control,negative_adjacency_state_entropy,0.4,kmeans_profile_only_mechanistic,kmeans_profile,0.06960380125574961,,,0.00286921252972161,-1.3397253166612142,,False,168
control,negative_adjacency_state_entropy,0.5,kmeans_profile_only_mechanistic,kmeans_profile,0.0752716029594157,,,0.002122579990457174,-1.340124031319905,,False,168
control,negative_adjacency_state_entropy,0.6,kmeans_profile_only_mechanistic,kmeans_profile,0.08195906459904244,,,0.0022528720353769405,-1.3401681888947727,,False,168
control,negative_adjacency_state_entropy,0.7,kmeans_profile_only_mechanistic,kmeans_profile,0.09832478602946726,,,0.0022107185811095498,-1.340012687878002,,False,168
control,negative_adjacency_state_entropy,0.8,kmeans_profile_only_mechanistic,kmeans_profile,0.12924109220713836,,,0.0022791563024338046,-1.3396605865998303,,False,168
control,negative_adjacency_state_entropy,0.9,kmeans_profile_only_mechanistic,kmeans_profile,0.21294599159845432,,,0.0026316990892736314,-1.3398422011705344,,False,168
control,negative_adjacency_state_entropy,1.0,kmeans_profile_only_mechanistic,kmeans_profile,0.4792030596485935,,,0.0019834102600109205,-1.3399849275666718,,False,168
