condition,viability_def,inherit_prob,analysis_set,methods,syntactic_info_mean,semantic_info_mean,semantic_efficiency_mean,value_of_information_mean,actual_viability_mean,frontier_max_viability,frontier_reaches_target,n_intervention_points
control,negative_fitness_distribution_entropy,0.1,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.06377604767271626,0.0,0.0,0.0854888751593137,-4.884020265356438,-4.830448113109175,True,672
control,negative_fitness_distribution_entropy,0.2,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.06463552939088736,0.0,0.0,0.07128196498344597,-4.891943145062231,-4.818866974450066,True,672
control,negative_fitness_distribution_entropy,0.3,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.06659975351271401,0.0,0.0,0.06928904675634495,-4.8909564832048895,-4.805904370468218,True,672
control,negative_fitness_distribution_entropy,0.4,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.06962751261141711,0.0,0.0,0.06406860302629536,-4.893882232028157,-4.816733632431671,True,672
control,negative_fitness_distribution_entropy,0.5,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.07522471332405341,0.0,0.0,0.06378221724961097,-4.895978089190585,-4.820083588507583,True,672
control,negative_fitness_distribution_entropy,0.6,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.0819363776511758,0.0,0.0,0.08124749456899227,-4.888036872897499,-4.8239404731297775,True,672
control,negative_fitness_distribution_entropy,0.7,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.09854588221025161,0.0,0.0,0.05573119507620117,-4.8907742942778745,-4.809237720061584,True,672
control,negative_fitness_distribution_entropy,0.8,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.12891469758881272,0.0,0.0,0.08944268835136171,-4.875256113240662,-4.800429588671301,True,672
control,negative_fitness_distribution_entropy,0.9,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.21376702859720087,0.0,0.0,0.059081925587676665,-4.892943488553631,-4.831217048294822,True,672
control,negative_fitness_distribution_entropy,1.0,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.48196617945276676,0.0,0.0,0.09207643604149762,-4.892469675221861,-4.812318503092558,True,672
