condition,viability_def,inherit_prob,analysis_set,methods,syntactic_info_mean,semantic_info_mean,semantic_efficiency_mean,value_of_information_mean,actual_viability_mean,frontier_max_viability,frontier_reaches_target,n_intervention_points
control,negative_fitness_distribution_entropy,0.1,kmeans_profile_only_mechanistic,kmeans_profile,0.06377604767271626,,,0.0854888751593137,-4.884020265356438,,False,168
control,negative_fitness_distribution_entropy,0.2,kmeans_profile_only_mechanistic,kmeans_profile,0.06463552939088736,,,0.07128196498344597,-4.891943145062231,,False,168
control,negative_fitness_distribution_entropy,0.3,kmeans_profile_only_mechanistic,kmeans_profile,0.06659975351271401,,,0.056209881038681964,-4.8909564832048895,,False,168
control,negative_fitness_distribution_entropy,0.4,kmeans_profile_only_mechanistic,kmeans_profile,0.06962751261141711,,,0.06128466747519834,-4.893882232028157,,False,168
control,negative_fitness_distribution_entropy,0.5,kmeans_profile_only_mechanistic,kmeans_profile,0.07522471332405341,,,0.055474682802009845,-4.895978089190585,,False,168
control,negative_fitness_distribution_entropy,0.6,kmeans_profile_only_mechanistic,kmeans_profile,0.0819363776511758,,,0.0637941705594871,-4.888036872897499,,False,168
control,negative_fitness_distribution_entropy,0.7,kmeans_profile_only_mechanistic,kmeans_profile,0.09854588221025161,,,0.048583168882762706,-4.8907742942778745,,False,168
control,negative_fitness_distribution_entropy,0.8,kmeans_profile_only_mechanistic,kmeans_profile,0.12891469758881272,,,0.08944268835136171,-4.875256113240662,,False,168
control,negative_fitness_distribution_entropy,0.9,kmeans_profile_only_mechanistic,kmeans_profile,0.21376702859720087,,,0.059081925587676665,-4.892943488553631,,False,168
control,negative_fitness_distribution_entropy,1.0,kmeans_profile_only_mechanistic,kmeans_profile,0.48196617945276676,,,0.05497339991585104,-4.892469675221861,,False,168
