condition,viability_def,inherit_prob,analysis_set,methods,syntactic_info_mean,semantic_info_mean,semantic_efficiency_mean,value_of_information_mean,actual_viability_mean,frontier_max_viability,frontier_reaches_target,n_intervention_points
control,negative_local_metabolite_configuration_entropy,0.1,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.06454817580537486,0.0,0.0,0.002337299184958841,-3.880377257810917,-3.8783277393107167,True,672
control,negative_local_metabolite_configuration_entropy,0.2,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.06442448889243459,0.0,0.0,0.0024144925227327363,-3.8804506974330515,-3.877962229767988,True,672
control,negative_local_metabolite_configuration_entropy,0.3,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.06604624990329284,0.0,0.0,0.0025398047545683866,-3.88057361853476,-3.8777895684608366,True,672
control,negative_local_metabolite_configuration_entropy,0.4,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.0697208289698003,0.0,0.0,0.002235204349309239,-3.8802465953100156,-3.878259045562081,True,672
control,negative_local_metabolite_configuration_entropy,0.5,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.07559962737881,0.0,0.0,0.0022963713407517794,-3.8802618471281165,-3.878001446717951,True,672
control,negative_local_metabolite_configuration_entropy,0.6,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.08338973816362759,0.0,0.0,0.0021789224516823857,-3.880487131146722,-3.8772840184635697,True,672
control,negative_local_metabolite_configuration_entropy,0.7,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.09821633542064694,0.0,0.0,0.0019516936632490989,-3.880393868543503,-3.878069416106447,True,672
control,negative_local_metabolite_configuration_entropy,0.8,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.12839356649385722,0.0,0.0,0.002222043509738647,-3.880569866611717,-3.877761325767991,True,672
control,negative_local_metabolite_configuration_entropy,0.9,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.21464066797877643,0.0,0.0,0.00217350825122109,-3.88019730490551,-3.8777362325856277,True,672
control,negative_local_metabolite_configuration_entropy,1.0,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.4814794357487819,0.0,0.0,0.0025727753761555228,-3.880401193057343,-3.877850692191024,True,672
