condition,viability_def,inherit_prob,analysis_set,methods,syntactic_info_mean,semantic_info_mean,semantic_efficiency_mean,value_of_information_mean,actual_viability_mean,frontier_max_viability,frontier_reaches_target,n_intervention_points
control,negative_local_metabolite_configuration_entropy,0.1,kmeans_profile_only_mechanistic,kmeans_profile,0.06454817580537486,,,0.0022908221618633817,-3.880377257810917,,False,168
control,negative_local_metabolite_configuration_entropy,0.2,kmeans_profile_only_mechanistic,kmeans_profile,0.06442448889243459,,,0.002110525086024051,-3.8804506974330515,,False,168
control,negative_local_metabolite_configuration_entropy,0.3,kmeans_profile_only_mechanistic,kmeans_profile,0.06604624990329284,,,0.0025398047545683866,-3.88057361853476,,False,168
control,negative_local_metabolite_configuration_entropy,0.4,kmeans_profile_only_mechanistic,kmeans_profile,0.0697208289698003,,,0.002232528347606344,-3.8802465953100156,,False,168
control,negative_local_metabolite_configuration_entropy,0.5,kmeans_profile_only_mechanistic,kmeans_profile,0.07559962737881,,,0.0020367061009580745,-3.8802618471281165,,False,168
control,negative_local_metabolite_configuration_entropy,0.6,kmeans_profile_only_mechanistic,kmeans_profile,0.08338973816362759,,,0.002093806732333281,-3.880487131146722,,False,168
control,negative_local_metabolite_configuration_entropy,0.7,kmeans_profile_only_mechanistic,kmeans_profile,0.09821633542064694,,,0.001925472005793516,-3.880393868543503,,False,168
control,negative_local_metabolite_configuration_entropy,0.8,kmeans_profile_only_mechanistic,kmeans_profile,0.12839356649385722,,,0.0016139523671849787,-3.880569866611717,,False,168
control,negative_local_metabolite_configuration_entropy,0.9,kmeans_profile_only_mechanistic,kmeans_profile,0.21464066797877643,,,0.002143350776147912,-3.88019730490551,,False,168
control,negative_local_metabolite_configuration_entropy,1.0,kmeans_profile_only_mechanistic,kmeans_profile,0.4814794357487819,,,0.0025727753761555228,-3.880401193057343,,False,168
