condition,viability_def,inherit_prob,analysis_set,methods,syntactic_info_mean,semantic_info_mean,semantic_efficiency_mean,value_of_information_mean,actual_viability_mean,frontier_max_viability,frontier_reaches_target,n_intervention_points
control,negative_protocell_compositional_entropy,0.1,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.06441488023997503,0.0,0.0,0.09053394116504787,-7.568848874019266,-7.45385564766145,True,504
control,negative_protocell_compositional_entropy,0.2,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.06328677948147815,0.0,0.0,0.13080465917248496,-7.617756510226059,-7.498610306274302,True,504
control,negative_protocell_compositional_entropy,0.3,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.06601448325273691,0.0,0.0,0.11040674983708598,-7.718911779841297,-7.5792155383211295,True,504
control,negative_protocell_compositional_entropy,0.4,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.06979427982663032,0.0,0.0,0.2115218002314343,-7.80733121626384,-7.62411908982145,True,504
control,negative_protocell_compositional_entropy,0.5,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.07519766592313865,0.0,0.0,0.1512469167459365,-7.964870575305287,-7.753908882065883,True,504
control,negative_protocell_compositional_entropy,0.6,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.0819081741007331,0.0,0.0,0.13905263245034227,-8.183583639278384,-7.99648962472413,True,504
control,negative_protocell_compositional_entropy,0.7,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.09835406621743926,0.0,0.0,0.2663303151850105,-8.399772860117642,-8.15818473619305,True,504
control,negative_protocell_compositional_entropy,0.8,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.12948779756641857,0.0,0.0,0.25785887831929344,-8.79095581810894,-8.527319665497847,True,504
control,negative_protocell_compositional_entropy,0.9,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.212009350193316,0.0,0.0,0.4050692737765047,-9.054747278013313,-8.577004044269984,True,504
control,negative_protocell_compositional_entropy,1.0,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.4817449457089272,0.0,0.0,0.8370560881683398,-6.060454094218266,-4.76596867225698,True,504
