condition,viability_def,inherit_prob,analysis_set,methods,syntactic_info_mean,semantic_info_mean,semantic_efficiency_mean,value_of_information_mean,actual_viability_mean,frontier_max_viability,frontier_reaches_target,n_intervention_points
control,negative_protocell_compositional_entropy,0.1,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.06441488023997503,0.0,0.0,0.09053394116504787,-7.568848874019266,-7.447294756772698,True,672
control,negative_protocell_compositional_entropy,0.2,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.06328677948147815,0.0,0.0,0.13080465917248496,-7.617756510226059,-7.498610306274302,True,672
control,negative_protocell_compositional_entropy,0.3,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.06601448325273691,0.0,0.0,0.11040674983708598,-7.718911779841297,-7.5792155383211295,True,672
control,negative_protocell_compositional_entropy,0.4,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.06979427982663032,0.0,0.0,0.2115218002314343,-7.80733121626384,-7.62411908982145,True,672
control,negative_protocell_compositional_entropy,0.5,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.07519766592313865,0.0,0.0,0.1512469167459365,-7.964870575305287,-7.753908882065883,True,672
control,negative_protocell_compositional_entropy,0.6,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.0819081741007331,0.0,0.0,0.15381368856417588,-8.183583639278384,-7.993460016286101,True,672
control,negative_protocell_compositional_entropy,0.7,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.09835406621743926,0.0,0.0,0.2663303151850105,-8.399772860117642,-8.15818473619305,True,672
control,negative_protocell_compositional_entropy,0.8,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.12948779756641857,0.0,0.0,0.25785887831929344,-8.79095581810894,-8.514300473664491,True,672
control,negative_protocell_compositional_entropy,0.9,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.212009350193316,0.0,0.0,0.4050692737765047,-9.054747278013313,-8.577004044269984,True,672
control,negative_protocell_compositional_entropy,1.0,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.4817449457089272,0.0,0.0,0.8370560881683398,-6.060454094218266,-4.76596867225698,True,672
