condition,viability_def,inherit_prob,analysis_set,methods,syntactic_info_mean,semantic_info_mean,semantic_efficiency_mean,value_of_information_mean,actual_viability_mean,frontier_max_viability,frontier_reaches_target,n_intervention_points
control,negative_protocell_compositional_entropy,0.1,kmeans_profile_only_mechanistic,kmeans_profile,0.06441488023997503,,,0.06527777517179612,-7.568848874019266,,False,168
control,negative_protocell_compositional_entropy,0.2,kmeans_profile_only_mechanistic,kmeans_profile,0.06328677948147815,,,0.12125062834820532,-7.617756510226059,,False,168
control,negative_protocell_compositional_entropy,0.3,kmeans_profile_only_mechanistic,kmeans_profile,0.06601448325273691,,,0.0876133832949968,-7.718911779841297,,False,168
control,negative_protocell_compositional_entropy,0.4,kmeans_profile_only_mechanistic,kmeans_profile,0.06979427982663032,,,0.13124822714343498,-7.80733121626384,,False,168
control,negative_protocell_compositional_entropy,0.5,kmeans_profile_only_mechanistic,kmeans_profile,0.07519766592313865,,,0.11990508642885445,-7.964870575305287,,False,168
control,negative_protocell_compositional_entropy,0.6,kmeans_profile_only_mechanistic,kmeans_profile,0.0819081741007331,,,0.15381368856417588,-8.183583639278384,,False,168
control,negative_protocell_compositional_entropy,0.7,kmeans_profile_only_mechanistic,kmeans_profile,0.09835406621743926,,,0.21616997497006274,-8.399772860117642,,False,168
control,negative_protocell_compositional_entropy,0.8,kmeans_profile_only_mechanistic,kmeans_profile,0.12948779756641857,,,0.24600033251834574,-8.79095581810894,,False,168
control,negative_protocell_compositional_entropy,0.9,kmeans_profile_only_mechanistic,kmeans_profile,0.212009350193316,,,0.3791320369071354,-9.054747278013313,,False,168
control,negative_protocell_compositional_entropy,1.0,kmeans_profile_only_mechanistic,kmeans_profile,0.4817449457089272,,,0.795684101111596,-6.060454094218266,,False,168
