condition,viability_def,inherit_prob,analysis_set,methods,syntactic_info_mean,semantic_info_mean,semantic_efficiency_mean,value_of_information_mean,actual_viability_mean,frontier_max_viability,frontier_reaches_target,n_intervention_points
selective,mean_future_fitness,0.1,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.2598119232069511,0.20934660105742608,0.8057621008050224,5.916927083333331,32.884667968749994,32.670345052083334,False,672
selective,mean_future_fitness,0.2,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.2592610193900669,0.20843991581790172,0.8039770741790414,5.956212022569446,32.925320095486114,32.67994791666667,False,672
selective,mean_future_fitness,0.3,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.2595607257076285,0.20963615911844363,0.8076574703161358,5.899088541666661,32.88255208333333,32.710156250000004,False,672
selective,mean_future_fitness,0.4,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.2612805998996719,0.20977089959913256,0.8028567742101085,5.949348958333328,32.957682291666664,32.7037109375,False,672
selective,mean_future_fitness,0.5,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.26674548194394,0.21407629315604323,0.8025489001573197,5.980927191840276,32.911884223090276,32.71165364583334,False,672
selective,mean_future_fitness,0.6,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.27392574066872943,0.22052770038207342,0.8050638097891186,5.938140190972224,32.89670138888889,32.79098307291667,False,672
selective,mean_future_fitness,0.7,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.2837468743960047,0.20329511876062173,0.7164664604442396,6.054977756076386,33.01220431857639,32.97828776041667,True,672
selective,mean_future_fitness,0.8,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.3092982092544963,0.2564869576365425,0.8292545833186518,6.237215169270836,33.21898600260417,32.96184895833333,False,672
selective,mean_future_fitness,0.9,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.380839802327306,0.2334108413998742,0.6128845776452572,6.983363172743061,33.90292697482639,34.658984374999996,True,672
selective,mean_future_fitness,1.0,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.5224623594026633,0.2860112722329745,0.5474294312033774,12.00216471354167,38.384228515625004,40.55556640625,True,672
