condition,viability_def,inherit_prob,analysis_set,methods,syntactic_info_mean,semantic_info_mean,semantic_efficiency_mean,value_of_information_mean,actual_viability_mean,frontier_max_viability,frontier_reaches_target,n_intervention_points
selective,negative_adjacency_state_entropy,0.1,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.26115396736152363,0.0,0.0,-0.021434206914629383,-1.3787509855193318,-1.3407202528625763,True,504
selective,negative_adjacency_state_entropy,0.2,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.26164659446109256,0.0,0.0,-0.021794935355456735,-1.3787882687648407,-1.341134864802147,True,504
selective,negative_adjacency_state_entropy,0.3,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.26296381583996103,0.0,0.0,-0.021329961349963344,-1.37829972804312,-1.3405509296192355,True,504
selective,negative_adjacency_state_entropy,0.4,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.2624045230684855,0.0,0.0,-0.02161408893566552,-1.3783997921291398,-1.339931909320435,True,504
selective,negative_adjacency_state_entropy,0.5,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.2676203823868734,0.0,0.0,-0.022310440343815907,-1.3786450349532184,-1.3404715902717694,True,504
selective,negative_adjacency_state_entropy,0.6,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.2734032096431964,0.0,0.0,-0.021955287674557677,-1.378547499333008,-1.3408373108155294,True,504
selective,negative_adjacency_state_entropy,0.7,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.28158849922684814,0.0,0.0,-0.021311998418245492,-1.3784132117637613,-1.3405722869773489,True,504
selective,negative_adjacency_state_entropy,0.8,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.31249873108469345,0.0,0.0,-0.020056779425256632,-1.378397130637073,-1.3405378688299123,True,504
selective,negative_adjacency_state_entropy,0.9,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.37967549453589405,0.0,0.0,-0.02137498203827981,-1.3803275288224057,-1.340892910347581,True,504
selective,negative_adjacency_state_entropy,1.0,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.52451578839896,0.0,0.0,0.0008854931173380987,-1.3919105658620008,-1.329076602465707,True,504
