condition,viability_def,inherit_prob,analysis_set,methods,syntactic_info_mean,semantic_info_mean,semantic_efficiency_mean,value_of_information_mean,actual_viability_mean,frontier_max_viability,frontier_reaches_target,n_intervention_points
selective,negative_fitness_distribution_entropy,0.1,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.2589808552252173,0.0,0.0,0.0865626541343385,-4.869892162261183,-4.831483520133026,True,504
selective,negative_fitness_distribution_entropy,0.2,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.25965671804089413,0.0,0.0,0.08980990600827976,-4.863329861991737,-4.830355075559848,True,504
selective,negative_fitness_distribution_entropy,0.3,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.26250296733858464,0.0,0.0,0.1100913504532759,-4.852610599826947,-4.819085989189552,True,504
selective,negative_fitness_distribution_entropy,0.4,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.26226085591609777,0.0,0.0,0.08828696895347576,-4.8746430916483146,-4.8201948117884195,True,504
selective,negative_fitness_distribution_entropy,0.5,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.2680735421754097,0.0,0.0,0.09022250886033323,-4.865311153757728,-4.8182993220033055,True,504
selective,negative_fitness_distribution_entropy,0.6,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.27358797830199416,0.0,0.0,0.06742904523873516,-4.895082821728951,-4.819670924826421,True,504
selective,negative_fitness_distribution_entropy,0.7,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.2832159954811939,0.0,0.0,0.07768549716410433,-4.894117095056026,-4.819383000604455,True,504
selective,negative_fitness_distribution_entropy,0.8,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.3087444659496084,0.0,0.0,0.032606022624050546,-4.9181256511248055,-4.820122801739764,True,504
selective,negative_fitness_distribution_entropy,0.9,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.3815608210008648,0.0,0.0,-0.018533737217842905,-4.993911739836514,-4.8292641854632254,True,504
selective,negative_fitness_distribution_entropy,1.0,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.5230905959845319,0.0007238967280540555,0.0013838840415235866,0.10018810722431581,-4.862538693099801,-4.826817952733624,True,504
