condition,viability_def,inherit_prob,analysis_set,methods,syntactic_info_mean,semantic_info_mean,semantic_efficiency_mean,value_of_information_mean,actual_viability_mean,frontier_max_viability,frontier_reaches_target,n_intervention_points
selective,negative_fitness_distribution_entropy,0.1,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.2589808552252173,0.0,0.0,0.0899244349463153,-4.869892162261183,-4.807893522417241,True,672
selective,negative_fitness_distribution_entropy,0.2,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.25965671804089413,0.0,0.0,0.08980990600827976,-4.863329861991737,-4.819574792102034,True,672
selective,negative_fitness_distribution_entropy,0.3,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.26250296733858464,0.0,0.0,0.1100913504532759,-4.852610599826947,-4.815758501319427,True,672
selective,negative_fitness_distribution_entropy,0.4,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.26226085591609777,0.0,0.0,0.08828696895347576,-4.8746430916483146,-4.812830614459905,True,672
selective,negative_fitness_distribution_entropy,0.5,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.2680735421754097,0.0,0.0,0.09022250886033323,-4.865311153757728,-4.788707214651633,True,672
selective,negative_fitness_distribution_entropy,0.6,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.27358797830199416,0.0,0.0,0.06742904523873516,-4.895082821728951,-4.818851424987909,True,672
selective,negative_fitness_distribution_entropy,0.7,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.2832159954811939,0.0,0.0,0.07768549716410433,-4.894117095056026,-4.806837993600638,True,672
selective,negative_fitness_distribution_entropy,0.8,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.3087444659496084,0.0,0.0,0.06626662266745331,-4.9181256511248055,-4.820122801739764,True,672
selective,negative_fitness_distribution_entropy,0.9,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.3815608210008648,0.0,0.0,0.17807687142308737,-4.993911739836514,-4.824234382119783,True,672
selective,negative_fitness_distribution_entropy,1.0,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.5230905959845319,0.0,0.0,0.1678084112130609,-4.862538693099801,-4.7863289212925375,True,672
