condition,viability_def,inherit_prob,analysis_set,methods,syntactic_info_mean,semantic_info_mean,semantic_efficiency_mean,value_of_information_mean,actual_viability_mean,frontier_max_viability,frontier_reaches_target,n_intervention_points
selective,negative_local_metabolite_configuration_entropy,0.1,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.260358902326206,0.0,0.0,-0.03791731862758274,-3.940091507013877,-3.877764519483505,True,504
selective,negative_local_metabolite_configuration_entropy,0.2,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.25914391997252745,0.0,0.0,-0.03793966430385742,-3.9402538276180317,-3.8774386304095856,True,504
selective,negative_local_metabolite_configuration_entropy,0.3,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.26114372127555285,0.0,0.0,-0.03784346559309171,-3.9403271637257724,-3.8772547718959673,True,504
selective,negative_local_metabolite_configuration_entropy,0.4,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.26368884529045006,0.0,0.0,-0.038014371740549446,-3.9405460239909273,-3.8769030035650904,True,504
selective,negative_local_metabolite_configuration_entropy,0.5,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.2660358356188616,0.0,0.0,-0.036809014877951185,-3.9404633470025914,-3.8776121088528557,True,504
selective,negative_local_metabolite_configuration_entropy,0.6,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.27395641683882316,0.0,0.0,-0.03765678143915263,-3.9405607578812933,-3.8782047806783604,True,504
selective,negative_local_metabolite_configuration_entropy,0.7,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.2867601703762317,0.0,0.0,-0.036280982516708526,-3.9402872754591627,-3.8775547257029617,True,504
selective,negative_local_metabolite_configuration_entropy,0.8,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.3117866112602504,0.0,0.0,-0.03674748065177269,-3.9412410606806856,-3.8773745103694512,True,504
selective,negative_local_metabolite_configuration_entropy,0.9,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.38049931761799966,0.0,0.0,-0.03687963783886561,-3.945313371856131,-3.877785191106854,True,504
selective,negative_local_metabolite_configuration_entropy,1.0,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.521607179640556,0.0,0.0,-0.03588699257685457,-3.9613491306609134,-3.8696509316612495,True,504
