condition,viability_def,inherit_prob,analysis_set,methods,syntactic_info_mean,semantic_info_mean,semantic_efficiency_mean,value_of_information_mean,actual_viability_mean,frontier_max_viability,frontier_reaches_target,n_intervention_points
selective,negative_local_metabolite_configuration_entropy,0.1,kmeans_profile_only_mechanistic,kmeans_profile,0.260358902326206,0.0,0.0,-0.0023754517100322836,-3.940091507013877,-3.878808120366448,True,168
selective,negative_local_metabolite_configuration_entropy,0.2,kmeans_profile_only_mechanistic,kmeans_profile,0.25914391997252745,0.0,0.0,-0.002675176741973484,-3.9402538276180317,-3.8786549248990676,True,168
selective,negative_local_metabolite_configuration_entropy,0.3,kmeans_profile_only_mechanistic,kmeans_profile,0.26114372127555285,0.0,0.0,-0.002234167225654282,-3.9403271637257724,-3.8785164894484048,True,168
selective,negative_local_metabolite_configuration_entropy,0.4,kmeans_profile_only_mechanistic,kmeans_profile,0.26368884529045006,0.0,0.0,-0.0019573247328916743,-3.9405460239909273,-3.878681276058962,True,168
selective,negative_local_metabolite_configuration_entropy,0.5,kmeans_profile_only_mechanistic,kmeans_profile,0.2660358356188616,0.0,0.0,-0.0024938937893894675,-3.9404633470025914,-3.8771800388147915,True,168
selective,negative_local_metabolite_configuration_entropy,0.6,kmeans_profile_only_mechanistic,kmeans_profile,0.27395641683882316,0.0,0.0,-0.001983664582913214,-3.9405607578812933,-3.878224429576112,True,168
selective,negative_local_metabolite_configuration_entropy,0.7,kmeans_profile_only_mechanistic,kmeans_profile,0.2867601703762317,0.0,0.0,-0.000592616443991556,-3.9402872754591627,-3.878237174933888,True,168
selective,negative_local_metabolite_configuration_entropy,0.8,kmeans_profile_only_mechanistic,kmeans_profile,0.3117866112602504,0.0,0.0,-0.001112457553966717,-3.9412410606806856,-3.8785384967406196,True,168
selective,negative_local_metabolite_configuration_entropy,0.9,kmeans_profile_only_mechanistic,kmeans_profile,0.38049931761799966,0.0,0.0,0.0027496401868236653,-3.945313371856131,-3.878041619885472,True,168
selective,negative_local_metabolite_configuration_entropy,1.0,kmeans_profile_only_mechanistic,kmeans_profile,0.521607179640556,0.0,0.0,0.009208342148011361,-3.9613491306609134,-3.878230661563507,True,168
