condition,viability_def,inherit_prob,analysis_set,methods,syntactic_info_mean,semantic_info_mean,semantic_efficiency_mean,value_of_information_mean,actual_viability_mean,frontier_max_viability,frontier_reaches_target,n_intervention_points
selective,negative_protocell_compositional_entropy,0.1,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.258360131787919,0.0,0.0,0.10027670176906778,-7.590026953528047,-7.466151041305366,True,504
selective,negative_protocell_compositional_entropy,0.2,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.2598110360032116,0.0,0.0,0.11911604202380044,-7.62349731869979,-7.501033901159433,True,504
selective,negative_protocell_compositional_entropy,0.3,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.26267171224536273,0.0,0.0,0.13543175689804698,-7.701124553282234,-7.570761487323264,True,504
selective,negative_protocell_compositional_entropy,0.4,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.26381993784522756,0.0,0.0,0.1556578026160036,-7.8187129896741725,-7.668221972528054,True,504
selective,negative_protocell_compositional_entropy,0.5,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.2662139335681853,0.0,0.0,0.1353267143144974,-7.974220040980597,-7.810588884238792,True,504
selective,negative_protocell_compositional_entropy,0.6,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.2748300017137411,0.0,0.0,0.15651044926900326,-8.192055820149696,-7.959224642882051,True,504
selective,negative_protocell_compositional_entropy,0.7,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.2843097549720318,0.0,0.0,0.243056855186774,-8.417098891087848,-8.164756029974773,True,504
selective,negative_protocell_compositional_entropy,0.8,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.31097844574695727,0.0,0.0,0.3145742982283668,-8.76043365086226,-8.503215949426117,True,504
selective,negative_protocell_compositional_entropy,0.9,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.379206875444079,0.0,0.0,0.4638913988182285,-9.032171562263715,-8.57778760060543,True,504
selective,negative_protocell_compositional_entropy,1.0,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.5214150241149633,0.0,0.0,0.7574692078418641,-5.982949385463919,-5.21210491579335,True,504
