condition,viability_def,inherit_prob,analysis_set,methods,syntactic_info_mean,semantic_info_mean,semantic_efficiency_mean,value_of_information_mean,actual_viability_mean,frontier_max_viability,frontier_reaches_target,n_intervention_points
selective,threshold_survival,0.1,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.2611742792802546,0.21068274960093608,0.8066749535273406,1.0,1.0,0.08333333333333333,False,504
selective,threshold_survival,0.2,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.2614152067861219,0.20964043658697717,0.8019443060116067,1.0,1.0,0.041666666666666664,False,504
selective,threshold_survival,0.3,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.262869574368166,0.21131475434754393,0.8038768079396813,1.0,1.0,0.041666666666666664,False,504
selective,threshold_survival,0.4,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.26503219665864575,0.21299544820770677,0.8036587663424121,1.0,1.0,0.041666666666666664,False,504
selective,threshold_survival,0.5,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.26663317098042144,0.213976619234235,0.8025131248577734,1.0,1.0,0.041666666666666664,False,504
selective,threshold_survival,0.6,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.2738149635445311,0.22027396518328005,0.8044628472156395,1.0,1.0,0.08333333333333333,False,504
selective,threshold_survival,0.7,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.28537441960068055,0.2300640669100788,0.8061832144310742,1.0,1.0,0.041666666666666664,False,504
selective,threshold_survival,0.8,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.30965976319839766,0.2592764390263345,0.8372945724311531,1.0,1.0,0.125,False,504
selective,threshold_survival,0.9,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.3826792502877074,0.3195376712389983,0.8350012993878353,1.0,1.0,0.3333333333333333,False,504
selective,threshold_survival,1.0,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.5239042859675317,0.4117721442505623,0.7859682680207761,1.0,1.0,1.0,True,504
