condition,viability_def,inherit_prob,analysis_set,methods,syntactic_info_mean,semantic_info_mean,semantic_efficiency_mean,value_of_information_mean,actual_viability_mean,frontier_max_viability,frontier_reaches_target,n_intervention_points
selective,threshold_survival,0.1,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.2611742792802546,0.06384591998046948,0.2444571500548078,1.0,1.0,1.0,True,672
selective,threshold_survival,0.2,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.2614152067861219,0.06572695767914317,0.251427445584365,1.0,1.0,1.0,True,672
selective,threshold_survival,0.3,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.262869574368166,0.05205023136587837,0.1980078200034616,1.0,1.0,1.0,True,672
selective,threshold_survival,0.4,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.26503219665864575,0.05256644613121081,0.1983398500028846,1.0,1.0,1.0,True,672
selective,threshold_survival,0.5,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.26663317098042144,0.07733404494592237,0.29003910001730776,1.0,1.0,1.0,True,672
selective,threshold_survival,0.6,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.2738149635445311,0.054217504015779905,0.19800782000346157,1.0,1.0,1.0,True,672
selective,threshold_survival,0.7,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.28537441960068055,0.07243275066023067,0.25381655006634635,1.0,1.0,1.0,True,672
selective,threshold_survival,0.8,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.30965976319839766,0.07599927859412872,0.24542833014257753,1.0,1.0,1.0,True,672
selective,threshold_survival,0.9,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.3826792502877074,0.07594853800035015,0.19846526286243696,1.0,1.0,1.0,True,672
selective,threshold_survival,1.0,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.5239042859675317,0.08364881624291441,0.15966430984322666,1.0,1.0,1.0,True,672
