condition,viability_def,inherit_prob,analysis_set,methods,syntactic_info_mean,semantic_info_mean,semantic_efficiency_mean,value_of_information_mean,actual_viability_mean,frontier_max_viability,frontier_reaches_target,n_intervention_points
selective,threshold_survival,0.1,kmeans_profile_only_mechanistic,kmeans_profile,0.2611742792802546,0.06384591998046948,0.2444571500548078,1.0,1.0,1.0,True,168
selective,threshold_survival,0.2,kmeans_profile_only_mechanistic,kmeans_profile,0.2614152067861219,0.06573983354898141,0.2514767000634618,1.0,1.0,1.0,True,168
selective,threshold_survival,0.3,kmeans_profile_only_mechanistic,kmeans_profile,0.262869574368166,0.05205023136587837,0.1980078200034616,1.0,1.0,1.0,True,168
selective,threshold_survival,0.4,kmeans_profile_only_mechanistic,kmeans_profile,0.26503219665864575,0.05256644613121081,0.1983398500028846,1.0,1.0,1.0,True,168
selective,threshold_survival,0.5,kmeans_profile_only_mechanistic,kmeans_profile,0.26663317098042144,0.07763317745784974,0.2911609878560468,1.0,1.0,1.0,True,168
selective,threshold_survival,0.6,kmeans_profile_only_mechanistic,kmeans_profile,0.2738149635445311,0.054217504015779905,0.19800782000346157,1.0,1.0,1.0,True,168
selective,threshold_survival,0.7,kmeans_profile_only_mechanistic,kmeans_profile,0.28537441960068055,0.07243275066023067,0.25381655006634635,1.0,1.0,1.0,True,168
selective,threshold_survival,0.8,kmeans_profile_only_mechanistic,kmeans_profile,0.30965976319839766,0.07599927859412872,0.24542833014257753,1.0,1.0,1.0,True,168
selective,threshold_survival,0.9,kmeans_profile_only_mechanistic,kmeans_profile,0.3826792502877074,0.06762797439785684,0.1767223447495847,1.0,1.0,1.0,True,168
selective,threshold_survival,1.0,kmeans_profile_only_mechanistic,kmeans_profile,0.5239042859675317,0.08418873143845042,0.16069487059639728,1.0,1.0,1.0,True,168
