condition,viability_def,inherit_prob,analysis_set,tolerance,smoothing_window,semantic_info,target_reached
control,threshold_survival,0.1,all_methods_pooled_diagnostic,0.01,1,0.0,True
control,threshold_survival,0.1,all_methods_pooled_diagnostic,0.025,1,0.0,True
control,threshold_survival,0.1,all_methods_pooled_diagnostic,0.05,1,0.0,True
control,threshold_survival,0.1,all_methods_pooled_diagnostic,0.01,2,0.0,True
control,threshold_survival,0.1,all_methods_pooled_diagnostic,0.025,2,0.0,True
control,threshold_survival,0.1,all_methods_pooled_diagnostic,0.05,2,0.0,True
control,threshold_survival,0.1,all_methods_pooled_diagnostic,0.01,3,0.0,True
control,threshold_survival,0.1,all_methods_pooled_diagnostic,0.025,3,0.0,True
control,threshold_survival,0.1,all_methods_pooled_diagnostic,0.05,3,0.0,True
control,threshold_survival,0.1,all_methods_pooled_diagnostic,0.01,5,0.0,True
control,threshold_survival,0.1,all_methods_pooled_diagnostic,0.025,5,0.0,True
control,threshold_survival,0.1,all_methods_pooled_diagnostic,0.05,5,0.0,True
control,threshold_survival,0.2,all_methods_pooled_diagnostic,0.01,1,0.0,True
control,threshold_survival,0.2,all_methods_pooled_diagnostic,0.025,1,0.0,True
control,threshold_survival,0.2,all_methods_pooled_diagnostic,0.05,1,0.0,True
control,threshold_survival,0.2,all_methods_pooled_diagnostic,0.01,2,0.0,True
control,threshold_survival,0.2,all_methods_pooled_diagnostic,0.025,2,0.0,True
control,threshold_survival,0.2,all_methods_pooled_diagnostic,0.05,2,0.0,True
control,threshold_survival,0.2,all_methods_pooled_diagnostic,0.01,3,0.0,True
control,threshold_survival,0.2,all_methods_pooled_diagnostic,0.025,3,0.0,True
control,threshold_survival,0.2,all_methods_pooled_diagnostic,0.05,3,0.0,True
control,threshold_survival,0.2,all_methods_pooled_diagnostic,0.01,5,0.0,True
control,threshold_survival,0.2,all_methods_pooled_diagnostic,0.025,5,0.0,True
control,threshold_survival,0.2,all_methods_pooled_diagnostic,0.05,5,0.0,True
control,threshold_survival,0.3,all_methods_pooled_diagnostic,0.01,1,0.0,True
control,threshold_survival,0.3,all_methods_pooled_diagnostic,0.025,1,0.0,True
control,threshold_survival,0.3,all_methods_pooled_diagnostic,0.05,1,0.0,True
control,threshold_survival,0.3,all_methods_pooled_diagnostic,0.01,2,0.0,True
control,threshold_survival,0.3,all_methods_pooled_diagnostic,0.025,2,0.0,True
control,threshold_survival,0.3,all_methods_pooled_diagnostic,0.05,2,0.0,True
control,threshold_survival,0.3,all_methods_pooled_diagnostic,0.01,3,0.0,True
control,threshold_survival,0.3,all_methods_pooled_diagnostic,0.025,3,0.0,True
control,threshold_survival,0.3,all_methods_pooled_diagnostic,0.05,3,0.0,True
control,threshold_survival,0.3,all_methods_pooled_diagnostic,0.01,5,0.0,True
control,threshold_survival,0.3,all_methods_pooled_diagnostic,0.025,5,0.0,True
control,threshold_survival,0.3,all_methods_pooled_diagnostic,0.05,5,0.0,True
control,threshold_survival,0.4,all_methods_pooled_diagnostic,0.01,1,0.0,True
control,threshold_survival,0.4,all_methods_pooled_diagnostic,0.025,1,0.0,True
control,threshold_survival,0.4,all_methods_pooled_diagnostic,0.05,1,0.0,True
control,threshold_survival,0.4,all_methods_pooled_diagnostic,0.01,2,0.0,True
control,threshold_survival,0.4,all_methods_pooled_diagnostic,0.025,2,0.0,True
control,threshold_survival,0.4,all_methods_pooled_diagnostic,0.05,2,0.0,True
control,threshold_survival,0.4,all_methods_pooled_diagnostic,0.01,3,0.0,True
control,threshold_survival,0.4,all_methods_pooled_diagnostic,0.025,3,0.0,True
