condition,viability_def,inherit_prob,analysis_set,tolerance,smoothing_window,semantic_info,target_reached
selective,excess_over_control,0.1,primary_no_kmeans,0.01,1,0.20812512861186255,False
selective,excess_over_control,0.1,primary_no_kmeans,0.025,1,0.20812512861186255,False
selective,excess_over_control,0.1,primary_no_kmeans,0.05,1,0.20812512861186255,False
selective,excess_over_control,0.1,primary_no_kmeans,0.01,2,0.20812512861186255,False
selective,excess_over_control,0.1,primary_no_kmeans,0.025,2,0.20812512861186255,False
selective,excess_over_control,0.1,primary_no_kmeans,0.05,2,0.20812512861186255,False
selective,excess_over_control,0.1,primary_no_kmeans,0.01,3,0.20812512861186255,False
selective,excess_over_control,0.1,primary_no_kmeans,0.025,3,0.20812512861186255,False
selective,excess_over_control,0.1,primary_no_kmeans,0.05,3,0.20812512861186255,False
selective,excess_over_control,0.1,primary_no_kmeans,0.01,5,0.20812512861186255,False
selective,excess_over_control,0.1,primary_no_kmeans,0.025,5,0.20812512861186255,False
selective,excess_over_control,0.1,primary_no_kmeans,0.05,5,0.20812512861186255,False
selective,excess_over_control,0.2,primary_no_kmeans,0.01,1,0.20832637038312365,False
selective,excess_over_control,0.2,primary_no_kmeans,0.025,1,0.20832637038312365,False
selective,excess_over_control,0.2,primary_no_kmeans,0.05,1,0.20832637038312365,False
selective,excess_over_control,0.2,primary_no_kmeans,0.01,2,0.20832637038312365,False
selective,excess_over_control,0.2,primary_no_kmeans,0.025,2,0.20832637038312365,False
selective,excess_over_control,0.2,primary_no_kmeans,0.05,2,0.20832637038312365,False
selective,excess_over_control,0.2,primary_no_kmeans,0.01,3,0.20832637038312365,False
selective,excess_over_control,0.2,primary_no_kmeans,0.025,3,0.20832637038312365,False
selective,excess_over_control,0.2,primary_no_kmeans,0.05,3,0.20832637038312365,False
selective,excess_over_control,0.2,primary_no_kmeans,0.01,5,0.20832637038312365,False
selective,excess_over_control,0.2,primary_no_kmeans,0.025,5,0.20832637038312365,False
selective,excess_over_control,0.2,primary_no_kmeans,0.05,5,0.20832637038312365,False
