condition,viability_def,inherit_prob,analysis_set,tolerance,smoothing_window,semantic_info,target_reached
selective,excess_over_control,0.1,all_methods_pooled_diagnostic,0.01,1,0.20812512861186255,False
selective,excess_over_control,0.1,all_methods_pooled_diagnostic,0.025,1,0.20812512861186255,False
selective,excess_over_control,0.1,all_methods_pooled_diagnostic,0.05,1,0.1739372186284286,True
selective,excess_over_control,0.1,all_methods_pooled_diagnostic,0.01,2,0.20812512861186255,False
selective,excess_over_control,0.1,all_methods_pooled_diagnostic,0.025,2,0.20812512861186255,False
selective,excess_over_control,0.1,all_methods_pooled_diagnostic,0.05,2,0.15780689961565864,True
selective,excess_over_control,0.1,all_methods_pooled_diagnostic,0.01,3,0.20812512861186255,False
selective,excess_over_control,0.1,all_methods_pooled_diagnostic,0.025,3,0.20812512861186255,False
selective,excess_over_control,0.1,all_methods_pooled_diagnostic,0.05,3,0.1464319231743535,True
selective,excess_over_control,0.1,all_methods_pooled_diagnostic,0.01,5,0.20812512861186255,False
selective,excess_over_control,0.1,all_methods_pooled_diagnostic,0.025,5,0.20812512861186255,False
selective,excess_over_control,0.1,all_methods_pooled_diagnostic,0.05,5,0.12025460358141724,True
selective,excess_over_control,0.2,all_methods_pooled_diagnostic,0.01,1,0.20832637038312365,False
selective,excess_over_control,0.2,all_methods_pooled_diagnostic,0.025,1,0.20832637038312365,False
selective,excess_over_control,0.2,all_methods_pooled_diagnostic,0.05,1,0.16362540729594555,True
selective,excess_over_control,0.2,all_methods_pooled_diagnostic,0.01,2,0.20832637038312365,False
selective,excess_over_control,0.2,all_methods_pooled_diagnostic,0.025,2,0.20832637038312365,False
selective,excess_over_control,0.2,all_methods_pooled_diagnostic,0.05,2,0.15067351078627195,True
selective,excess_over_control,0.2,all_methods_pooled_diagnostic,0.01,3,0.20832637038312365,False
selective,excess_over_control,0.2,all_methods_pooled_diagnostic,0.025,3,0.20832637038312365,False
selective,excess_over_control,0.2,all_methods_pooled_diagnostic,0.05,3,0.1375846109980551,True
selective,excess_over_control,0.2,all_methods_pooled_diagnostic,0.01,5,0.20832637038312365,False
selective,excess_over_control,0.2,all_methods_pooled_diagnostic,0.025,5,0.20832637038312365,False
selective,excess_over_control,0.2,all_methods_pooled_diagnostic,0.05,5,0.11154381470016465,True
selective,excess_over_control,0.3,all_methods_pooled_diagnostic,0.01,1,0.21067355532200852,False
selective,excess_over_control,0.3,all_methods_pooled_diagnostic,0.025,1,0.21067355532200852,False
selective,excess_over_control,0.3,all_methods_pooled_diagnostic,0.05,1,0.16701949492069612,True
selective,excess_over_control,0.3,all_methods_pooled_diagnostic,0.01,2,0.21067355532200852,False
selective,excess_over_control,0.3,all_methods_pooled_diagnostic,0.025,2,0.21067355532200852,False
selective,excess_over_control,0.3,all_methods_pooled_diagnostic,0.05,2,0.15335884266372277,True
selective,excess_over_control,0.3,all_methods_pooled_diagnostic,0.01,3,0.21067355532200852,False
selective,excess_over_control,0.3,all_methods_pooled_diagnostic,0.025,3,0.21067355532200852,False
selective,excess_over_control,0.3,all_methods_pooled_diagnostic,0.05,3,0.14071000504630599,True
selective,excess_over_control,0.3,all_methods_pooled_diagnostic,0.01,5,0.21067355532200852,False
selective,excess_over_control,0.3,all_methods_pooled_diagnostic,0.025,5,0.21067355532200852,False
selective,excess_over_control,0.3,all_methods_pooled_diagnostic,0.05,5,0.11423424735972566,True
selective,excess_over_control,0.4,all_methods_pooled_diagnostic,0.01,1,0.21044076315243432,False
selective,excess_over_control,0.4,all_methods_pooled_diagnostic,0.025,1,0.21044076315243432,False
selective,excess_over_control,0.4,all_methods_pooled_diagnostic,0.05,1,0.1708711917078409,True
selective,excess_over_control,0.4,all_methods_pooled_diagnostic,0.01,2,0.21044076315243432,False
selective,excess_over_control,0.4,all_methods_pooled_diagnostic,0.025,2,0.21044076315243432,False
selective,excess_over_control,0.4,all_methods_pooled_diagnostic,0.05,2,0.15561885912920584,True
selective,excess_over_control,0.4,all_methods_pooled_diagnostic,0.01,3,0.21044076315243432,False
selective,excess_over_control,0.4,all_methods_pooled_diagnostic,0.025,3,0.21044076315243432,False
selective,excess_over_control,0.4,all_methods_pooled_diagnostic,0.05,3,0.14424942066099058,True
selective,excess_over_control,0.4,all_methods_pooled_diagnostic,0.01,5,0.21044076315243432,False
selective,excess_over_control,0.4,all_methods_pooled_diagnostic,0.025,5,0.21044076315243432,False
selective,excess_over_control,0.4,all_methods_pooled_diagnostic,0.05,5,0.1179567337423278,True
selective,excess_over_control,0.5,all_methods_pooled_diagnostic,0.01,1,0.21696205524525983,False
selective,excess_over_control,0.5,all_methods_pooled_diagnostic,0.025,1,0.21696205524525983,False
selective,excess_over_control,0.5,all_methods_pooled_diagnostic,0.05,1,0.17776276188989146,True
selective,excess_over_control,0.5,all_methods_pooled_diagnostic,0.01,2,0.21696205524525983,False
selective,excess_over_control,0.5,all_methods_pooled_diagnostic,0.025,2,0.21696205524525983,False
selective,excess_over_control,0.5,all_methods_pooled_diagnostic,0.05,2,0.168768230662769,True
selective,excess_over_control,0.5,all_methods_pooled_diagnostic,0.01,3,0.21696205524525983,False
selective,excess_over_control,0.5,all_methods_pooled_diagnostic,0.025,3,0.21696205524525983,False
selective,excess_over_control,0.5,all_methods_pooled_diagnostic,0.05,3,0.15767160773515138,True
selective,excess_over_control,0.5,all_methods_pooled_diagnostic,0.01,5,0.21696205524525983,False
selective,excess_over_control,0.5,all_methods_pooled_diagnostic,0.025,5,0.21696205524525983,False
selective,excess_over_control,0.5,all_methods_pooled_diagnostic,0.05,5,0.13000143314168522,True
selective,excess_over_control,0.6,all_methods_pooled_diagnostic,0.01,1,0.22196110899492558,False
selective,excess_over_control,0.6,all_methods_pooled_diagnostic,0.025,1,0.17683916426674487,True
selective,excess_over_control,0.6,all_methods_pooled_diagnostic,0.05,1,0.17014900677717293,True
selective,excess_over_control,0.6,all_methods_pooled_diagnostic,0.01,2,0.22196110899492558,False
selective,excess_over_control,0.6,all_methods_pooled_diagnostic,0.025,2,0.1670037634684058,True
selective,excess_over_control,0.6,all_methods_pooled_diagnostic,0.05,2,0.1620734594257668,True
selective,excess_over_control,0.6,all_methods_pooled_diagnostic,0.01,3,0.22196110899492558,False
selective,excess_over_control,0.6,all_methods_pooled_diagnostic,0.025,3,0.16001058958455888,True
selective,excess_over_control,0.6,all_methods_pooled_diagnostic,0.05,3,0.15746380977606242,True
selective,excess_over_control,0.6,all_methods_pooled_diagnostic,0.01,5,0.22196110899492558,False
selective,excess_over_control,0.6,all_methods_pooled_diagnostic,0.025,5,0.13912990980385923,True
selective,excess_over_control,0.6,all_methods_pooled_diagnostic,0.05,5,0.13137570606444,True
selective,excess_over_control,0.7,all_methods_pooled_diagnostic,0.01,1,0.19227266387413783,True
selective,excess_over_control,0.7,all_methods_pooled_diagnostic,0.025,1,0.18719930035944304,True
selective,excess_over_control,0.7,all_methods_pooled_diagnostic,0.05,1,0.16631846554713944,True
selective,excess_over_control,0.7,all_methods_pooled_diagnostic,0.01,2,0.18227394862256693,True
