condition,viability_def,inherit_prob,analysis_set,tolerance,smoothing_window,semantic_info,target_reached
selective,excess_over_control,0.1,kmeans_profile_only_mechanistic,0.01,1,0.18210948753537975,False
selective,excess_over_control,0.1,kmeans_profile_only_mechanistic,0.025,1,0.18210948753537975,False
selective,excess_over_control,0.1,kmeans_profile_only_mechanistic,0.05,1,0.17617772061469764,True
selective,excess_over_control,0.1,kmeans_profile_only_mechanistic,0.01,2,0.18210948753537975,False
selective,excess_over_control,0.1,kmeans_profile_only_mechanistic,0.025,2,0.18210948753537975,False
selective,excess_over_control,0.1,kmeans_profile_only_mechanistic,0.05,2,0.16968946375687405,True
selective,excess_over_control,0.1,kmeans_profile_only_mechanistic,0.01,3,0.18210948753537975,False
selective,excess_over_control,0.1,kmeans_profile_only_mechanistic,0.025,3,0.18210948753537975,False
selective,excess_over_control,0.1,kmeans_profile_only_mechanistic,0.05,3,0.15980729296410143,True
selective,excess_over_control,0.1,kmeans_profile_only_mechanistic,0.01,5,0.18210948753537975,False
selective,excess_over_control,0.1,kmeans_profile_only_mechanistic,0.025,5,0.18210948753537975,False
selective,excess_over_control,0.1,kmeans_profile_only_mechanistic,0.05,5,0.14514786598784388,True
selective,excess_over_control,0.2,kmeans_profile_only_mechanistic,0.01,1,0.1822855740852332,False
selective,excess_over_control,0.2,kmeans_profile_only_mechanistic,0.025,1,0.1822855740852332,False
selective,excess_over_control,0.2,kmeans_profile_only_mechanistic,0.05,1,0.16515588750100396,True
selective,excess_over_control,0.2,kmeans_profile_only_mechanistic,0.01,2,0.1822855740852332,False
selective,excess_over_control,0.2,kmeans_profile_only_mechanistic,0.025,2,0.1822855740852332,False
selective,excess_over_control,0.2,kmeans_profile_only_mechanistic,0.05,2,0.15137110408819446,True
selective,excess_over_control,0.2,kmeans_profile_only_mechanistic,0.01,3,0.1822855740852332,False
selective,excess_over_control,0.2,kmeans_profile_only_mechanistic,0.025,3,0.1822855740852332,False
selective,excess_over_control,0.2,kmeans_profile_only_mechanistic,0.05,3,0.13807144242541444,True
selective,excess_over_control,0.2,kmeans_profile_only_mechanistic,0.01,5,0.1822855740852332,False
selective,excess_over_control,0.2,kmeans_profile_only_mechanistic,0.025,5,0.1822855740852332,False
selective,excess_over_control,0.2,kmeans_profile_only_mechanistic,0.05,5,0.1124767264248566,True
selective,excess_over_control,0.3,kmeans_profile_only_mechanistic,0.01,1,0.18433936090675743,False
selective,excess_over_control,0.3,kmeans_profile_only_mechanistic,0.025,1,0.18433936090675743,False
selective,excess_over_control,0.3,kmeans_profile_only_mechanistic,0.05,1,0.16823467868533198,True
selective,excess_over_control,0.3,kmeans_profile_only_mechanistic,0.01,2,0.18433936090675743,False
selective,excess_over_control,0.3,kmeans_profile_only_mechanistic,0.025,2,0.18433936090675743,False
selective,excess_over_control,0.3,kmeans_profile_only_mechanistic,0.05,2,0.15379873954157294,True
selective,excess_over_control,0.3,kmeans_profile_only_mechanistic,0.01,3,0.18433936090675743,False
selective,excess_over_control,0.3,kmeans_profile_only_mechanistic,0.025,3,0.18433936090675743,False
selective,excess_over_control,0.3,kmeans_profile_only_mechanistic,0.05,3,0.14052103293311313,True
