condition,viability_def,inherit_prob,analysis_set,tolerance,smoothing_window,semantic_info,target_reached
selective,mean_future_fitness,0.1,primary_no_kmeans,0.01,1,0.20934660105742608,False
selective,mean_future_fitness,0.1,primary_no_kmeans,0.025,1,0.20934660105742608,False
selective,mean_future_fitness,0.1,primary_no_kmeans,0.05,1,0.20934660105742608,False
selective,mean_future_fitness,0.1,primary_no_kmeans,0.01,2,0.20934660105742608,False
selective,mean_future_fitness,0.1,primary_no_kmeans,0.025,2,0.20934660105742608,False
selective,mean_future_fitness,0.1,primary_no_kmeans,0.05,2,0.20934660105742608,False
selective,mean_future_fitness,0.1,primary_no_kmeans,0.01,3,0.20934660105742608,False
selective,mean_future_fitness,0.1,primary_no_kmeans,0.025,3,0.20934660105742608,False
selective,mean_future_fitness,0.1,primary_no_kmeans,0.05,3,0.20934660105742608,False
selective,mean_future_fitness,0.1,primary_no_kmeans,0.01,5,0.20934660105742608,False
selective,mean_future_fitness,0.1,primary_no_kmeans,0.025,5,0.20934660105742608,False
selective,mean_future_fitness,0.1,primary_no_kmeans,0.05,5,0.20934660105742608,False
selective,mean_future_fitness,0.2,primary_no_kmeans,0.01,1,0.20843991581790172,False
selective,mean_future_fitness,0.2,primary_no_kmeans,0.025,1,0.20843991581790172,False
selective,mean_future_fitness,0.2,primary_no_kmeans,0.05,1,0.20843991581790172,False
selective,mean_future_fitness,0.2,primary_no_kmeans,0.01,2,0.20843991581790172,False
selective,mean_future_fitness,0.2,primary_no_kmeans,0.025,2,0.20843991581790172,False
selective,mean_future_fitness,0.2,primary_no_kmeans,0.05,2,0.20843991581790172,False
selective,mean_future_fitness,0.2,primary_no_kmeans,0.01,3,0.20843991581790172,False
selective,mean_future_fitness,0.2,primary_no_kmeans,0.025,3,0.20843991581790172,False
selective,mean_future_fitness,0.2,primary_no_kmeans,0.05,3,0.20843991581790172,False
selective,mean_future_fitness,0.2,primary_no_kmeans,0.01,5,0.20843991581790172,False
selective,mean_future_fitness,0.2,primary_no_kmeans,0.025,5,0.20843991581790172,False
selective,mean_future_fitness,0.2,primary_no_kmeans,0.05,5,0.20843991581790172,False
selective,mean_future_fitness,0.3,primary_no_kmeans,0.01,1,0.20963615911844363,False
selective,mean_future_fitness,0.3,primary_no_kmeans,0.025,1,0.20963615911844363,False
selective,mean_future_fitness,0.3,primary_no_kmeans,0.05,1,0.20963615911844363,False
selective,mean_future_fitness,0.3,primary_no_kmeans,0.01,2,0.20963615911844363,False
selective,mean_future_fitness,0.3,primary_no_kmeans,0.025,2,0.20963615911844363,False
selective,mean_future_fitness,0.3,primary_no_kmeans,0.05,2,0.20963615911844363,False
selective,mean_future_fitness,0.3,primary_no_kmeans,0.01,3,0.20963615911844363,False
selective,mean_future_fitness,0.3,primary_no_kmeans,0.025,3,0.20963615911844363,False
selective,mean_future_fitness,0.3,primary_no_kmeans,0.05,3,0.20963615911844363,False
selective,mean_future_fitness,0.3,primary_no_kmeans,0.01,5,0.20963615911844363,False
selective,mean_future_fitness,0.3,primary_no_kmeans,0.025,5,0.20963615911844363,False
selective,mean_future_fitness,0.3,primary_no_kmeans,0.05,5,0.20963615911844363,False
selective,mean_future_fitness,0.4,primary_no_kmeans,0.01,1,0.20977089959913256,False
selective,mean_future_fitness,0.4,primary_no_kmeans,0.025,1,0.20977089959913256,False
selective,mean_future_fitness,0.4,primary_no_kmeans,0.05,1,0.20977089959913256,False
selective,mean_future_fitness,0.4,primary_no_kmeans,0.01,2,0.20977089959913256,False
selective,mean_future_fitness,0.4,primary_no_kmeans,0.025,2,0.20977089959913256,False
selective,mean_future_fitness,0.4,primary_no_kmeans,0.05,2,0.20977089959913256,False
selective,mean_future_fitness,0.4,primary_no_kmeans,0.01,3,0.20977089959913256,False
selective,mean_future_fitness,0.4,primary_no_kmeans,0.025,3,0.20977089959913256,False
selective,mean_future_fitness,0.4,primary_no_kmeans,0.05,3,0.20977089959913256,False
selective,mean_future_fitness,0.4,primary_no_kmeans,0.01,5,0.20977089959913256,False
selective,mean_future_fitness,0.4,primary_no_kmeans,0.025,5,0.20977089959913256,False
selective,mean_future_fitness,0.4,primary_no_kmeans,0.05,5,0.20977089959913256,False
selective,mean_future_fitness,0.5,primary_no_kmeans,0.01,1,0.21407629315604323,False
selective,mean_future_fitness,0.5,primary_no_kmeans,0.025,1,0.21407629315604323,False
selective,mean_future_fitness,0.5,primary_no_kmeans,0.05,1,0.21407629315604323,False
selective,mean_future_fitness,0.5,primary_no_kmeans,0.01,2,0.21407629315604323,False
selective,mean_future_fitness,0.5,primary_no_kmeans,0.025,2,0.21407629315604323,False
selective,mean_future_fitness,0.5,primary_no_kmeans,0.05,2,0.21407629315604323,False
selective,mean_future_fitness,0.5,primary_no_kmeans,0.01,3,0.21407629315604323,False
selective,mean_future_fitness,0.5,primary_no_kmeans,0.025,3,0.21407629315604323,False
selective,mean_future_fitness,0.5,primary_no_kmeans,0.05,3,0.21407629315604323,False
selective,mean_future_fitness,0.5,primary_no_kmeans,0.01,5,0.21407629315604323,False
selective,mean_future_fitness,0.5,primary_no_kmeans,0.025,5,0.21407629315604323,False
selective,mean_future_fitness,0.5,primary_no_kmeans,0.05,5,0.21407629315604323,False
selective,mean_future_fitness,0.6,primary_no_kmeans,0.01,1,0.22052770038207342,False
selective,mean_future_fitness,0.6,primary_no_kmeans,0.025,1,0.22052770038207342,False
