condition,viability_def,inherit_prob,analysis_set,tolerance,smoothing_window,semantic_info,target_reached
selective,mean_future_fitness,0.1,all_methods_pooled_diagnostic,0.01,1,0.20934660105742608,False
selective,mean_future_fitness,0.1,all_methods_pooled_diagnostic,0.025,1,0.20934660105742608,False
selective,mean_future_fitness,0.1,all_methods_pooled_diagnostic,0.05,1,0.16885806402621792,True
selective,mean_future_fitness,0.1,all_methods_pooled_diagnostic,0.01,2,0.20934660105742608,False
selective,mean_future_fitness,0.1,all_methods_pooled_diagnostic,0.025,2,0.20934660105742608,False
selective,mean_future_fitness,0.1,all_methods_pooled_diagnostic,0.05,2,0.15360968967668245,True
selective,mean_future_fitness,0.1,all_methods_pooled_diagnostic,0.01,3,0.20934660105742608,False
selective,mean_future_fitness,0.1,all_methods_pooled_diagnostic,0.025,3,0.20934660105742608,False
selective,mean_future_fitness,0.1,all_methods_pooled_diagnostic,0.05,3,0.14235028004051292,True
selective,mean_future_fitness,0.1,all_methods_pooled_diagnostic,0.01,5,0.20934660105742608,False
selective,mean_future_fitness,0.1,all_methods_pooled_diagnostic,0.025,5,0.20934660105742608,False
selective,mean_future_fitness,0.1,all_methods_pooled_diagnostic,0.05,5,0.11556838558676485,True
selective,mean_future_fitness,0.2,all_methods_pooled_diagnostic,0.01,1,0.20843991581790172,False
selective,mean_future_fitness,0.2,all_methods_pooled_diagnostic,0.025,1,0.20843991581790172,False
selective,mean_future_fitness,0.2,all_methods_pooled_diagnostic,0.05,1,0.17224756662021815,True
selective,mean_future_fitness,0.2,all_methods_pooled_diagnostic,0.01,2,0.20843991581790172,False
selective,mean_future_fitness,0.2,all_methods_pooled_diagnostic,0.025,2,0.20843991581790172,False
selective,mean_future_fitness,0.2,all_methods_pooled_diagnostic,0.05,2,0.16338120227918373,True
selective,mean_future_fitness,0.2,all_methods_pooled_diagnostic,0.01,3,0.20843991581790172,False
selective,mean_future_fitness,0.2,all_methods_pooled_diagnostic,0.025,3,0.20843991581790172,False
selective,mean_future_fitness,0.2,all_methods_pooled_diagnostic,0.05,3,0.1512645373752624,True
selective,mean_future_fitness,0.2,all_methods_pooled_diagnostic,0.01,5,0.20843991581790172,False
selective,mean_future_fitness,0.2,all_methods_pooled_diagnostic,0.025,5,0.20843991581790172,False
selective,mean_future_fitness,0.2,all_methods_pooled_diagnostic,0.05,5,0.12512235255274007,True
selective,mean_future_fitness,0.3,all_methods_pooled_diagnostic,0.01,1,0.20963615911844363,False
selective,mean_future_fitness,0.3,all_methods_pooled_diagnostic,0.025,1,0.20963615911844363,False
selective,mean_future_fitness,0.3,all_methods_pooled_diagnostic,0.05,1,0.1759737270564397,True
selective,mean_future_fitness,0.3,all_methods_pooled_diagnostic,0.01,2,0.20963615911844363,False
selective,mean_future_fitness,0.3,all_methods_pooled_diagnostic,0.025,2,0.20963615911844363,False
selective,mean_future_fitness,0.3,all_methods_pooled_diagnostic,0.05,2,0.1690740632753402,True
selective,mean_future_fitness,0.3,all_methods_pooled_diagnostic,0.01,3,0.20963615911844363,False
selective,mean_future_fitness,0.3,all_methods_pooled_diagnostic,0.025,3,0.20963615911844363,False
selective,mean_future_fitness,0.3,all_methods_pooled_diagnostic,0.05,3,0.15782712734687987,True
selective,mean_future_fitness,0.3,all_methods_pooled_diagnostic,0.01,5,0.20963615911844363,False
selective,mean_future_fitness,0.3,all_methods_pooled_diagnostic,0.025,5,0.20963615911844363,False
selective,mean_future_fitness,0.3,all_methods_pooled_diagnostic,0.05,5,0.1326181701851711,True
selective,mean_future_fitness,0.4,all_methods_pooled_diagnostic,0.01,1,0.20977089959913256,False
selective,mean_future_fitness,0.4,all_methods_pooled_diagnostic,0.025,1,0.20977089959913256,False
selective,mean_future_fitness,0.4,all_methods_pooled_diagnostic,0.05,1,0.1805277174774348,True
selective,mean_future_fitness,0.4,all_methods_pooled_diagnostic,0.01,2,0.20977089959913256,False
selective,mean_future_fitness,0.4,all_methods_pooled_diagnostic,0.025,2,0.20977089959913256,False
selective,mean_future_fitness,0.4,all_methods_pooled_diagnostic,0.05,2,0.1684876174065584,True
selective,mean_future_fitness,0.4,all_methods_pooled_diagnostic,0.01,3,0.20977089959913256,False
selective,mean_future_fitness,0.4,all_methods_pooled_diagnostic,0.025,3,0.20977089959913256,False
selective,mean_future_fitness,0.4,all_methods_pooled_diagnostic,0.05,3,0.15433288071838383,True
selective,mean_future_fitness,0.4,all_methods_pooled_diagnostic,0.01,5,0.20977089959913256,False
selective,mean_future_fitness,0.4,all_methods_pooled_diagnostic,0.025,5,0.20977089959913256,False
selective,mean_future_fitness,0.4,all_methods_pooled_diagnostic,0.05,5,0.12767895767394258,True
selective,mean_future_fitness,0.5,all_methods_pooled_diagnostic,0.01,1,0.21407629315604323,False
selective,mean_future_fitness,0.5,all_methods_pooled_diagnostic,0.025,1,0.21407629315604323,False
selective,mean_future_fitness,0.5,all_methods_pooled_diagnostic,0.05,1,0.17625323596928452,True
selective,mean_future_fitness,0.5,all_methods_pooled_diagnostic,0.01,2,0.21407629315604323,False
selective,mean_future_fitness,0.5,all_methods_pooled_diagnostic,0.025,2,0.21407629315604323,False
selective,mean_future_fitness,0.5,all_methods_pooled_diagnostic,0.05,2,0.16011293471822083,True
selective,mean_future_fitness,0.5,all_methods_pooled_diagnostic,0.01,3,0.21407629315604323,False
selective,mean_future_fitness,0.5,all_methods_pooled_diagnostic,0.025,3,0.21407629315604323,False
selective,mean_future_fitness,0.5,all_methods_pooled_diagnostic,0.05,3,0.14902131496676418,True
selective,mean_future_fitness,0.5,all_methods_pooled_diagnostic,0.01,5,0.21407629315604323,False
