condition,viability_def,inherit_prob,analysis_set,tolerance,smoothing_window,semantic_info,target_reached
selective,mean_future_fitness,0.1,kmeans_profile_only_mechanistic,0.01,1,0.18317827592524782,False
selective,mean_future_fitness,0.1,kmeans_profile_only_mechanistic,0.025,1,0.18317827592524782,False
selective,mean_future_fitness,0.1,kmeans_profile_only_mechanistic,0.05,1,0.16991071334169305,True
selective,mean_future_fitness,0.1,kmeans_profile_only_mechanistic,0.01,2,0.18317827592524782,False
selective,mean_future_fitness,0.1,kmeans_profile_only_mechanistic,0.025,2,0.18317827592524782,False
selective,mean_future_fitness,0.1,kmeans_profile_only_mechanistic,0.05,2,0.155874360063477,True
selective,mean_future_fitness,0.1,kmeans_profile_only_mechanistic,0.01,3,0.18317827592524782,False
selective,mean_future_fitness,0.1,kmeans_profile_only_mechanistic,0.025,3,0.18317827592524782,False
selective,mean_future_fitness,0.1,kmeans_profile_only_mechanistic,0.05,3,0.14821056642742986,True
selective,mean_future_fitness,0.1,kmeans_profile_only_mechanistic,0.01,5,0.18317827592524782,False
selective,mean_future_fitness,0.1,kmeans_profile_only_mechanistic,0.025,5,0.18317827592524782,False
selective,mean_future_fitness,0.1,kmeans_profile_only_mechanistic,0.05,5,0.13105894878784852,True
selective,mean_future_fitness,0.2,kmeans_profile_only_mechanistic,0.01,1,0.182384926340664,False
selective,mean_future_fitness,0.2,kmeans_profile_only_mechanistic,0.025,1,0.182384926340664,False
selective,mean_future_fitness,0.2,kmeans_profile_only_mechanistic,0.05,1,0.17481424662445894,True
selective,mean_future_fitness,0.2,kmeans_profile_only_mechanistic,0.01,2,0.182384926340664,False
selective,mean_future_fitness,0.2,kmeans_profile_only_mechanistic,0.025,2,0.182384926340664,False
selective,mean_future_fitness,0.2,kmeans_profile_only_mechanistic,0.05,2,0.163641355364614,True
selective,mean_future_fitness,0.2,kmeans_profile_only_mechanistic,0.01,3,0.182384926340664,False
selective,mean_future_fitness,0.2,kmeans_profile_only_mechanistic,0.025,3,0.182384926340664,False
selective,mean_future_fitness,0.2,kmeans_profile_only_mechanistic,0.05,3,0.15001206901470943,True
selective,mean_future_fitness,0.2,kmeans_profile_only_mechanistic,0.01,5,0.182384926340664,False
selective,mean_future_fitness,0.2,kmeans_profile_only_mechanistic,0.025,5,0.182384926340664,False
selective,mean_future_fitness,0.2,kmeans_profile_only_mechanistic,0.05,5,0.12521629210752055,True
selective,mean_future_fitness,0.3,kmeans_profile_only_mechanistic,0.01,1,0.18343163922863814,False
selective,mean_future_fitness,0.3,kmeans_profile_only_mechanistic,0.025,1,0.18343163922863814,False
selective,mean_future_fitness,0.3,kmeans_profile_only_mechanistic,0.05,1,0.17326513575172817,True
selective,mean_future_fitness,0.3,kmeans_profile_only_mechanistic,0.01,2,0.18343163922863814,False
selective,mean_future_fitness,0.3,kmeans_profile_only_mechanistic,0.025,2,0.18343163922863814,False
selective,mean_future_fitness,0.3,kmeans_profile_only_mechanistic,0.05,2,0.16493235747039997,True
selective,mean_future_fitness,0.3,kmeans_profile_only_mechanistic,0.01,3,0.18343163922863814,False
selective,mean_future_fitness,0.3,kmeans_profile_only_mechanistic,0.025,3,0.18343163922863814,False
selective,mean_future_fitness,0.3,kmeans_profile_only_mechanistic,0.05,3,0.1565158183163455,True
selective,mean_future_fitness,0.3,kmeans_profile_only_mechanistic,0.01,5,0.18343163922863814,False
selective,mean_future_fitness,0.3,kmeans_profile_only_mechanistic,0.025,5,0.18343163922863814,False
selective,mean_future_fitness,0.3,kmeans_profile_only_mechanistic,0.05,5,0.13857351539946097,True
selective,mean_future_fitness,0.4,kmeans_profile_only_mechanistic,0.01,1,0.183549537149241,False
selective,mean_future_fitness,0.4,kmeans_profile_only_mechanistic,0.025,1,0.183549537149241,False
selective,mean_future_fitness,0.4,kmeans_profile_only_mechanistic,0.05,1,0.180961291401513,True
selective,mean_future_fitness,0.4,kmeans_profile_only_mechanistic,0.01,2,0.183549537149241,False
selective,mean_future_fitness,0.4,kmeans_profile_only_mechanistic,0.025,2,0.183549537149241,False
selective,mean_future_fitness,0.4,kmeans_profile_only_mechanistic,0.05,2,0.16947203453612264,True
selective,mean_future_fitness,0.4,kmeans_profile_only_mechanistic,0.01,3,0.183549537149241,False
selective,mean_future_fitness,0.4,kmeans_profile_only_mechanistic,0.025,3,0.183549537149241,False
selective,mean_future_fitness,0.4,kmeans_profile_only_mechanistic,0.05,3,0.15472232918455744,True
