condition,viability_def,inherit_prob,analysis_set,tolerance,smoothing_window,semantic_info,target_reached
selective,threshold_survival,0.1,primary_no_kmeans,0.01,1,0.21068274960093608,False
selective,threshold_survival,0.1,primary_no_kmeans,0.025,1,0.21068274960093608,False
selective,threshold_survival,0.1,primary_no_kmeans,0.05,1,0.21068274960093608,False
selective,threshold_survival,0.1,primary_no_kmeans,0.01,2,0.21068274960093608,False
selective,threshold_survival,0.1,primary_no_kmeans,0.025,2,0.21068274960093608,False
selective,threshold_survival,0.1,primary_no_kmeans,0.05,2,0.21068274960093608,False
selective,threshold_survival,0.1,primary_no_kmeans,0.01,3,0.21068274960093608,False
selective,threshold_survival,0.1,primary_no_kmeans,0.025,3,0.21068274960093608,False
selective,threshold_survival,0.1,primary_no_kmeans,0.05,3,0.21068274960093608,False
selective,threshold_survival,0.1,primary_no_kmeans,0.01,5,0.21068274960093608,False
selective,threshold_survival,0.1,primary_no_kmeans,0.025,5,0.21068274960093608,False
selective,threshold_survival,0.1,primary_no_kmeans,0.05,5,0.21068274960093608,False
selective,threshold_survival,0.2,primary_no_kmeans,0.01,1,0.20964043658697717,False
selective,threshold_survival,0.2,primary_no_kmeans,0.025,1,0.20964043658697717,False
selective,threshold_survival,0.2,primary_no_kmeans,0.05,1,0.20964043658697717,False
selective,threshold_survival,0.2,primary_no_kmeans,0.01,2,0.20964043658697717,False
selective,threshold_survival,0.2,primary_no_kmeans,0.025,2,0.20964043658697717,False
selective,threshold_survival,0.2,primary_no_kmeans,0.05,2,0.20964043658697717,False
selective,threshold_survival,0.2,primary_no_kmeans,0.01,3,0.20964043658697717,False
selective,threshold_survival,0.2,primary_no_kmeans,0.025,3,0.20964043658697717,False
selective,threshold_survival,0.2,primary_no_kmeans,0.05,3,0.20964043658697717,False
selective,threshold_survival,0.2,primary_no_kmeans,0.01,5,0.20964043658697717,False
selective,threshold_survival,0.2,primary_no_kmeans,0.025,5,0.20964043658697717,False
selective,threshold_survival,0.2,primary_no_kmeans,0.05,5,0.20964043658697717,False
selective,threshold_survival,0.3,primary_no_kmeans,0.01,1,0.21131475434754393,False
selective,threshold_survival,0.3,primary_no_kmeans,0.025,1,0.21131475434754393,False
selective,threshold_survival,0.3,primary_no_kmeans,0.05,1,0.21131475434754393,False
selective,threshold_survival,0.3,primary_no_kmeans,0.01,2,0.21131475434754393,False
selective,threshold_survival,0.3,primary_no_kmeans,0.025,2,0.21131475434754393,False
selective,threshold_survival,0.3,primary_no_kmeans,0.05,2,0.21131475434754393,False
selective,threshold_survival,0.3,primary_no_kmeans,0.01,3,0.21131475434754393,False
selective,threshold_survival,0.3,primary_no_kmeans,0.025,3,0.21131475434754393,False
selective,threshold_survival,0.3,primary_no_kmeans,0.05,3,0.21131475434754393,False
selective,threshold_survival,0.3,primary_no_kmeans,0.01,5,0.21131475434754393,False
selective,threshold_survival,0.3,primary_no_kmeans,0.025,5,0.21131475434754393,False
