condition,viability_def,inherit_prob,analysis_set,tolerance,smoothing_window,semantic_info,target_reached
selective,threshold_survival,0.1,kmeans_profile_only_mechanistic,0.01,1,0.06384591998046948,True
selective,threshold_survival,0.1,kmeans_profile_only_mechanistic,0.025,1,0.05834594223732384,True
selective,threshold_survival,0.1,kmeans_profile_only_mechanistic,0.05,1,0.052114414611886,True
selective,threshold_survival,0.1,kmeans_profile_only_mechanistic,0.01,2,0.04963332498208856,True
selective,threshold_survival,0.1,kmeans_profile_only_mechanistic,0.025,2,0.04573102867114503,True
selective,threshold_survival,0.1,kmeans_profile_only_mechanistic,0.05,2,0.041225391481727984,True
selective,threshold_survival,0.1,kmeans_profile_only_mechanistic,0.01,3,0.037728492052444024,True
selective,threshold_survival,0.1,kmeans_profile_only_mechanistic,0.025,3,0.03222851430929838,True
selective,threshold_survival,0.1,kmeans_profile_only_mechanistic,0.05,3,0.025827234284380732,True
selective,threshold_survival,0.1,kmeans_profile_only_mechanistic,0.01,5,0.0,True
selective,threshold_survival,0.1,kmeans_profile_only_mechanistic,0.025,5,0.0,True
selective,threshold_survival,0.1,kmeans_profile_only_mechanistic,0.05,5,0.0,True
selective,threshold_survival,0.2,kmeans_profile_only_mechanistic,0.01,1,0.06573983354898141,True
selective,threshold_survival,0.2,kmeans_profile_only_mechanistic,0.025,1,0.06298730787339474,True
selective,threshold_survival,0.2,kmeans_profile_only_mechanistic,0.05,1,0.0583997650807503,True
selective,threshold_survival,0.2,kmeans_profile_only_mechanistic,0.01,2,0.05098107599284869,True
selective,threshold_survival,0.2,kmeans_profile_only_mechanistic,0.025,2,0.049028127946285166,True
selective,threshold_survival,0.2,kmeans_profile_only_mechanistic,0.05,2,0.04577321453534594,True
selective,threshold_survival,0.2,kmeans_profile_only_mechanistic,0.01,3,0.03959831287036921,True
selective,threshold_survival,0.2,kmeans_profile_only_mechanistic,0.025,3,0.03684578719478254,True
selective,threshold_survival,0.2,kmeans_profile_only_mechanistic,0.05,3,0.032258244402138106,True
selective,threshold_survival,0.2,kmeans_profile_only_mechanistic,0.01,5,0.0,True
selective,threshold_survival,0.2,kmeans_profile_only_mechanistic,0.025,5,0.0,True
selective,threshold_survival,0.2,kmeans_profile_only_mechanistic,0.05,5,0.0,True
selective,threshold_survival,0.3,kmeans_profile_only_mechanistic,0.01,1,0.05205023136587837,True
selective,threshold_survival,0.3,kmeans_profile_only_mechanistic,0.025,1,0.05126470610424612,True
selective,threshold_survival,0.3,kmeans_profile_only_mechanistic,0.05,1,0.049955497334859024,True
selective,threshold_survival,0.3,kmeans_profile_only_mechanistic,0.01,2,0.040925751346195076,True
selective,threshold_survival,0.3,kmeans_profile_only_mechanistic,0.025,2,0.03981861567237653,True
selective,threshold_survival,0.3,kmeans_profile_only_mechanistic,0.05,2,0.037973389549345635,True
selective,threshold_survival,0.3,kmeans_profile_only_mechanistic,0.01,3,0.02502518347984941,True
selective,threshold_survival,0.3,kmeans_profile_only_mechanistic,0.025,3,0.023132522544398612,True
selective,threshold_survival,0.3,kmeans_profile_only_mechanistic,0.05,3,0.019978087651980617,True
selective,threshold_survival,0.3,kmeans_profile_only_mechanistic,0.01,5,0.0,True
selective,threshold_survival,0.3,kmeans_profile_only_mechanistic,0.025,5,0.0,True
selective,threshold_survival,0.3,kmeans_profile_only_mechanistic,0.05,5,0.0,True
selective,threshold_survival,0.4,kmeans_profile_only_mechanistic,0.01,1,0.05256644613121081,True
selective,threshold_survival,0.4,kmeans_profile_only_mechanistic,0.025,1,0.05190645633043331,True
selective,threshold_survival,0.4,kmeans_profile_only_mechanistic,0.05,1,0.05080647332913748,True
selective,threshold_survival,0.4,kmeans_profile_only_mechanistic,0.01,2,0.04138647373265458,True
selective,threshold_survival,0.4,kmeans_profile_only_mechanistic,0.025,2,0.040456270353480206,True
selective,threshold_survival,0.4,kmeans_profile_only_mechanistic,0.05,2,0.03890593138818958,True
selective,threshold_survival,0.4,kmeans_profile_only_mechanistic,0.01,3,0.025443090879229985,True
selective,threshold_survival,0.4,kmeans_profile_only_mechanistic,0.025,3,0.02385289769927811,True
selective,threshold_survival,0.4,kmeans_profile_only_mechanistic,0.05,3,0.02120257573269165,True
selective,threshold_survival,0.4,kmeans_profile_only_mechanistic,0.01,5,0.0,True
selective,threshold_survival,0.4,kmeans_profile_only_mechanistic,0.025,5,0.0,True
selective,threshold_survival,0.4,kmeans_profile_only_mechanistic,0.05,5,0.0,True
selective,threshold_survival,0.5,kmeans_profile_only_mechanistic,0.01,1,0.07763317745784974,True
selective,threshold_survival,0.5,kmeans_profile_only_mechanistic,0.025,1,0.07350762358778858,True
selective,threshold_survival,0.5,kmeans_profile_only_mechanistic,0.05,1,0.06580426671383778,True
selective,threshold_survival,0.5,kmeans_profile_only_mechanistic,0.01,2,0.06518038508795013,True
selective,threshold_survival,0.5,kmeans_profile_only_mechanistic,0.025,2,0.05956545045496104,True
selective,threshold_survival,0.5,kmeans_profile_only_mechanistic,0.05,2,0.051113378905914233,True
selective,threshold_survival,0.5,kmeans_profile_only_mechanistic,0.01,3,0.05067072784788023,True
selective,threshold_survival,0.5,kmeans_profile_only_mechanistic,0.025,3,0.04668686832557413,True
selective,threshold_survival,0.5,kmeans_profile_only_mechanistic,0.05,3,0.03914094961579564,True
selective,threshold_survival,0.5,kmeans_profile_only_mechanistic,0.01,5,0.02026412099451202,True
selective,threshold_survival,0.5,kmeans_profile_only_mechanistic,0.025,5,0.01066532683921683,True
selective,threshold_survival,0.5,kmeans_profile_only_mechanistic,0.05,5,0.0,True
selective,threshold_survival,0.6,kmeans_profile_only_mechanistic,0.01,1,0.054217504015779905,True
selective,threshold_survival,0.6,kmeans_profile_only_mechanistic,0.025,1,0.05339927097609043,True
selective,threshold_survival,0.6,kmeans_profile_only_mechanistic,0.05,1,0.05203554924327462,True
selective,threshold_survival,0.6,kmeans_profile_only_mechanistic,0.01,2,0.04262982180355379,True
selective,threshold_survival,0.6,kmeans_profile_only_mechanistic,0.025,2,0.04147658710572264,True
selective,threshold_survival,0.6,kmeans_profile_only_mechanistic,0.05,2,0.03955452927600407,True
selective,threshold_survival,0.6,kmeans_profile_only_mechanistic,0.01,3,0.026067184529439364,True
selective,threshold_survival,0.6,kmeans_profile_only_mechanistic,0.025,3,0.02409571679191874,True
selective,threshold_survival,0.6,kmeans_profile_only_mechanistic,0.05,3,0.020809937229384363,True
selective,threshold_survival,0.6,kmeans_profile_only_mechanistic,0.01,5,0.0,True
selective,threshold_survival,0.6,kmeans_profile_only_mechanistic,0.025,5,0.0,True
selective,threshold_survival,0.6,kmeans_profile_only_mechanistic,0.05,5,0.0,True
selective,threshold_survival,0.7,kmeans_profile_only_mechanistic,0.01,1,0.07243275066023067,True
selective,threshold_survival,0.7,kmeans_profile_only_mechanistic,0.025,1,0.07042955065065312,True
selective,threshold_survival,0.7,kmeans_profile_only_mechanistic,0.05,1,0.06709088396802386,True
selective,threshold_survival,0.7,kmeans_profile_only_mechanistic,0.01,2,0.05612735523638236,True
selective,threshold_survival,0.7,kmeans_profile_only_mechanistic,0.025,2,0.05470606221075175,True
selective,threshold_survival,0.7,kmeans_profile_only_mechanistic,0.05,2,0.052337240501367385,True
selective,threshold_survival,0.7,kmeans_profile_only_mechanistic,0.01,3,0.043895308700162616,True
selective,threshold_survival,0.7,kmeans_profile_only_mechanistic,0.025,3,0.04189210869058506,True
selective,threshold_survival,0.7,kmeans_profile_only_mechanistic,0.05,3,0.0385534420079558,True
