condition,inherit_prob,replicate,baseline_replicate,baseline_run_seed,information_observation_seed,permutation_root_seed,permutation_stream_index,n_information_permutations,state_path,rng_state_path,state_hash,trajectory_hash,final_mean_fitness,total_information,positional_information,conditional_information,permutation_mean,permutation_std,corrected_conditional_information
control,0.1,0,control_p0.1_r00,3848474011,3706370506,2026073104,0,200,results/phase4_core/states/control/p0.1/rep_00.npz,results/phase4_core/states/control/p0.1/rep_00.rng.json,90e7cc72aef0fc5a5b033c8fe65119b6ff832b7a90ca598348a7d8c107f82b15,1801f356d1c49b633e1f8cb15aaf06f6851543303a2c29c4db3998b2585da74d,26.709375,0.06192301541010685,0.06630068881979576,0.2819907697514612,0.28522670977820747,0.0028186076921283016,-0.0032359400267462646
control,0.1,1,control_p0.1_r01,1232976297,1624099318,2026073104,0,200,results/phase4_core/states/control/p0.1/rep_01.npz,results/phase4_core/states/control/p0.1/rep_01.rng.json,8f49bd3184f0bf134ade89311057692a9917eb8f8a2b9a42442db6b935d266e9,6c33caf9221cb2ed28ded11a19cd81d50ee9bb0ef2feb220d71cad9b5a5b8754,26.63046875,0.06583081237930735,0.06403803548206383,0.285234141919272,0.2859036628699879,0.0027366683206639097,-0.0006695209507159294
control,0.1,2,control_p0.1_r02,930312551,4053014728,2026073104,0,200,results/phase4_core/states/control/p0.1/rep_02.npz,results/phase4_core/states/control/p0.1/rep_02.rng.json,acd400b3d4081d31832b9194ffc7d549716dd20f31283628ad7b5c5e91233d70,67d1bade87d8e9043918772feb33e1ad3de33a0310543b5e42d8c56208ed20af,27.11484375,0.06717967455753864,0.06830506595964686,0.2894755848841978,0.28566685641757333,0.0026397361058935484,0.0038087284666244448
control,0.1,3,control_p0.1_r03,2814745333,3787147918,2026073104,0,200,results/phase4_core/states/control/p0.1/rep_03.npz,results/phase4_core/states/control/p0.1/rep_03.rng.json,b2ef7ae712300433b4c2e9e5af1bb13c33c82d37632d27a5079672698c9611c6,48a3de934befa0df0d4401fba9d7e955286550590e0c2a9668761f33db2ac332,27.3234375,0.06374771417539721,0.06315112297887754,0.28826954728857634,0.2860732055005938,0.0029048206325607445,0.0021963417879825586
control,0.1,4,control_p0.1_r04,2268582038,659398847,2026073104,0,200,results/phase4_core/states/control/p0.1/rep_04.npz,results/phase4_core/states/control/p0.1/rep_04.rng.json,1fe6e6257be8be49cdd4a5411bed604655215162aadf17a12eb22c48c2b5550e,27d4def31b37665f9249289f6430b06927432ed8e61822665e14dda6c669b902,27.225,0.06480181801978373,0.06451932106056657,0.286511083956133,0.28591884160992537,0.0027602744204935203,0.0005922423462076387
control,0.1,5,control_p0.1_r05,3996898393,455380620,2026073104,0,200,results/phase4_core/states/control/p0.1/rep_05.npz,results/phase4_core/states/control/p0.1/rep_05.rng.json,f0021b63eac1e0e2932b4bca91f8c390303d1798bf8403d5427e15cfd12c9804,4580d70ce7cd68324d6ad6679f5de904e657186116a72a55a8532bd71deef592,27.35078125,0.06715874867049065,0.06927105451556187,0.28668813279532546,0.2855031011897313,0.003139306661754254,0.0011850316055941335
control,0.1,6,control_p0.1_r06,3837690422,3240441049,2026073104,0,200,results/phase4_core/states/control/p0.1/rep_06.npz,results/phase4_core/states/control/p0.1/rep_06.rng.json,fc40eba841ac9c7dff2e04e5d29013ad87a1f599ecc29af3d6db865653bc68de,b1aec0ab0c184458fbd370cf6f368a72edb4b0930eb5008daafe60444e15c17a,26.7265625,0.0652881304592068,0.06534885564269216,0.2868726262264759,0.28569732344814186,0.0025565121759212263,0.001175302778334053
control,0.1,7,control_p0.1_r07,125147475,3036446719,2026073104,0,200,results/phase4_core/states/control/p0.1/rep_07.npz,results/phase4_core/states/control/p0.1/rep_07.rng.json,61893cf224895526ff6429051fb7ac591dfa310b58d4fd9534b92b1cd2e9c540,2d88ca048aafbd2053c116228c90eb27a047b323f308c5acc0d02bf007999ee3,26.78046875,0.061930727889563206,0.06504717158340018,0.2813724754990932,0.2860682209952975,0.0025935931269781567,-0.004695745496204273
control,0.1,8,control_p0.1_r08,3711071568,1033188490,2026073104,0,200,results/phase4_core/states/control/p0.1/rep_08.npz,results/phase4_core/states/control/p0.1/rep_08.rng.json,8c332e4d344605e6f8dd095a3b7a3ef53af9db099f5f76f264c77f9948e9ef3a,1d833d7af13cab988b8da9022b3128fd2c4f430787a3f487faef71096950f7a2,26.99609375,0.06478828720003117,0.06597397729610155,0.2867024415728111,0.28585436301985284,0.003059093859534948,0.0008480785529582646
control,0.1,9,control_p0.1_r09,1982780230,604779652,2026073104,0,200,results/phase4_core/states/control/p0.1/rep_09.npz,results/phase4_core/states/control/p0.1/rep_09.rng.json,e6b053076f19265324e50c1b32005a2849e58aec8407edbeac9247edbdc52d93,eb34ad199d2a88bbe3aa396313c345103d9de3032a328efa6675365b0f26265f,27.2265625,0.0666063892630637,0.06449250426298503,0.29163337402527695,0.28562813468680076,0.0027777718301858125,0.006005239338476187
