condition,inherit_prob,replicate,baseline_replicate,baseline_run_seed,information_observation_seed,permutation_root_seed,permutation_stream_index
control,0.1,0,control_p0.1_r00,3848474011,3706370506,2026073104,0
control,0.1,1,control_p0.1_r01,1232976297,1624099318,2026073104,0
control,0.1,2,control_p0.1_r02,930312551,4053014728,2026073104,0
control,0.1,3,control_p0.1_r03,2814745333,3787147918,2026073104,0
control,0.1,4,control_p0.1_r04,2268582038,659398847,2026073104,0
control,0.1,5,control_p0.1_r05,3996898393,455380620,2026073104,0
control,0.1,6,control_p0.1_r06,3837690422,3240441049,2026073104,0
control,0.1,7,control_p0.1_r07,125147475,3036446719,2026073104,0
control,0.1,8,control_p0.1_r08,3711071568,1033188490,2026073104,0
control,0.1,9,control_p0.1_r09,1982780230,604779652,2026073104,0
control,0.1,10,control_p0.1_r10,11207777,194868408,2026073104,0
control,0.1,11,control_p0.1_r11,3905702619,907989072,2026073104,0
control,0.1,12,control_p0.1_r12,908094753,560794355,2026073104,0
control,0.1,13,control_p0.1_r13,3901032855,3418898315,2026073104,0
control,0.1,14,control_p0.1_r14,2330218388,1584452455,2026073104,0
control,0.1,15,control_p0.1_r15,1598088880,2195882858,2026073104,0
control,0.1,16,control_p0.1_r16,1688825002,3941092899,2026073104,0
control,0.1,17,control_p0.1_r17,1031904859,3856933157,2026073104,0
control,0.1,18,control_p0.1_r18,3167947440,1915640228,2026073104,0
control,0.1,19,control_p0.1_r19,4191381499,3585269626,2026073104,0
control,0.2,0,control_p0.2_r00,3314782565,3449865665,2026073104,0
control,0.2,1,control_p0.2_r01,2238472981,92076203,2026073104,0
control,0.2,2,control_p0.2_r02,3486582719,1935359436,2026073104,0
control,0.2,3,control_p0.2_r03,1730430674,338399460,2026073104,0
control,0.2,4,control_p0.2_r04,3783757707,4224326616,2026073104,0
control,0.2,5,control_p0.2_r05,1686373950,4029174348,2026073104,0
control,0.2,6,control_p0.2_r06,1426993073,1530941573,2026073104,0
control,0.2,7,control_p0.2_r07,1711189001,2619048119,2026073104,0
control,0.2,8,control_p0.2_r08,2814663107,825382504,2026073104,0
control,0.2,9,control_p0.2_r09,948260613,2501008533,2026073104,0
control,0.2,10,control_p0.2_r10,2431912562,12689178,2026073104,0
control,0.2,11,control_p0.2_r11,486254214,3638781612,2026073104,0
control,0.2,12,control_p0.2_r12,3483109614,89641957,2026073104,0
control,0.2,13,control_p0.2_r13,1977777393,2078931197,2026073104,0
control,0.2,14,control_p0.2_r14,1177471657,1854934558,2026073104,0
control,0.2,15,control_p0.2_r15,153552793,3577028001,2026073104,0
control,0.2,16,control_p0.2_r16,499040307,305495543,2026073104,0
control,0.2,17,control_p0.2_r17,4247298913,2969716805,2026073104,0
control,0.2,18,control_p0.2_r18,1986527594,2332980100,2026073104,0
control,0.2,19,control_p0.2_r19,1113679740,581975374,2026073104,0
control,0.3,0,control_p0.3_r00,640936160,2695558194,2026073104,0
control,0.3,1,control_p0.3_r01,3307905777,208580522,2026073104,0
control,0.3,2,control_p0.3_r02,472409451,102721620,2026073104,0
control,0.3,3,control_p0.3_r03,3728011851,2909093357,2026073104,0
control,0.3,4,control_p0.3_r04,3286889116,1341867767,2026073104,0
control,0.3,5,control_p0.3_r05,3656938491,3860597711,2026073104,0
control,0.3,6,control_p0.3_r06,2079662945,68959564,2026073104,0
control,0.3,7,control_p0.3_r07,3013115207,1430352354,2026073104,0
control,0.3,8,control_p0.3_r08,1775343999,3979116977,2026073104,0
control,0.3,9,control_p0.3_r09,2690895711,4293393072,2026073104,0
control,0.3,10,control_p0.3_r10,7138034,3522186219,2026073104,0
control,0.3,11,control_p0.3_r11,3565764375,1043517,2026073104,0
control,0.3,12,control_p0.3_r12,3442964586,1071000546,2026073104,0
control,0.3,13,control_p0.3_r13,1296378262,3641378666,2026073104,0
control,0.3,14,control_p0.3_r14,2769109518,1750061223,2026073104,0
control,0.3,15,control_p0.3_r15,637449332,438980314,2026073104,0
