inherit_prob,bootstrap_index,condition,reach_fraction,median_semantic_information_among_reached,median_censored_lower_bound,mean_value_of_information,n_reached,n_censored
0.1,0,control,1.0,0.0,,0.0,20,0
0.1,0,selective,1.0,0.503905155406701,,5.708613823784725,20,0
0.1,1,control,1.0,0.0,,0.0,20,0
0.1,1,selective,1.0,0.5047695173214952,,5.745774197048616,20,0
0.1,2,control,1.0,0.0,,0.0,20,0
0.1,2,selective,1.0,0.5052880551339392,,5.745528428819448,20,0
0.1,3,control,1.0,0.0,,0.0,20,0
0.1,3,selective,1.0,0.5045660040866706,,5.7190787760416715,20,0
0.1,4,control,1.0,0.0,,0.0,20,0
0.1,4,selective,1.0,0.5029150456342,,5.7094194878472235,20,0
0.1,5,control,1.0,0.0,,0.0,20,0
0.1,5,selective,1.0,0.503325415226958,,5.725177951388893,20,0
0.1,6,control,1.0,0.0,,0.0,20,0
0.1,6,selective,1.0,0.5020303642855812,,5.712377387152781,20,0
0.1,7,control,1.0,0.0,,0.0,20,0
0.1,7,selective,1.0,0.5070775566771453,,5.736816948784722,20,0
0.1,8,control,1.0,0.0,,0.0,20,0
0.1,8,selective,1.0,0.503325415226958,,5.712402886284722,20,0
0.1,9,control,1.0,0.0,,0.0,20,0
0.1,9,selective,1.0,0.5024407338783392,,5.722828776041671,20,0
0.1,10,control,1.0,0.0,,0.0,20,0
0.1,10,selective,1.0,0.502504676041442,,5.7039339192708365,20,0
0.1,11,control,1.0,0.0,,0.0,20,0
0.1,11,selective,1.0,0.503325415226958,,5.70345920138889,20,0
0.1,12,control,1.0,0.0,,0.0,20,0
0.1,12,selective,1.0,0.503325415226958,,5.721783854166668,20,0
0.1,13,control,1.0,0.0,,0.0,20,0
0.1,13,selective,1.0,0.5043373363640982,,5.713585611979168,20,0
0.1,14,control,1.0,0.0,,0.0,20,0
0.1,14,selective,1.0,0.5029150456342,,5.743055555555559,20,0
0.1,15,control,1.0,0.0,,0.0,20,0
0.1,15,selective,1.0,0.503905155406701,,5.716085611979166,20,0
0.1,16,control,1.0,0.0,,0.0,20,0
0.1,16,selective,1.0,0.5052880551339392,,5.734554036458336,20,0
0.1,17,control,1.0,0.0,,0.0,20,0
0.1,17,selective,1.0,0.502504676041442,,5.686268988715279,20,0
0.1,18,control,1.0,0.0,,0.0,20,0
0.1,18,selective,1.0,0.5023178776119777,,5.721555989583337,20,0
0.1,19,control,1.0,0.0,,0.0,20,0
0.1,19,selective,1.0,0.5077415934083007,,5.736971028645835,20,0
0.1,20,control,1.0,0.0,,0.0,20,0
0.1,20,selective,1.0,0.5027282472047356,,5.72908637152778,20,0
0.1,21,control,1.0,0.0,,0.0,20,0
0.1,21,selective,1.0,0.5068011914855067,,5.746941731770834,20,0
0.1,22,control,1.0,0.0,,0.0,20,0
0.1,22,selective,1.0,0.5029150456342,,5.730544162326391,20,0
0.1,23,control,1.0,0.0,,0.0,20,0
0.1,23,selective,1.0,0.5036152853168294,,5.7107633463541685,20,0
0.1,24,control,1.0,0.0,,0.0,20,0
0.1,24,selective,1.0,0.5036152853168294,,5.7063286675347245,20,0
0.1,25,control,1.0,0.0,,0.0,20,0
