condition,inherit_prob,replicate,baseline_replicate,map_id,map_hash,method,endpoint_type,actual_groups,retained_information,baseline_information,continuation_index,viability,mean_fitness_trajectory_json,final_population_hash,continuation_root_seed,continuation_stream_key
selective,0.4,6,selective_p0.4_r06,actual,actual,unintervened,actual,1024,0.5016961679335439,0.5016961679335439,0,32.978797743055544,"[33.07734375, 33.26953125, 32.74921875, 33.48046875, 32.98359375, 32.98125, 32.578125, 33.6796875, 32.56328125, 33.4609375, 32.9171875, 32.6328125, 32.71171875, 32.42109375, 33.603125, 32.7484375, 32.64765625, 32.71953125, 33.1984375, 32.72265625, 33.2265625, 32.4671875, 33.1984375, 32.721875, 32.840625, 32.81875, 33.61484375, 33.3359375, 33.28671875, 33.0609375, 32.6, 32.715625, 33.20625, 33.22265625, 32.8421875, 32.93203125]",663c547d05a219cb121987aa227015c7db59e361d5e1635773deed143c3f1a05,2026073104,selective_p0.4_r06|0
selective,0.4,6,selective_p0.4_r06,m000_constant,9f1dcbc35c350d6027f98be0f5c8b43b42ca52b7604459c0c42be3aa88913d47,constant,constant,1,0.0,0.5016961679335439,0,27.178819444444443,"[27.1296875, 27.25078125, 25.98828125, 27.09609375, 26.43984375, 27.0984375, 26.48515625, 27.60859375, 27.43984375, 27.11015625, 27.38203125, 26.78359375, 27.44375, 26.96953125, 27.19140625, 27.115625, 27.08671875, 26.97890625, 27.44921875, 27.52421875, 27.13515625, 27.5484375, 27.17890625, 27.44765625, 27.80703125, 27.52734375, 27.46484375, 27.67890625, 27.4546875, 27.4203125, 26.83671875, 26.66640625, 27.08203125, 27.62109375, 27.33828125, 26.6578125]",93e5128a56a65abd7e3011cc56fa9166a5fa381769d60c9cd784e20568e8748a,2026073104,selective_p0.4_r06|0
selective,0.4,6,selective_p0.4_r06,m001_balanced_random_group,74484e9508b33b029e993a9e9ccafe4f01d96055374e557f6aa5a37d25bd9c9f,balanced_random_group,intermediate,2,0.00011555558043355711,0.5016961679335439,0,27.17465277777778,"[27.15703125, 27.24296875, 25.80703125, 27.2390625, 26.5046875, 26.97421875, 26.5671875, 27.628125, 27.38203125, 27.06015625, 27.4078125, 26.6609375, 27.49765625, 26.9109375, 27.19453125, 27.146875, 27.03046875, 26.87421875, 27.29375, 27.5265625, 27.28671875, 27.409375, 27.15546875, 27.45546875, 27.79140625, 27.471875, 27.459375, 27.69921875, 27.5703125, 27.540625, 26.934375, 26.62109375, 27.0828125, 27.68046875, 27.328125, 26.69453125]",b7abb600a6be60e89b2496aff51e7b6b08dcaf2a02f20ca6328c2d5881f7f700,2026073104,selective_p0.4_r06|0
selective,0.4,6,selective_p0.4_r06,m002_balanced_random_group,e96a93c5fa6154fe18dcd30eb7bdbc3a6e3320a989da83ae67372a9adf58cbba,balanced_random_group,intermediate,4,0.0018523207416254628,0.5016961679335439,0,27.233984375,"[27.259375, 27.2828125, 25.87421875, 27.22578125, 26.64140625, 27.0953125, 26.540625, 27.7984375, 27.54140625, 27.31484375, 27.73671875, 26.73671875, 27.49609375, 26.971875, 27.26484375, 27.109375, 27.11015625, 26.7546875, 27.271875, 27.49609375, 27.21484375, 27.5390625, 27.35703125, 27.73046875, 27.6171875, 27.47421875, 27.65, 27.559375, 27.74296875, 27.47890625, 26.93828125, 26.5265625, 27.0609375, 27.91328125, 27.29296875, 26.8046875]",688df563533707f2cd7783ac9767d6a2c6f3fd073dda4fec939433477fc52c8f,2026073104,selective_p0.4_r06|0
selective,0.4,6,selective_p0.4_r06,m003_balanced_random_group,14f0105f9e20916e897f4df17fdec0d896085dd5f5320e129bc322820142f8a6,balanced_random_group,intermediate,8,0.004341842878345549,0.5016961679335439,0,27.266861979166663,"[27.21640625, 27.0859375, 25.7734375, 27.0453125, 26.803125, 27.1140625, 26.865625, 27.53359375, 27.75078125, 27.4828125, 27.6140625, 27.44609375, 27.32109375, 26.91015625, 27.66171875, 27.515625, 27.08828125, 27.1140625, 27.16953125, 27.5390625, 26.96953125, 27.13203125, 27.3328125, 27.46640625, 27.7265625, 27.5171875, 27.62578125, 27.6, 27.93984375, 27.56875, 26.9984375, 26.81171875, 27.47578125, 27.56796875, 27.24140625, 26.58203125]",a1f16a62b467667c27c82224391f5e364e7529aa4c54dcc2f966cfd2791c8056,2026073104,selective_p0.4_r06|0
selective,0.4,6,selective_p0.4_r06,m004_balanced_random_group,bb2ba2d5c103ddf6a98d341d94ebe51e88d622a6cb807898cdf9fd63b491a80f,balanced_random_group,intermediate,16,0.00649584345260213,0.5016961679335439,0,27.25321180555556,"[27.23984375, 27.3421875, 26.21171875, 27.31640625, 26.6734375, 27.27421875, 26.80625, 27.59609375, 27.534375, 27.23515625, 27.86953125, 26.8703125, 27.490625, 27.00078125, 27.32421875, 27.0875, 27.05703125, 26.9125, 27.20625, 27.8296875, 27.23125, 27.54296875, 27.19453125, 27.36484375, 27.47421875, 27.68359375, 27.8046875, 27.64375, 27.70859375, 27.425, 26.96328125, 26.5625, 27.23125, 27.73046875, 26.9359375, 26.740625]",d8bb012cf9ec1012c5caadda13fbca2e47f332fcf862031313c4a0086221481d,2026073104,selective_p0.4_r06|0
selective,0.4,6,selective_p0.4_r06,m005_balanced_random_group,c65bd191d1da1176a8030b84146455e1d1f9bf63bb8d4993a72ab07906c80b78,balanced_random_group,intermediate,32,0.01280346247279139,0.5016961679335439,0,27.368250868055558,"[27.46875, 27.49296875, 26.50234375, 27.30859375, 26.95625, 27.1625, 26.85546875, 27.96171875, 27.59140625, 27.40078125, 27.47265625, 27.20625, 27.74375, 26.82109375, 27.2171875, 26.85703125, 27.1875, 27.10078125, 27.31171875, 27.753125, 27.2859375, 27.6875, 27.3390625, 27.5921875, 27.934375, 27.57578125, 27.4296875, 27.7828125, 27.81328125, 27.7484375, 27.4, 26.38125, 27.24765625, 28.2703125, 27.4609375, 26.9359375]",8b31f203e354d772aa7f8e7106b997ede938aa9913fdb7d8b6fea1942e688390,2026073104,selective_p0.4_r06|0
selective,0.4,6,selective_p0.4_r06,m006_balanced_random_group,54146794238237c8e13f9205ac93004ce5acfdbc51f3cd9b991ee15e2a36f684,balanced_random_group,intermediate,64,0.030611177390914325,0.5016961679335439,0,27.643033854166667,"[27.7, 27.80703125, 26.8234375, 27.5015625, 26.98828125, 26.8015625, 27.20625, 27.7953125, 28.03203125, 27.8375, 28.21484375, 27.5546875, 27.8609375, 27.46875, 27.81875, 27.9765625, 27.353125, 27.45234375, 27.70859375, 28.36171875, 27.48046875, 28.3046875, 27.61015625, 28.30390625, 28.05859375, 27.45234375, 27.6765625, 27.625, 27.684375, 28.14296875, 27.40703125, 26.3109375, 27.521875, 28.16640625, 27.43828125, 27.70234375]",88f37e918dd7f122520793431ede51d7de1faaf07cc3b3f96aabb4b5f89b2469,2026073104,selective_p0.4_r06|0
selective,0.4,6,selective_p0.4_r06,m007_balanced_random_group,e179435da112ea8d971ae26891de689741e68338ddf13a7241197cfbaded0b83,balanced_random_group,intermediate,128,0.0650654913059953,0.5016961679335439,0,28.307617187499996,"[28.19609375, 27.86953125, 27.42109375, 28.4328125, 28.0046875, 27.9390625, 28.2125, 29.06640625, 28.63984375, 28.45390625, 29.2109375, 28.4, 28.35703125, 27.63984375, 28.50390625, 27.80234375, 28.9484375, 27.99375, 28.84609375, 28.86484375, 28.00078125, 28.11484375, 28.3, 28.784375, 28.4640625, 27.965625, 28.65703125, 28.10625, 28.17890625, 28.3015625, 28.3609375, 27.75703125, 28.0265625, 28.64765625, 28.57109375, 28.034375]",0560d5817f16886899622c8e6db05d698946d0dc4bf3e3fa3917fa471699bc67,2026073104,selective_p0.4_r06|0
selective,0.4,6,selective_p0.4_r06,m008_balanced_random_group,e471d7c08820922fc6c21006a6b4685c49e9368d31cd4fbe021c3167456046e0,balanced_random_group,intermediate,256,0.1310032518030688,0.5016961679335439,0,29.13773871527778,"[29.25859375, 28.83359375, 28.165625, 29.36796875, 28.87421875, 29.0953125, 28.8546875, 29.28203125, 29.20546875, 28.55390625, 28.846875, 29.03671875, 29.35390625, 28.9328125, 30.02890625, 28.6984375, 29.3625, 29.075, 29.79140625, 29.27421875, 28.890625, 28.78984375, 28.5921875, 30.065625, 29.30546875, 28.93515625, 29.75703125, 29.27578125, 29.43515625, 29.596875, 28.5484375, 28.8734375, 29.615625, 29.38515625, 28.89453125, 29.10546875]",702aeb5f522afa74f7683c4f10ec34b8a14930f6c2005727673f0923c9a0381a,2026073104,selective_p0.4_r06|0
