condition,inherit_prob,replicate,baseline_replicate,map_id,map_hash,method,endpoint_type,actual_groups,retained_information,baseline_information,continuation_index,viability,mean_fitness_trajectory_json,final_population_hash,continuation_root_seed,continuation_stream_key
control,0.1,0,control_p0.1_r00,actual,actual,unintervened,actual,1024,0.2819907697514612,0.2819907697514612,0,27.226649305555554,"[27.3671875, 27.61015625, 26.29609375, 27.3359375, 26.99140625, 27.08125, 27.65078125, 27.36953125, 27.60078125, 26.825, 27.5640625, 27.55859375, 27.55625, 27.32109375, 27.26796875, 27.2875, 26.35859375, 27.21875, 27.3625, 26.8515625, 27.21171875, 27.50078125, 26.9484375, 27.396875, 27.39921875, 26.1734375, 27.9046875, 27.41328125, 26.8625, 27.1546875, 27.61953125, 27.2171875, 27.34453125, 27.17890625, 27.15, 27.20859375]",a873e5f54cdb9185afd210bedadc4eb84909d46060f4ac84eeb6f415a1be3090,2026073104,control_p0.1_r00|0
control,0.1,0,control_p0.1_r00,m000_constant,9f1dcbc35c350d6027f98be0f5c8b43b42ca52b7604459c0c42be3aa88913d47,constant,constant,1,8.008566259537292e-17,0.2819907697514612,0,27.226649305555554,"[27.3671875, 27.61015625, 26.29609375, 27.3359375, 26.99140625, 27.08125, 27.65078125, 27.36953125, 27.60078125, 26.825, 27.5640625, 27.55859375, 27.55625, 27.32109375, 27.26796875, 27.2875, 26.35859375, 27.21875, 27.3625, 26.8515625, 27.21171875, 27.50078125, 26.9484375, 27.396875, 27.39921875, 26.1734375, 27.9046875, 27.41328125, 26.8625, 27.1546875, 27.61953125, 27.2171875, 27.34453125, 27.17890625, 27.15, 27.20859375]",a873e5f54cdb9185afd210bedadc4eb84909d46060f4ac84eeb6f415a1be3090,2026073104,control_p0.1_r00|0
control,0.1,0,control_p0.1_r00,m001_balanced_random_group,74484e9508b33b029e993a9e9ccafe4f01d96055374e557f6aa5a37d25bd9c9f,balanced_random_group,intermediate,2,0.0001713472221529,0.2819907697514612,0,27.226649305555554,"[27.3671875, 27.61015625, 26.29609375, 27.3359375, 26.99140625, 27.08125, 27.65078125, 27.36953125, 27.60078125, 26.825, 27.5640625, 27.55859375, 27.55625, 27.32109375, 27.26796875, 27.2875, 26.35859375, 27.21875, 27.3625, 26.8515625, 27.21171875, 27.50078125, 26.9484375, 27.396875, 27.39921875, 26.1734375, 27.9046875, 27.41328125, 26.8625, 27.1546875, 27.61953125, 27.2171875, 27.34453125, 27.17890625, 27.15, 27.20859375]",a873e5f54cdb9185afd210bedadc4eb84909d46060f4ac84eeb6f415a1be3090,2026073104,control_p0.1_r00|0
control,0.1,0,control_p0.1_r00,m002_balanced_random_group,e96a93c5fa6154fe18dcd30eb7bdbc3a6e3320a989da83ae67372a9adf58cbba,balanced_random_group,intermediate,4,0.0006281056211865,0.2819907697514612,0,27.226649305555554,"[27.3671875, 27.61015625, 26.29609375, 27.3359375, 26.99140625, 27.08125, 27.65078125, 27.36953125, 27.60078125, 26.825, 27.5640625, 27.55859375, 27.55625, 27.32109375, 27.26796875, 27.2875, 26.35859375, 27.21875, 27.3625, 26.8515625, 27.21171875, 27.50078125, 26.9484375, 27.396875, 27.39921875, 26.1734375, 27.9046875, 27.41328125, 26.8625, 27.1546875, 27.61953125, 27.2171875, 27.34453125, 27.17890625, 27.15, 27.20859375]",a873e5f54cdb9185afd210bedadc4eb84909d46060f4ac84eeb6f415a1be3090,2026073104,control_p0.1_r00|0
control,0.1,0,control_p0.1_r00,m003_balanced_random_group,14f0105f9e20916e897f4df17fdec0d896085dd5f5320e129bc322820142f8a6,balanced_random_group,intermediate,8,0.0013839948645135,0.2819907697514612,0,27.226649305555554,"[27.3671875, 27.61015625, 26.29609375, 27.3359375, 26.99140625, 27.08125, 27.65078125, 27.36953125, 27.60078125, 26.825, 27.5640625, 27.55859375, 27.55625, 27.32109375, 27.26796875, 27.2875, 26.35859375, 27.21875, 27.3625, 26.8515625, 27.21171875, 27.50078125, 26.9484375, 27.396875, 27.39921875, 26.1734375, 27.9046875, 27.41328125, 26.8625, 27.1546875, 27.61953125, 27.2171875, 27.34453125, 27.17890625, 27.15, 27.20859375]",a873e5f54cdb9185afd210bedadc4eb84909d46060f4ac84eeb6f415a1be3090,2026073104,control_p0.1_r00|0
control,0.1,0,control_p0.1_r00,m004_balanced_random_group,bb2ba2d5c103ddf6a98d341d94ebe51e88d622a6cb807898cdf9fd63b491a80f,balanced_random_group,intermediate,16,0.0035097259610036,0.2819907697514612,0,27.226649305555554,"[27.3671875, 27.61015625, 26.29609375, 27.3359375, 26.99140625, 27.08125, 27.65078125, 27.36953125, 27.60078125, 26.825, 27.5640625, 27.55859375, 27.55625, 27.32109375, 27.26796875, 27.2875, 26.35859375, 27.21875, 27.3625, 26.8515625, 27.21171875, 27.50078125, 26.9484375, 27.396875, 27.39921875, 26.1734375, 27.9046875, 27.41328125, 26.8625, 27.1546875, 27.61953125, 27.2171875, 27.34453125, 27.17890625, 27.15, 27.20859375]",a873e5f54cdb9185afd210bedadc4eb84909d46060f4ac84eeb6f415a1be3090,2026073104,control_p0.1_r00|0
control,0.1,0,control_p0.1_r00,m005_balanced_random_group,c65bd191d1da1176a8030b84146455e1d1f9bf63bb8d4993a72ab07906c80b78,balanced_random_group,intermediate,32,0.0072953236076251,0.2819907697514612,0,27.226649305555554,"[27.3671875, 27.61015625, 26.29609375, 27.3359375, 26.99140625, 27.08125, 27.65078125, 27.36953125, 27.60078125, 26.825, 27.5640625, 27.55859375, 27.55625, 27.32109375, 27.26796875, 27.2875, 26.35859375, 27.21875, 27.3625, 26.8515625, 27.21171875, 27.50078125, 26.9484375, 27.396875, 27.39921875, 26.1734375, 27.9046875, 27.41328125, 26.8625, 27.1546875, 27.61953125, 27.2171875, 27.34453125, 27.17890625, 27.15, 27.20859375]",a873e5f54cdb9185afd210bedadc4eb84909d46060f4ac84eeb6f415a1be3090,2026073104,control_p0.1_r00|0
control,0.1,0,control_p0.1_r00,m006_balanced_random_group,54146794238237c8e13f9205ac93004ce5acfdbc51f3cd9b991ee15e2a36f684,balanced_random_group,intermediate,64,0.0152886390111172,0.2819907697514612,0,27.226649305555554,"[27.3671875, 27.61015625, 26.29609375, 27.3359375, 26.99140625, 27.08125, 27.65078125, 27.36953125, 27.60078125, 26.825, 27.5640625, 27.55859375, 27.55625, 27.32109375, 27.26796875, 27.2875, 26.35859375, 27.21875, 27.3625, 26.8515625, 27.21171875, 27.50078125, 26.9484375, 27.396875, 27.39921875, 26.1734375, 27.9046875, 27.41328125, 26.8625, 27.1546875, 27.61953125, 27.2171875, 27.34453125, 27.17890625, 27.15, 27.20859375]",a873e5f54cdb9185afd210bedadc4eb84909d46060f4ac84eeb6f415a1be3090,2026073104,control_p0.1_r00|0
control,0.1,0,control_p0.1_r00,m007_balanced_random_group,e179435da112ea8d971ae26891de689741e68338ddf13a7241197cfbaded0b83,balanced_random_group,intermediate,128,0.0312693499303842,0.2819907697514612,0,27.226649305555554,"[27.3671875, 27.61015625, 26.29609375, 27.3359375, 26.99140625, 27.08125, 27.65078125, 27.36953125, 27.60078125, 26.825, 27.5640625, 27.55859375, 27.55625, 27.32109375, 27.26796875, 27.2875, 26.35859375, 27.21875, 27.3625, 26.8515625, 27.21171875, 27.50078125, 26.9484375, 27.396875, 27.39921875, 26.1734375, 27.9046875, 27.41328125, 26.8625, 27.1546875, 27.61953125, 27.2171875, 27.34453125, 27.17890625, 27.15, 27.20859375]",a873e5f54cdb9185afd210bedadc4eb84909d46060f4ac84eeb6f415a1be3090,2026073104,control_p0.1_r00|0
control,0.1,0,control_p0.1_r00,m008_balanced_random_group,e471d7c08820922fc6c21006a6b4685c49e9368d31cd4fbe021c3167456046e0,balanced_random_group,intermediate,256,0.0616794624460229,0.2819907697514612,0,27.226649305555554,"[27.3671875, 27.61015625, 26.29609375, 27.3359375, 26.99140625, 27.08125, 27.65078125, 27.36953125, 27.60078125, 26.825, 27.5640625, 27.55859375, 27.55625, 27.32109375, 27.26796875, 27.2875, 26.35859375, 27.21875, 27.3625, 26.8515625, 27.21171875, 27.50078125, 26.9484375, 27.396875, 27.39921875, 26.1734375, 27.9046875, 27.41328125, 26.8625, 27.1546875, 27.61953125, 27.2171875, 27.34453125, 27.17890625, 27.15, 27.20859375]",a873e5f54cdb9185afd210bedadc4eb84909d46060f4ac84eeb6f415a1be3090,2026073104,control_p0.1_r00|0
control,0.1,0,control_p0.1_r00,m009_balanced_random_group,3394d1cdf22e9723777f99c632a137ebcd7b9bff50e9406fa9f5a34da26ac720,balanced_random_group,intermediate,512,0.1372385821934223,0.2819907697514612,0,27.226649305555554,"[27.3671875, 27.61015625, 26.29609375, 27.3359375, 26.99140625, 27.08125, 27.65078125, 27.36953125, 27.60078125, 26.825, 27.5640625, 27.55859375, 27.55625, 27.32109375, 27.26796875, 27.2875, 26.35859375, 27.21875, 27.3625, 26.8515625, 27.21171875, 27.50078125, 26.9484375, 27.396875, 27.39921875, 26.1734375, 27.9046875, 27.41328125, 26.8625, 27.1546875, 27.61953125, 27.2171875, 27.34453125, 27.17890625, 27.15, 27.20859375]",a873e5f54cdb9185afd210bedadc4eb84909d46060f4ac84eeb6f415a1be3090,2026073104,control_p0.1_r00|0
