condition,inherit_prob,replicate,baseline_replicate,map_id,map_hash,continuation_index,continuation_root_seed,continuation_stream_key
control,0.1,0,control_p0.1_r00,actual,actual,0,2026073104,control_p0.1_r00|0
control,0.1,0,control_p0.1_r00,m000_constant,9f1dcbc35c350d6027f98be0f5c8b43b42ca52b7604459c0c42be3aa88913d47,0,2026073104,control_p0.1_r00|0
control,0.1,0,control_p0.1_r00,m001_balanced_random_group,74484e9508b33b029e993a9e9ccafe4f01d96055374e557f6aa5a37d25bd9c9f,0,2026073104,control_p0.1_r00|0
control,0.1,0,control_p0.1_r00,m002_balanced_random_group,e96a93c5fa6154fe18dcd30eb7bdbc3a6e3320a989da83ae67372a9adf58cbba,0,2026073104,control_p0.1_r00|0
control,0.1,0,control_p0.1_r00,m003_balanced_random_group,14f0105f9e20916e897f4df17fdec0d896085dd5f5320e129bc322820142f8a6,0,2026073104,control_p0.1_r00|0
control,0.1,0,control_p0.1_r00,m004_balanced_random_group,bb2ba2d5c103ddf6a98d341d94ebe51e88d622a6cb807898cdf9fd63b491a80f,0,2026073104,control_p0.1_r00|0
control,0.1,0,control_p0.1_r00,m005_balanced_random_group,c65bd191d1da1176a8030b84146455e1d1f9bf63bb8d4993a72ab07906c80b78,0,2026073104,control_p0.1_r00|0
control,0.1,0,control_p0.1_r00,m006_balanced_random_group,54146794238237c8e13f9205ac93004ce5acfdbc51f3cd9b991ee15e2a36f684,0,2026073104,control_p0.1_r00|0
control,0.1,0,control_p0.1_r00,m007_balanced_random_group,e179435da112ea8d971ae26891de689741e68338ddf13a7241197cfbaded0b83,0,2026073104,control_p0.1_r00|0
control,0.1,0,control_p0.1_r00,m008_balanced_random_group,e471d7c08820922fc6c21006a6b4685c49e9368d31cd4fbe021c3167456046e0,0,2026073104,control_p0.1_r00|0
control,0.1,0,control_p0.1_r00,m009_balanced_random_group,3394d1cdf22e9723777f99c632a137ebcd7b9bff50e9406fa9f5a34da26ac720,0,2026073104,control_p0.1_r00|0
control,0.1,0,control_p0.1_r00,m010_affinity_rank_group,3f53151fb2f814971fd6c0128c5c0b7afe1b5cb5257e46a1db18b8ebc9946d94,0,2026073104,control_p0.1_r00|0
control,0.1,0,control_p0.1_r00,m011_affinity_rank_group,92e56b0f11cdce879476507882d715f1eecc12de134fc3982530e28ffd4eba29,0,2026073104,control_p0.1_r00|0
control,0.1,0,control_p0.1_r00,m012_affinity_rank_group,0a19adabdd017fc722384804e89caf4ecf35837689486f63c24094087da5c2ba,0,2026073104,control_p0.1_r00|0
control,0.1,0,control_p0.1_r00,m013_affinity_rank_group,d176c8d0ee881709b5af7061b49578d8041bef9dde73ceb9e47e4dd86f7ee987,0,2026073104,control_p0.1_r00|0
control,0.1,0,control_p0.1_r00,m014_affinity_rank_group,a08bb91ec0e66d0b3afe5332032fd3fb6769016bc04c2710b5e01a8e599df454,0,2026073104,control_p0.1_r00|0
control,0.1,0,control_p0.1_r00,m015_affinity_rank_group,6ac4e014d135d7a7fbd4592fdf320f48570dc4bce5e1a5c2ca6054715b80f98a,0,2026073104,control_p0.1_r00|0
control,0.1,0,control_p0.1_r00,m016_affinity_rank_group,4c0d0a036a5c51abb14f88b143c35a9a2e7cecb590d4d0752b078fe3b59a18dd,0,2026073104,control_p0.1_r00|0
control,0.1,0,control_p0.1_r00,m017_affinity_rank_group,cf78b05538711825e0795152b13c3d2c15b5cd16f89c1995f7b006d8bc57c6a2,0,2026073104,control_p0.1_r00|0
control,0.1,0,control_p0.1_r00,m018_affinity_rank_group,24a6acb87a7364b0b1cbbe6fecc84df53e5243c78a06a6c6c4e7354b3e359435,0,2026073104,control_p0.1_r00|0
control,0.1,0,control_p0.1_r00,m019_contiguous_substring,16cfd655e57fba08a658c1d50e1fe5976b2f905eee09ec260833cfb2b49d6f38,0,2026073104,control_p0.1_r00|0
control,0.1,0,control_p0.1_r00,m020_contiguous_substring,6fb076d21f3b26febc2e6a328628b3ea581ce0709de4263bbe675d61bdb74942,0,2026073104,control_p0.1_r00|0
control,0.1,0,control_p0.1_r00,m021_contiguous_substring,3ac98b3bd2edbbfc3b4339ca0066047ccba8e1cfa0ce798acbd27bab5b87d8af,0,2026073104,control_p0.1_r00|0
control,0.1,0,control_p0.1_r00,m022_contiguous_substring,fc015e86e4e7f2c734c05fb1135856a6186a7b6e6f3079acc6d6c6e4aa7442e4,0,2026073104,control_p0.1_r00|0
control,0.1,0,control_p0.1_r00,m023_contiguous_substring,6d8bb74bcdeefe62988bcebfe3cdb7110ea14648c3393721f4a4095032ddf61b,0,2026073104,control_p0.1_r00|0
control,0.1,0,control_p0.1_r00,m024_contiguous_substring,94ab69bff5420fbcf4c18d7a247ef0e4b9577d1295271abf78a62f51c3b59a0f,0,2026073104,control_p0.1_r00|0
control,0.1,0,control_p0.1_r00,m025_contiguous_substring,ae330f3e6dd51f734f790820a896827f916e8d775c69ea1f205c55aa81507fe0,0,2026073104,control_p0.1_r00|0
control,0.1,0,control_p0.1_r00,m026_contiguous_substring,5d3c5ea59a3a81c2ffdcfc7029fe0ab078b39be0217f1ee2611101845014273b,0,2026073104,control_p0.1_r00|0
control,0.1,0,control_p0.1_r00,m027_contiguous_substring,6edfbfdb62fbf79744d4ecfb6fe43de95b2133d87a10f24061ecc84297b1c267,0,2026073104,control_p0.1_r00|0
control,0.1,0,control_p0.1_r00,m028_contiguous_substring,6f9a04216ce84ed3a2ef19a2010723c498d866f2bb5d6eda67ea1bd16782bfd8,0,2026073104,control_p0.1_r00|0
control,0.1,0,control_p0.1_r00,m029_contiguous_substring,8d4ddfbfac0226f6a695d6b22ee21fbf533251852e95baca71b09f7710bfb22c,0,2026073104,control_p0.1_r00|0
control,0.1,0,control_p0.1_r00,m030_contiguous_substring,6ff19e1927dcafbb441ab0b4a0a61b92d1295d402f3277307a3f5b9d7850b98a,0,2026073104,control_p0.1_r00|0
control,0.1,0,control_p0.1_r00,m031_contiguous_substring,c824c782df91faee7515c9d811fab43ed5426465074d2e812a5277507d28ae96,0,2026073104,control_p0.1_r00|0
control,0.1,0,control_p0.1_r00,m032_contiguous_substring,ef835eb9c371f618c6958654a7d25a1df1d12c09a53ecf66f9209fb882a8542d,0,2026073104,control_p0.1_r00|0
control,0.1,0,control_p0.1_r00,m033_identity,2f88e9ce00d238e7e011a7b140b413dcad818f1da41a721f914f1af604d0e217,0,2026073104,control_p0.1_r00|0
control,0.1,0,control_p0.1_r00,actual,actual,1,2026073104,control_p0.1_r00|1
control,0.1,0,control_p0.1_r00,m000_constant,9f1dcbc35c350d6027f98be0f5c8b43b42ca52b7604459c0c42be3aa88913d47,1,2026073104,control_p0.1_r00|1
control,0.1,0,control_p0.1_r00,m001_balanced_random_group,74484e9508b33b029e993a9e9ccafe4f01d96055374e557f6aa5a37d25bd9c9f,1,2026073104,control_p0.1_r00|1
control,0.1,0,control_p0.1_r00,m002_balanced_random_group,e96a93c5fa6154fe18dcd30eb7bdbc3a6e3320a989da83ae67372a9adf58cbba,1,2026073104,control_p0.1_r00|1
control,0.1,0,control_p0.1_r00,m003_balanced_random_group,14f0105f9e20916e897f4df17fdec0d896085dd5f5320e129bc322820142f8a6,1,2026073104,control_p0.1_r00|1
control,0.1,0,control_p0.1_r00,m004_balanced_random_group,bb2ba2d5c103ddf6a98d341d94ebe51e88d622a6cb807898cdf9fd63b491a80f,1,2026073104,control_p0.1_r00|1
control,0.1,0,control_p0.1_r00,m005_balanced_random_group,c65bd191d1da1176a8030b84146455e1d1f9bf63bb8d4993a72ab07906c80b78,1,2026073104,control_p0.1_r00|1
control,0.1,0,control_p0.1_r00,m006_balanced_random_group,54146794238237c8e13f9205ac93004ce5acfdbc51f3cd9b991ee15e2a36f684,1,2026073104,control_p0.1_r00|1
control,0.1,0,control_p0.1_r00,m007_balanced_random_group,e179435da112ea8d971ae26891de689741e68338ddf13a7241197cfbaded0b83,1,2026073104,control_p0.1_r00|1
control,0.1,0,control_p0.1_r00,m008_balanced_random_group,e471d7c08820922fc6c21006a6b4685c49e9368d31cd4fbe021c3167456046e0,1,2026073104,control_p0.1_r00|1
control,0.1,0,control_p0.1_r00,m009_balanced_random_group,3394d1cdf22e9723777f99c632a137ebcd7b9bff50e9406fa9f5a34da26ac720,1,2026073104,control_p0.1_r00|1
control,0.1,0,control_p0.1_r00,m010_affinity_rank_group,3f53151fb2f814971fd6c0128c5c0b7afe1b5cb5257e46a1db18b8ebc9946d94,1,2026073104,control_p0.1_r00|1
control,0.1,0,control_p0.1_r00,m011_affinity_rank_group,92e56b0f11cdce879476507882d715f1eecc12de134fc3982530e28ffd4eba29,1,2026073104,control_p0.1_r00|1
control,0.1,0,control_p0.1_r00,m012_affinity_rank_group,0a19adabdd017fc722384804e89caf4ecf35837689486f63c24094087da5c2ba,1,2026073104,control_p0.1_r00|1
control,0.1,0,control_p0.1_r00,m013_affinity_rank_group,d176c8d0ee881709b5af7061b49578d8041bef9dde73ceb9e47e4dd86f7ee987,1,2026073104,control_p0.1_r00|1
control,0.1,0,control_p0.1_r00,m014_affinity_rank_group,a08bb91ec0e66d0b3afe5332032fd3fb6769016bc04c2710b5e01a8e599df454,1,2026073104,control_p0.1_r00|1
control,0.1,0,control_p0.1_r00,m015_affinity_rank_group,6ac4e014d135d7a7fbd4592fdf320f48570dc4bce5e1a5c2ca6054715b80f98a,1,2026073104,control_p0.1_r00|1
control,0.1,0,control_p0.1_r00,m016_affinity_rank_group,4c0d0a036a5c51abb14f88b143c35a9a2e7cecb590d4d0752b078fe3b59a18dd,1,2026073104,control_p0.1_r00|1
control,0.1,0,control_p0.1_r00,m017_affinity_rank_group,cf78b05538711825e0795152b13c3d2c15b5cd16f89c1995f7b006d8bc57c6a2,1,2026073104,control_p0.1_r00|1
control,0.1,0,control_p0.1_r00,m018_affinity_rank_group,24a6acb87a7364b0b1cbbe6fecc84df53e5243c78a06a6c6c4e7354b3e359435,1,2026073104,control_p0.1_r00|1
control,0.1,0,control_p0.1_r00,m019_contiguous_substring,16cfd655e57fba08a658c1d50e1fe5976b2f905eee09ec260833cfb2b49d6f38,1,2026073104,control_p0.1_r00|1
control,0.1,0,control_p0.1_r00,m020_contiguous_substring,6fb076d21f3b26febc2e6a328628b3ea581ce0709de4263bbe675d61bdb74942,1,2026073104,control_p0.1_r00|1
control,0.1,0,control_p0.1_r00,m021_contiguous_substring,3ac98b3bd2edbbfc3b4339ca0066047ccba8e1cfa0ce798acbd27bab5b87d8af,1,2026073104,control_p0.1_r00|1
control,0.1,0,control_p0.1_r00,m022_contiguous_substring,fc015e86e4e7f2c734c05fb1135856a6186a7b6e6f3079acc6d6c6e4aa7442e4,1,2026073104,control_p0.1_r00|1
control,0.1,0,control_p0.1_r00,m023_contiguous_substring,6d8bb74bcdeefe62988bcebfe3cdb7110ea14648c3393721f4a4095032ddf61b,1,2026073104,control_p0.1_r00|1
control,0.1,0,control_p0.1_r00,m024_contiguous_substring,94ab69bff5420fbcf4c18d7a247ef0e4b9577d1295271abf78a62f51c3b59a0f,1,2026073104,control_p0.1_r00|1
control,0.1,0,control_p0.1_r00,m025_contiguous_substring,ae330f3e6dd51f734f790820a896827f916e8d775c69ea1f205c55aa81507fe0,1,2026073104,control_p0.1_r00|1
control,0.1,0,control_p0.1_r00,m026_contiguous_substring,5d3c5ea59a3a81c2ffdcfc7029fe0ab078b39be0217f1ee2611101845014273b,1,2026073104,control_p0.1_r00|1
control,0.1,0,control_p0.1_r00,m027_contiguous_substring,6edfbfdb62fbf79744d4ecfb6fe43de95b2133d87a10f24061ecc84297b1c267,1,2026073104,control_p0.1_r00|1
control,0.1,0,control_p0.1_r00,m028_contiguous_substring,6f9a04216ce84ed3a2ef19a2010723c498d866f2bb5d6eda67ea1bd16782bfd8,1,2026073104,control_p0.1_r00|1
control,0.1,0,control_p0.1_r00,m029_contiguous_substring,8d4ddfbfac0226f6a695d6b22ee21fbf533251852e95baca71b09f7710bfb22c,1,2026073104,control_p0.1_r00|1
control,0.1,0,control_p0.1_r00,m030_contiguous_substring,6ff19e1927dcafbb441ab0b4a0a61b92d1295d402f3277307a3f5b9d7850b98a,1,2026073104,control_p0.1_r00|1
