condition,control_family,realization,seed_block,source_baseline_id,pairing_baseline_replicate,baseline_replicate,selection_strength,evaluation_topology_id,continuation_root_seed,continuation_stream_key,map_id,map_hash,method,endpoint_type,actual_groups,retained_information,baseline_information,continuation_index,viability,mean_fitness_trajectory_json,final_population_hash
alternative_a_native,alternative_a_native,0,9,alternative_a_p1.0_r09,selective_p1.0_r09,alternative_a_native_p1.0_r09,1.0,topology_00,2026073104,selective_p1.0_r09|0,actual,actual,unintervened,actual,1024,0.2618633610513325,0.2618633610513325,0,39.33912760416668,"[40.36640625, 39.2609375, 39.07421875, 39.99921875, 39.7515625, 39.9625, 39.8515625, 39.3984375, 39.7296875, 39.16015625, 38.92265625, 38.80546875, 39.9046875, 39.56015625, 38.96328125, 39.08359375, 39.15078125, 38.6359375, 38.43359375, 39.52890625, 39.25078125, 38.99921875, 39.63828125, 38.39296875, 39.34921875, 38.6484375, 39.3265625, 39.909375, 39.303125, 38.075, 39.73203125, 39.37265625, 39.51640625, 39.61875, 39.82109375, 39.7109375]",aeb42b2df92524eb52cdd28417b383274c0287c01e41a855233d6b106b8b734e
alternative_a_native,alternative_a_native,0,9,alternative_a_p1.0_r09,selective_p1.0_r09,alternative_a_native_p1.0_r09,1.0,topology_00,2026073104,selective_p1.0_r09|0,m000_constant,9f1dcbc35c350d6027f98be0f5c8b43b42ca52b7604459c0c42be3aa88913d47,constant,constant,1,8.008566259537292e-17,0.2618633610513325,0,28.30062934027778,"[29.0359375, 28.396875, 28.25078125, 28.24375, 28.8125, 28.58515625, 28.9046875, 28.08125, 28.621875, 28.275, 27.4265625, 28.31640625, 28.34140625, 28.74765625, 27.83203125, 28.54375, 27.6390625, 28.3375, 27.94296875, 28.31015625, 28.52890625, 28.4328125, 28.82890625, 27.3796875, 28.33203125, 28.040625, 28.021875, 28.2546875, 28.21328125, 27.4546875, 27.92265625, 28.4015625, 28.58671875, 29.140625, 28.43203125, 28.20625]",328d7126e637956734b96939b6de8cdcee9116d1c1784a28c10f614b1333728b
alternative_a_native,alternative_a_native,0,9,alternative_a_p1.0_r09,selective_p1.0_r09,alternative_a_native_p1.0_r09,1.0,topology_00,2026073104,selective_p1.0_r09|0,m001_balanced_random_group,74484e9508b33b029e993a9e9ccafe4f01d96055374e557f6aa5a37d25bd9c9f,balanced_random_group,intermediate,2,0.029343337414990192,0.2618633610513325,0,28.3181640625,"[29.0546875, 28.4015625, 28.29375, 28.16484375, 28.8484375, 28.6359375, 28.9796875, 28.12734375, 28.61796875, 28.221875, 27.4109375, 28.4453125, 28.33359375, 28.8078125, 27.8390625, 28.53828125, 27.6578125, 28.24140625, 27.92734375, 28.36171875, 28.46484375, 28.44296875, 28.73046875, 27.41328125, 28.34375, 27.96484375, 28.0390625, 28.33125, 28.23125, 27.521875, 27.97421875, 28.43046875, 28.6421875, 29.24375, 28.49609375, 28.27421875]",406c8aa0e1465c8d16bff50ec696d33334b2886e540b700cb73b948d2ef93e6a
alternative_a_native,alternative_a_native,0,9,alternative_a_p1.0_r09,selective_p1.0_r09,alternative_a_native_p1.0_r09,1.0,topology_00,2026073104,selective_p1.0_r09|0,m002_balanced_random_group,e96a93c5fa6154fe18dcd30eb7bdbc3a6e3320a989da83ae67372a9adf58cbba,balanced_random_group,intermediate,4,0.04891085079015722,0.2618633610513325,0,28.492317708333335,"[29.2203125, 28.71328125, 28.4546875, 28.4453125, 29.003125, 28.79609375, 29.10546875, 28.2265625, 28.8109375, 28.4671875, 27.6359375, 28.58671875, 28.60234375, 28.84921875, 27.9671875, 28.6796875, 27.746875, 28.50390625, 28.20546875, 28.4953125, 28.67265625, 28.67734375, 28.94140625, 27.52109375, 28.5828125, 28.165625, 28.29140625, 28.61171875, 28.45859375, 27.6234375, 28.025, 28.625, 28.74375, 29.29140625, 28.65234375, 28.32421875]",31da1736f5f857c58eeecfabc27a2199fca4b63b470f37b16091b838d3b0f5bb
alternative_a_native,alternative_a_native,0,9,alternative_a_p1.0_r09,selective_p1.0_r09,alternative_a_native_p1.0_r09,1.0,topology_00,2026073104,selective_p1.0_r09|0,m003_balanced_random_group,14f0105f9e20916e897f4df17fdec0d896085dd5f5320e129bc322820142f8a6,balanced_random_group,intermediate,8,0.08823661240115908,0.2618633610513325,0,28.472743055555554,"[28.9984375, 28.51796875, 28.4359375, 28.4203125, 28.8328125, 28.87421875, 29.10078125, 28.27265625, 28.703125, 28.43984375, 27.5421875, 28.63359375, 28.528125, 28.77265625, 27.98125, 28.653125, 27.8109375, 28.46328125, 28.215625, 28.628125, 28.78359375, 28.55703125, 28.8328125, 27.4078125, 28.45234375, 28.22890625, 28.3, 28.20859375, 28.2328125, 27.73203125, 28.06015625, 28.69921875, 28.66171875, 29.50546875, 28.85703125, 28.67421875]",4500bc844b16300d1b29fe96a56d0d66d08ccfbf25a98811d625c53fa4841db6
alternative_a_native,alternative_a_native,0,9,alternative_a_p1.0_r09,selective_p1.0_r09,alternative_a_native_p1.0_r09,1.0,topology_00,2026073104,selective_p1.0_r09|0,m004_balanced_random_group,bb2ba2d5c103ddf6a98d341d94ebe51e88d622a6cb807898cdf9fd63b491a80f,balanced_random_group,intermediate,16,0.1315230103826785,0.2618633610513325,0,28.42063802083333,"[29.196875, 28.36953125, 28.2171875, 28.39453125, 28.9625, 28.80625, 29.0078125, 28.19921875, 28.7, 28.4359375, 27.59140625, 28.4734375, 28.34609375, 29.02109375, 27.94921875, 28.50234375, 27.82421875, 28.48203125, 28.1015625, 28.3953125, 28.728125, 28.4796875, 28.92265625, 27.3890625, 28.284375, 28.284375, 27.99921875, 28.32421875, 28.375, 27.77578125, 28.1, 28.75078125, 28.5640625, 29.2265625, 28.603125, 28.359375]",e72513fb2463aebe70105ef231c6e16ed7cef8e0cf06e579762054865132fbc9
alternative_a_native,alternative_a_native,0,9,alternative_a_p1.0_r09,selective_p1.0_r09,alternative_a_native_p1.0_r09,1.0,topology_00,2026073104,selective_p1.0_r09|0,m005_balanced_random_group,c65bd191d1da1176a8030b84146455e1d1f9bf63bb8d4993a72ab07906c80b78,balanced_random_group,intermediate,32,0.19229657523316004,0.2618633610513325,0,27.719314236111117,"[27.86796875, 27.38125, 27.346875, 27.1203125, 28.01875, 27.8703125, 28.04140625, 27.4296875, 27.9984375, 27.79921875, 27.02421875, 28.1171875, 27.70546875, 28.10078125, 27.228125, 27.96953125, 27.18125, 27.91875, 27.55234375, 27.890625, 27.85234375, 27.70078125, 28.17421875, 26.90234375, 27.5796875, 27.5078125, 27.4953125, 27.6296875, 27.715625, 27.05625, 27.48125, 28.171875, 28.12265625, 28.8328125, 28.14140625, 27.96875]",f02d0556652a5c47081e92a036d17891b7481b585f8fdec353c3c1dee31e6513
alternative_a_native,alternative_a_native,0,9,alternative_a_p1.0_r09,selective_p1.0_r09,alternative_a_native_p1.0_r09,1.0,topology_00,2026073104,selective_p1.0_r09|0,m006_balanced_random_group,54146794238237c8e13f9205ac93004ce5acfdbc51f3cd9b991ee15e2a36f684,balanced_random_group,intermediate,64,0.22259427346659583,0.2618633610513325,0,29.03103298611111,"[29.46640625, 28.8328125, 28.5390625, 28.9578125, 29.49921875, 29.44921875, 29.934375, 29.103125, 29.39296875, 29.08359375, 28.18125, 28.84375, 29.296875, 29.603125, 28.6171875, 28.95859375, 28.10703125, 28.60546875, 28.38984375, 29.025, 28.9734375, 28.94765625, 29.32421875, 28.2, 29.34140625, 29.29921875, 28.8203125, 28.78515625, 29.33046875, 28.29375, 28.65390625, 28.8828125, 29.53828125, 30.015625, 29.365625, 29.45859375]",b697ef0ff9a9b22cb86d90f2721e492023d27b4e3ce3bac73c69b358da9fd81d
alternative_a_native,alternative_a_native,0,9,alternative_a_p1.0_r09,selective_p1.0_r09,alternative_a_native_p1.0_r09,1.0,topology_00,2026073104,selective_p1.0_r09|0,m007_balanced_random_group,e179435da112ea8d971ae26891de689741e68338ddf13a7241197cfbaded0b83,balanced_random_group,intermediate,128,0.23092622322087675,0.2618633610513325,0,30.344357638888894,"[30.4546875, 29.571875, 29.78984375, 29.91328125, 30.8421875, 30.89296875, 30.7578125, 30.115625, 30.775, 30.25390625, 29.44453125, 30.09609375, 30.09375, 30.4671875, 29.81484375, 30.234375, 29.890625, 30.24140625, 29.46484375, 30.0765625, 30.25625, 30.29765625, 30.840625, 29.85390625, 30.3703125, 30.43828125, 30.64453125, 30.37109375, 30.58046875, 30.06796875, 30.3625, 30.646875, 31.18671875, 31.4390625, 30.728125, 31.12109375]",f94a5d4c367fbee871438cbc15286b90d1635d8f066db3c8371ecc61558141f3
alternative_a_native,alternative_a_native,0,9,alternative_a_p1.0_r09,selective_p1.0_r09,alternative_a_native_p1.0_r09,1.0,topology_00,2026073104,selective_p1.0_r09|0,m008_balanced_random_group,e471d7c08820922fc6c21006a6b4685c49e9368d31cd4fbe021c3167456046e0,balanced_random_group,intermediate,256,0.24845719733756155,0.2618633610513325,0,31.027994791666668,"[31.63125, 30.99609375, 30.74296875, 31.02578125, 31.7703125, 31.128125, 31.6859375, 30.4875, 31.60546875, 31.33203125, 30.0109375, 31.30859375, 31.45546875, 31.47265625, 30.5890625, 31.18671875, 30.4546875, 30.67578125, 30.3171875, 30.925, 30.98671875, 31.19453125, 31.14375, 30.2734375, 31.09140625, 30.54453125, 31.03203125, 31.1, 31.053125, 30.42578125, 31.20625, 30.70859375, 31.54609375, 31.62421875, 31.25234375, 31.0234375]",d21f5ff42eb4425da3e866edaa0a17fd37d467b507251f31eb123619144313f5
