condition,control_family,realization,seed_block,source_baseline_id,pairing_baseline_replicate,baseline_replicate,selection_strength,evaluation_topology_id,continuation_root_seed,continuation_stream_key,map_id,map_hash,method,endpoint_type,actual_groups,retained_information,baseline_information,continuation_index,viability,mean_fitness_trajectory_json,final_population_hash
selection_neutral,selection_neutral,0,3,selection_neutral_p1.0_r03,selective_p1.0_r03,selection_neutral_p1.0_r03,0.0,topology_06,2026073104,selective_p1.0_r03|0,actual,actual,unintervened,actual,1024,0.2858351571800762,0.2858351571800762,0,34.60855034722222,"[34.31875, 34.39453125, 34.8890625, 34.421875, 34.2734375, 33.9765625, 34.596875, 34.76171875, 34.24296875, 34.77265625, 35.10078125, 34.91171875, 34.5765625, 34.078125, 34.70859375, 34.36015625, 34.04453125, 34.965625, 34.61015625, 35.84140625, 34.57890625, 35.60078125, 35.46171875, 35.7046875, 35.1421875, 35.7015625, 34.109375, 34.45546875, 34.9828125, 35.1953125, 34.17734375, 34.3078125, 33.5046875, 34.240625, 33.2140625, 33.684375]",e46985fc88897c02f592edde2400eed2a9c9e715a92ee64322a14943c3b97725
selection_neutral,selection_neutral,0,3,selection_neutral_p1.0_r03,selective_p1.0_r03,selection_neutral_p1.0_r03,0.0,topology_06,2026073104,selective_p1.0_r03|0,m000_constant,9f1dcbc35c350d6027f98be0f5c8b43b42ca52b7604459c0c42be3aa88913d47,constant,constant,1,0.0,0.2858351571800762,0,27.16540798611111,"[27.58359375, 27.02578125, 26.934375, 26.76015625, 26.63671875, 26.14921875, 27.28984375, 27.29140625, 27.46953125, 26.8328125, 27.0578125, 27.21328125, 27.1609375, 26.6515625, 27.80859375, 26.86484375, 27.246875, 26.68125, 27.3390625, 27.57890625, 27.178125, 27.56328125, 27.9125, 27.81015625, 27.51953125, 26.93671875, 26.87265625, 27.309375, 27.83515625, 27.11015625, 26.79296875, 27.40703125, 27.209375, 26.62734375, 27.49765625, 26.79609375]",e46985fc88897c02f592edde2400eed2a9c9e715a92ee64322a14943c3b97725
selection_neutral,selection_neutral,0,3,selection_neutral_p1.0_r03,selective_p1.0_r03,selection_neutral_p1.0_r03,0.0,topology_06,2026073104,selective_p1.0_r03|0,m001_balanced_random_group,74484e9508b33b029e993a9e9ccafe4f01d96055374e557f6aa5a37d25bd9c9f,balanced_random_group,intermediate,2,0.01273100836148674,0.2858351571800762,0,27.207530381944444,"[27.61328125, 27.01953125, 27.06953125, 26.93828125, 26.721875, 26.234375, 27.24140625, 27.40859375, 27.4578125, 26.8484375, 27.11015625, 27.27421875, 27.16328125, 26.91015625, 27.9484375, 26.93828125, 27.26015625, 26.65078125, 27.29296875, 27.6890625, 27.234375, 27.56015625, 27.89765625, 27.68828125, 27.56484375, 26.77109375, 26.946875, 27.54765625, 27.83515625, 27.07578125, 26.80390625, 27.3921875, 27.22890625, 26.6734375, 27.63125, 26.82890625]",e46985fc88897c02f592edde2400eed2a9c9e715a92ee64322a14943c3b97725
selection_neutral,selection_neutral,0,3,selection_neutral_p1.0_r03,selective_p1.0_r03,selection_neutral_p1.0_r03,0.0,topology_06,2026073104,selective_p1.0_r03|0,m002_balanced_random_group,e96a93c5fa6154fe18dcd30eb7bdbc3a6e3320a989da83ae67372a9adf58cbba,balanced_random_group,intermediate,4,0.02818354666694093,0.2858351571800762,0,27.18135850694445,"[27.5109375, 26.996875, 27.0734375, 26.8984375, 26.70625, 26.0359375, 27.33046875, 27.203125, 27.3640625, 26.83515625, 27.39609375, 27.13359375, 27.54765625, 26.85390625, 28.04921875, 26.953125, 27.0796875, 26.7359375, 27.1625, 27.353125, 26.9796875, 27.48359375, 27.9390625, 27.85859375, 27.45703125, 26.79609375, 27.08671875, 27.1546875, 27.68984375, 27.15859375, 26.771875, 27.690625, 27.44375, 26.65703125, 27.21484375, 26.92734375]",e46985fc88897c02f592edde2400eed2a9c9e715a92ee64322a14943c3b97725
selection_neutral,selection_neutral,0,3,selection_neutral_p1.0_r03,selective_p1.0_r03,selection_neutral_p1.0_r03,0.0,topology_06,2026073104,selective_p1.0_r03|0,m003_balanced_random_group,14f0105f9e20916e897f4df17fdec0d896085dd5f5320e129bc322820142f8a6,balanced_random_group,intermediate,8,0.06794901011641302,0.2858351571800762,0,27.326584201388886,"[27.28515625, 27.16328125, 27.17734375, 27.01484375, 27.14765625, 26.190625, 27.10546875, 27.48203125, 27.6984375, 27.2015625, 27.31796875, 27.4453125, 27.44765625, 27.0109375, 28.07734375, 27.0421875, 27.5578125, 26.9875, 27.23046875, 27.72265625, 27.546875, 27.61171875, 28.10625, 28.0734375, 27.475, 27.08046875, 27.12890625, 27.43984375, 27.5953125, 27.2828125, 27.246875, 27.50859375, 27.38828125, 26.6390625, 27.46875, 26.85859375]",e46985fc88897c02f592edde2400eed2a9c9e715a92ee64322a14943c3b97725
selection_neutral,selection_neutral,0,3,selection_neutral_p1.0_r03,selective_p1.0_r03,selection_neutral_p1.0_r03,0.0,topology_06,2026073104,selective_p1.0_r03|0,m004_balanced_random_group,bb2ba2d5c103ddf6a98d341d94ebe51e88d622a6cb807898cdf9fd63b491a80f,balanced_random_group,intermediate,16,0.08830558988857765,0.2858351571800762,0,27.13559027777778,"[27.31328125, 26.83203125, 26.6359375, 26.88359375, 26.90859375, 26.2796875, 27.03515625, 27.53984375, 27.34375, 26.94140625, 27.1859375, 26.971875, 27.30234375, 26.76171875, 27.56171875, 27.01796875, 27.37734375, 26.80859375, 27.2609375, 27.41875, 27.21953125, 27.55625, 28.0890625, 27.7328125, 27.253125, 26.76953125, 26.6546875, 27.32421875, 27.571875, 26.865625, 26.7828125, 27.14609375, 27.47890625, 26.8359375, 27.4625, 26.7578125]",e46985fc88897c02f592edde2400eed2a9c9e715a92ee64322a14943c3b97725
selection_neutral,selection_neutral,0,3,selection_neutral_p1.0_r03,selective_p1.0_r03,selection_neutral_p1.0_r03,0.0,topology_06,2026073104,selective_p1.0_r03|0,m005_balanced_random_group,c65bd191d1da1176a8030b84146455e1d1f9bf63bb8d4993a72ab07906c80b78,balanced_random_group,intermediate,32,0.1555634255352522,0.2858351571800762,0,27.54535590277778,"[27.47109375, 27.11015625, 27.44609375, 26.95703125, 26.92578125, 26.8, 27.28671875, 27.42890625, 28.040625, 27.6859375, 27.5546875, 27.578125, 28.0390625, 27.08828125, 28.225, 26.67578125, 27.8109375, 27.0453125, 27.4546875, 27.99765625, 27.26875, 27.7234375, 27.67578125, 27.8, 27.5390625, 27.32734375, 27.6140625, 27.5828125, 27.80859375, 27.77109375, 27.684375, 27.87421875, 28.31484375, 27.49375, 28.0796875, 27.453125]",e46985fc88897c02f592edde2400eed2a9c9e715a92ee64322a14943c3b97725
selection_neutral,selection_neutral,0,3,selection_neutral_p1.0_r03,selective_p1.0_r03,selection_neutral_p1.0_r03,0.0,topology_06,2026073104,selective_p1.0_r03|0,m006_balanced_random_group,54146794238237c8e13f9205ac93004ce5acfdbc51f3cd9b991ee15e2a36f684,balanced_random_group,intermediate,64,0.20017384796027604,0.2858351571800762,0,28.161458333333332,"[27.909375, 28.075, 28.04140625, 27.91484375, 28.025, 27.409375, 27.759375, 28.28515625, 28.14609375, 27.89609375, 28.146875, 28.32734375, 28.11484375, 27.628125, 28.8421875, 28.53515625, 28.390625, 28.046875, 28.3765625, 28.59140625, 28.6484375, 28.67421875, 28.69765625, 28.03359375, 28.62578125, 28.1015625, 27.97265625, 27.94609375, 28.88203125, 28.00234375, 27.85859375, 28.47578125, 28.59609375, 27.4578125, 27.9625, 27.415625]",e46985fc88897c02f592edde2400eed2a9c9e715a92ee64322a14943c3b97725
selection_neutral,selection_neutral,0,3,selection_neutral_p1.0_r03,selective_p1.0_r03,selection_neutral_p1.0_r03,0.0,topology_06,2026073104,selective_p1.0_r03|0,m007_balanced_random_group,e179435da112ea8d971ae26891de689741e68338ddf13a7241197cfbaded0b83,balanced_random_group,intermediate,128,0.2475025398209581,0.2858351571800762,0,29.46067708333333,"[28.940625, 29.48125, 29.015625, 29.246875, 29.178125, 29.4, 29.0796875, 29.54609375, 30.025, 29.3671875, 29.60546875, 29.36953125, 29.62109375, 29.2796875, 29.4140625, 29.5203125, 29.88515625, 29.3796875, 29.40703125, 30.209375, 29.41953125, 29.2046875, 30.2875, 29.5328125, 29.44765625, 29.73984375, 29.71015625, 29.69765625, 29.4921875, 29.00625, 29.47734375, 30.121875, 29.74140625, 28.9515625, 28.95, 28.83203125]",e46985fc88897c02f592edde2400eed2a9c9e715a92ee64322a14943c3b97725
selection_neutral,selection_neutral,0,3,selection_neutral_p1.0_r03,selective_p1.0_r03,selection_neutral_p1.0_r03,0.0,topology_06,2026073104,selective_p1.0_r03|0,m008_balanced_random_group,e471d7c08820922fc6c21006a6b4685c49e9368d31cd4fbe021c3167456046e0,balanced_random_group,intermediate,256,0.2588462350823923,0.2858351571800762,0,29.074110243055557,"[29.3046875, 29.0875, 29.4, 28.9703125, 29.609375, 29.078125, 28.33125, 29.01484375, 29.21171875, 28.49453125, 29.08046875, 29.35, 29.13046875, 28.8875, 29.58671875, 29.00234375, 29.15625, 29.209375, 28.8921875, 29.15703125, 29.30390625, 29.53125, 29.55, 29.1890625, 28.89140625, 29.109375, 28.646875, 28.89921875, 28.8921875, 29.22578125, 28.61328125, 29.0203125, 28.90234375, 28.7171875, 29.06796875, 29.153125]",e46985fc88897c02f592edde2400eed2a9c9e715a92ee64322a14943c3b97725
