condition,control_family,realization,seed_block,baseline_replicate,source_baseline_id,affinity_mode,fixed_topology_id,selection_strength,conditional_information,corrected_conditional_information,profile_permutation_hash,n_profile_fixed_points
affinity_reassigned,affinity_reassigned,0,0,affinity_reassigned_p1.0_r00_q0,selective_p1.0_r00,deranged,topology_06,1.0,0.2808688007412157,0.254544840859507,70acbd83ca9e7fbaa31f7fb8097c7c4ddd4804db6709fe5d6f39bf51af5e0643,0.0
affinity_reassigned,affinity_reassigned,1,0,affinity_reassigned_p1.0_r00_q1,selective_p1.0_r00,deranged,topology_06,1.0,0.272040116057098,0.2455772614018269,1b23f5046de8b770f47f67a8aa7f86f36d4f28e786ed27451c983639593133c1,0.0
affinity_reassigned,affinity_reassigned,0,1,affinity_reassigned_p1.0_r01_q0,selective_p1.0_r01,deranged,topology_06,1.0,0.2732651102220963,0.2432348161175837,384142e635e8ee283063feb657369f814034abfd9ecbeb2c03fbca7bcaf6d0d0,0.0
affinity_reassigned,affinity_reassigned,1,1,affinity_reassigned_p1.0_r01_q1,selective_p1.0_r01,deranged,topology_06,1.0,0.2692568817424245,0.2395763546779921,84d661c73fa4e3726354a6a36b1fe04c8f9535a827564512068fd06a57bd16c5,0.0
affinity_reassigned,affinity_reassigned,0,2,affinity_reassigned_p1.0_r02_q0,selective_p1.0_r02,deranged,topology_06,1.0,0.2519930092110061,0.2191471504778407,d1794c717d5fd6b694709f5ac9a459b9f95508bb202efb790da7a127732869df,0.0
affinity_reassigned,affinity_reassigned,1,2,affinity_reassigned_p1.0_r02_q1,selective_p1.0_r02,deranged,topology_06,1.0,0.2361433357546271,0.2028994038902513,9df9e9be66a8cfbcce33e6c7859eb05e0aee42c69575ce32aad4ea08d355372e,0.0
affinity_reassigned,affinity_reassigned,0,3,affinity_reassigned_p1.0_r03_q0,selective_p1.0_r03,deranged,topology_06,1.0,0.2559746440938374,0.2307749429952934,cc6fda47425b562b64fa70ea2787449e55d19645ed348cf19c4ded32de53604e,0.0
affinity_reassigned,affinity_reassigned,1,3,affinity_reassigned_p1.0_r03_q1,selective_p1.0_r03,deranged,topology_06,1.0,0.2508040679821512,0.2256950116438802,266298aea1e193a90578afc0c5e24704a6d06cd8971b5811f3c76928c611660c,0.0
affinity_reassigned,affinity_reassigned,0,4,affinity_reassigned_p1.0_r04_q0,selective_p1.0_r04,deranged,topology_06,1.0,0.2678190271424832,0.2409699606970586,bdbdd4e62edd63ae7a7184e22e3201f43a4ee14a2587d4444bacd97a19199063,0.0
affinity_reassigned,affinity_reassigned,1,4,affinity_reassigned_p1.0_r04_q1,selective_p1.0_r04,deranged,topology_06,1.0,0.256820808845687,0.2299759414888598,624b783f9bf51b2598a5217c0e0f265dbddf20502021fd146136cf0e0bbf85c8,0.0
