topology_id,topology_hash,categories_for_pairs_01_02_03_12_13_23,is_native,is_alternative_a,is_alternative_b,distance_from_native,distance_from_a,distance_from_b,n_promoting_directed,n_reducing_directed,n_neutral_directed
topology_00,d253ffe13e0e8e82dc7971c2b4239a6c56692b4ba59c91fd94da234e137991f1,NPPPPR,False,True,False,4,0,4,8,6,2
topology_01,682cc2fb2182cb2ddac1051464b8b967795364dca51acebebb3d9c1ef70c770d,NPPPRP,False,False,False,2,2,4,8,6,2
topology_02,a58e67dd7e00f02358485cea56cf200daf324c63752cb14555d9e63dcb804c90,NPPRPP,False,False,False,4,2,2,8,6,2
topology_03,4b2db9f5be507a184432701878f0ecb70b59fd7659f88c83f0f30ee15732c08f,NPRPPP,False,False,False,4,2,3,8,6,2
topology_04,ca33c9b06311c1f74d8b2879d64c65c5d44f28431d4d2a9212bfb6b30df33291,NRPPPP,False,False,False,3,2,4,8,6,2
topology_05,3c98431ad3212d6fb952bef96194cfef5c294238aa562e76602f16aa5e41ea33,PNPPPR,False,False,False,2,2,4,8,6,2
topology_06,a775f4bb6ba83f897d3817c13d0bece780a827fec97615afddcdbc563ef27611,PNPPRP,True,False,False,0,4,4,8,6,2
topology_07,c430718353e6b91ea6b255dbca3cd409cf057bbf6cd6e002bb70b05e9da78ef9,PNPRPP,False,False,False,2,4,2,8,6,2
topology_08,7820272876844e25b186c4f4ec5d06aaea708e7ff9f7eae90dad3d122127a53d,PNRPPP,False,False,False,2,4,3,8,6,2
topology_09,9da364b03b5e140d6a168f65f6454014f946702f6f275f5b7830d858dd12abce,PPNPPR,False,False,False,4,2,2,8,6,2
topology_10,359e4fd7b2f25fbf83c7279367bfe52b93275f2bb292d0c375e715b008c8f3d7,PPNPRP,False,False,False,2,4,2,8,6,2
topology_11,dc294200b1d6afc86f68f19ea0f40747bc957e52917f8cf6b4b77547239c19e5,PPNRPP,False,False,True,4,4,0,8,6,2
topology_12,211b891fc96332775929b6cf4682ba31c526cd665ede1c7478b6205ed49f2c0c,PPPNPR,False,False,False,4,2,3,8,6,2
topology_13,d564b4b8b607ac3d09d1a465051efa6ccdef8238c10c39545d6066209ed31587,PPPNRP,False,False,False,2,4,3,8,6,2
topology_14,d5433078d2ad1f6f3cab33e99e194b2beb33df9da1109a59564f301fee02b390,PPPPNR,False,False,False,3,2,4,8,6,2
topology_15,e9a99c5065258c9bf17cd069ecb0c1979b5f01ea02e157ec74466acf31d7ea47,PPPPRN,False,False,False,2,3,4,8,6,2
topology_16,129532cb491f7d97ecc74493921a65b9fbd4331ff92dbcbd692650cef1011ba1,PPPRNP,False,False,False,3,4,2,8,6,2
topology_17,fb01704cd297ce00c372b7fb66e5b548b7e87f93e7f820f1d2db633b0817f1ff,PPPRPN,False,False,False,4,3,2,8,6,2
topology_18,304dcb25d31ad2fbd65604715f0016f66139cb14510db12e02450ea1a5c1afa4,PPRNPP,False,False,False,4,4,2,8,6,2
topology_19,6fcd2cef94720032bfb34fba65f417d4a5783ee6d8db8c468fe0a58f7837630e,PPRPNP,False,False,False,3,4,3,8,6,2
topology_20,239cb069fd3e1b3c671458bd759d05a680d96ad635315b70c8c8724eb9313a41,PPRPPN,False,False,False,4,3,3,8,6,2
topology_21,86f5857686a1ccbd287179cb0997ad2567b8f9741d4fbf460a9e7ef80eaa9c5e,PRNPPP,False,False,False,3,4,2,8,6,2
topology_22,3c7507aa8660c64cf6b3ae843887d20d8cc04682e9af42ca7edf598d94e44716,PRPNPP,False,False,False,3,4,3,8,6,2
topology_23,43f1ec8802df3bdcdb79680105196e9f1a22c8f3bed37e1c6e9733374a5b5699,PRPPNP,False,False,False,2,4,4,8,6,2
topology_24,cdf99639917790a936703c1268607a19f8ebfd6135b6f91ad303b79f9a52bfec,PRPPPN,False,False,False,3,3,4,8,6,2
topology_25,fa7ff3978c4fa0283f21b85479da14ab0cbf6186d2fcdbc66e5d3e90595718d7,RNPPPP,False,False,False,2,3,4,8,6,2
topology_26,4517dd19cfa67d903b49d6913f1eb25aa4bbf5fc561ed808f1652ed1d6665b09,RPNPPP,False,False,False,4,3,2,8,6,2
topology_27,ff4172b6bd58a5c85c6814f11bc895b0b8575d6a328dd5f928087f4b87b33b6b,RPPNPP,False,False,False,4,3,3,8,6,2
topology_28,123583904262304412c816b9dae6c19747dca6b5de9fbe52fd43f460063cbc7d,RPPPNP,False,False,False,3,3,4,8,6,2
topology_29,06ec854c67aa11093d1bb932082bdce19a5041b6922b23e864a7d740f26673a5,RPPPPN,False,False,False,4,2,4,8,6,2
