design_id,stage,family,spec_json
A_p0_a0,A,,"{""b_ratio"": 1.6666666666666667, ""bias"": 2.0, ""fitness_mode"": ""count"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.001, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 0.4, ""penalty"": 0.5, ""penalty_ratio"": 0.25, ""reward"": 2.0, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 0.0, ""sigma_ratio"": 0, ""stride"": 1, ""temperature"": 1.2}"
A_p0_a1,A,,"{""b_ratio"": 1.6666666666666667, ""bias"": 2.0, ""fitness_mode"": ""count"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.001, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 0.4, ""penalty"": 0.5, ""penalty_ratio"": 0.25, ""reward"": 2.0, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 0.54, ""sigma_ratio"": 0.45, ""stride"": 1, ""temperature"": 1.2}"
A_p0_a2,A,,"{""b_ratio"": 1.6666666666666667, ""bias"": 2.0, ""fitness_mode"": ""count"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.001, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 0.4, ""penalty"": 0.5, ""penalty_ratio"": 0.25, ""reward"": 2.0, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 1.08, ""sigma_ratio"": 0.9, ""stride"": 1, ""temperature"": 1.2}"
A_p0_a3,A,,"{""b_ratio"": 1.6666666666666667, ""bias"": 2.0, ""fitness_mode"": ""count"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.001, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 0.4, ""penalty"": 0.5, ""penalty_ratio"": 0.25, ""reward"": 2.0, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 1.62, ""sigma_ratio"": 1.35, ""stride"": 1, ""temperature"": 1.2}"
A_p1_a0,A,,"{""b_ratio"": 1.6666666666666667, ""bias"": 2.0, ""fitness_mode"": ""count"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.001, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 0.6, ""penalty"": 0.5, ""penalty_ratio"": 0.25, ""reward"": 2.0, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 0.0, ""sigma_ratio"": 0, ""stride"": 1, ""temperature"": 1.2}"
A_p1_a1,A,,"{""b_ratio"": 1.6666666666666667, ""bias"": 2.0, ""fitness_mode"": ""count"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.001, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 0.6, ""penalty"": 0.5, ""penalty_ratio"": 0.25, ""reward"": 2.0, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 0.54, ""sigma_ratio"": 0.45, ""stride"": 1, ""temperature"": 1.2}"
A_p1_a2,A,,"{""b_ratio"": 1.6666666666666667, ""bias"": 2.0, ""fitness_mode"": ""count"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.001, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 0.6, ""penalty"": 0.5, ""penalty_ratio"": 0.25, ""reward"": 2.0, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 1.08, ""sigma_ratio"": 0.9, ""stride"": 1, ""temperature"": 1.2}"
A_p1_a3,A,,"{""b_ratio"": 1.6666666666666667, ""bias"": 2.0, ""fitness_mode"": ""count"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.001, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 0.6, ""penalty"": 0.5, ""penalty_ratio"": 0.25, ""reward"": 2.0, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 1.62, ""sigma_ratio"": 1.35, ""stride"": 1, ""temperature"": 1.2}"
A_p2_a0,A,,"{""b_ratio"": 1.6666666666666667, ""bias"": 2.0, ""fitness_mode"": ""count"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.001, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 0.75, ""penalty"": 0.5, ""penalty_ratio"": 0.25, ""reward"": 2.0, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 0.0, ""sigma_ratio"": 0, ""stride"": 1, ""temperature"": 1.2}"
A_p2_a1,A,,"{""b_ratio"": 1.6666666666666667, ""bias"": 2.0, ""fitness_mode"": ""count"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.001, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 0.75, ""penalty"": 0.5, ""penalty_ratio"": 0.25, ""reward"": 2.0, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 0.54, ""sigma_ratio"": 0.45, ""stride"": 1, ""temperature"": 1.2}"
A_p2_a2,A,,"{""b_ratio"": 1.6666666666666667, ""bias"": 2.0, ""fitness_mode"": ""count"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.001, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 0.75, ""penalty"": 0.5, ""penalty_ratio"": 0.25, ""reward"": 2.0, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 1.08, ""sigma_ratio"": 0.9, ""stride"": 1, ""temperature"": 1.2}"
