design_id,stage,family,spec_json,n,identity_exact,corrected_information_mean,corrected_information_low,corrected_information_high,value_of_information_mean,value_of_information_low,value_of_information_high,adaptive_gain_mean,adaptive_gain_low,adaptive_gain_high,regime,boundary_distance,provisional,depth,b_ratio,bias,fitness_mode,floor,jitter,motif_length,mutation_rate,n_cells,n_gens,n_metabolites,n_segments,n_seqs,p,penalty,penalty_ratio,reward,segment_order,seq_len,sigma,sigma_ratio,stride,temperature
B2_default,B2,anchor,"{""b_ratio"": 1.6666666666666667, ""bias"": 2.0, ""fitness_mode"": ""count"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.001, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 1.0, ""penalty"": 0.5, ""penalty_ratio"": 0.25, ""reward"": 2.0, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 1.0, ""sigma_ratio"": 0.8333333333333334, ""stride"": 1, ""temperature"": 1.2}",4,True,0.2372501661206662,0.2260065033796672,0.2484938288616653,11.901863606770831,10.604003906249991,13.19972330729167,4.15457682291667,2.4593815104166694,5.643580729166668,R3_strong_adaptation,3.1545768229166704,R3_strong_adaptation,3.1545768229166704,1.6666666666666667,2.0,count,0.1,0,5,0.001,80,150,4,4,8,1.0,0.5,0.25,2.0,native,60,1.0,0.8333333333333334,1,1.2
B2_floor0,B2,fitness,"{""b_ratio"": 1.6666666666666667, ""bias"": 2.0, ""fitness_mode"": ""count"", ""floor"": 0, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.001, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 1.0, ""penalty"": 0.5, ""penalty_ratio"": 0.25, ""reward"": 2.0, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 1.0, ""sigma_ratio"": 0.8333333333333334, ""stride"": 1, ""temperature"": 1.2}",4,True,0.259637704172465,0.2456960639486803,0.2731917871551076,12.369978841145835,11.904286024305552,12.835671657986117,4.159791666666669,3.5650390625000075,4.76274739583334,R3_strong_adaptation,3.1597916666666688,R3_strong_adaptation,3.1597916666666688,1.6666666666666667,2.0,count,0.0,0,5,0.001,80,150,4,4,8,1.0,0.5,0.25,2.0,native,60,1.0,0.8333333333333334,1,1.2
B2_floor1,B2,fitness,"{""b_ratio"": 1.6666666666666667, ""bias"": 2.0, ""fitness_mode"": ""count"", ""floor"": 1, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.001, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 1.0, ""penalty"": 0.5, ""penalty_ratio"": 0.25, ""reward"": 2.0, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 1.0, ""sigma_ratio"": 0.8333333333333334, ""stride"": 1, ""temperature"": 1.2}",4,True,0.2679005608381006,0.2465187139700509,0.2883102456398248,12.24102376302083,11.491311306423611,12.66063910590277,4.538639322916669,3.859915364583335,5.395247395833335,R3_strong_adaptation,3.5386393229166693,R3_strong_adaptation,3.5386393229166693,1.6666666666666667,2.0,count,1.0,0,5,0.001,80,150,4,4,8,1.0,0.5,0.25,2.0,native,60,1.0,0.8333333333333334,1,1.2
B2_fraction,B2,fitness,"{""b_ratio"": 1.6666666666666667, ""bias"": 2.0, ""fitness_mode"": ""fraction"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.001, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 1.0, ""penalty"": 0.5, ""penalty_ratio"": 0.25, ""reward"": 2.0, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 1.0, ""sigma_ratio"": 0.8333333333333334, ""stride"": 1, ""temperature"": 1.2}",4,True,0.2469533310136154,0.2243083330872423,0.2647764247605172,0.1709966856060605,0.1282247770675504,0.2199872257733585,0.0417872869318183,0.0059126420454547,0.0850875946969699,R1_syntactic_only,0.3160132575757577,R1_syntactic_only,0.3160132575757577,1.6666666666666667,2.0,fraction,0.1,0,5,0.001,80,150,4,4,8,1.0,0.5,0.25,2.0,native,60,1.0,0.8333333333333334,1,1.2
B2_jitter,B2,position,"{""b_ratio"": 1.6666666666666667, ""bias"": 2.0, ""fitness_mode"": ""count"", ""floor"": 0.1, ""jitter"": 2, ""motif_length"": 5, ""mutation_rate"": 0.001, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 1.0, ""penalty"": 0.5, ""penalty_ratio"": 0.25, ""reward"": 2.0, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 1.0, ""sigma_ratio"": 0.8333333333333334, ""stride"": 1, ""temperature"": 1.2}",4,True,0.2591256392728427,0.2440270725372699,0.2731132896013678,11.64611273871528,11.12449544270834,12.167730034722222,4.434355468750001,3.68889322916667,5.179817708333331,R3_strong_adaptation,3.4343554687500006,R3_strong_adaptation,3.4343554687500006,1.6666666666666667,2.0,count,0.1,2,5,0.001,80,150,4,4,8,1.0,0.5,0.25,2.0,native,60,1.0,0.8333333333333334,1,1.2
B2_met3,B2,metabolite,"{""b_ratio"": 1.6666666666666667, ""bias"": 2.0, ""fitness_mode"": ""count"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.001, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 3, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 1.0, ""penalty"": 0.5, ""penalty_ratio"": 0.25, ""reward"": 2.0, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 1.0, ""sigma_ratio"": 0.8333333333333334, ""stride"": 1, ""temperature"": 1.2}",4,True,0.2205767529231519,0.2006022600844332,0.2518738854162098,14.815597873263886,14.21165635850694,15.6248291015625,5.676477864583332,5.1122265625,6.240729166666664,R3_strong_adaptation,4.676477864583332,R3_strong_adaptation,4.676477864583332,1.6666666666666667,2.0,count,0.1,0,5,0.001,80,150,3,4,8,1.0,0.5,0.25,2.0,native,60,1.0,0.8333333333333334,1,1.2
B2_met6,B2,metabolite,"{""b_ratio"": 1.6666666666666667, ""bias"": 2.0, ""fitness_mode"": ""count"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.001, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 6, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 1.0, ""penalty"": 0.5, ""penalty_ratio"": 0.25, ""reward"": 2.0, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 1.0, ""sigma_ratio"": 0.8333333333333334, ""stride"": 1, ""temperature"": 1.2}",4,True,0.2931544366687452,0.27403928729694,0.3096950645568759,7.874351671006949,6.975718858506951,8.468332248263895,2.852395833333333,1.4258528645833373,3.8363867187500023,R3_strong_adaptation,1.8523958333333328,R3_strong_adaptation,1.8523958333333328,1.6666666666666667,2.0,count,0.1,0,5,0.001,80,150,6,4,8,1.0,0.5,0.25,2.0,native,60,1.0,0.8333333333333334,1,1.2
B2_penaltyhigh,B2,fitness,"{""b_ratio"": 1.6666666666666667, ""bias"": 2.0, ""fitness_mode"": ""count"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.001, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 1.0, ""penalty"": 1.0, ""penalty_ratio"": 0.5, ""reward"": 2.0, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 1.0, ""sigma_ratio"": 0.8333333333333334, ""stride"": 1, ""temperature"": 1.2}",4,True,0.2576906080235721,0.2361377039759011,0.2792435120712431,16.63591579861111,16.124398871527774,17.356813151041663,5.503645833333334,4.662942708333333,6.696888020833328,R3_strong_adaptation,4.503645833333334,R3_strong_adaptation,4.503645833333334,1.6666666666666667,2.0,count,0.1,0,5,0.001,80,150,4,4,8,1.0,1.0,0.5,2.0,native,60,1.0,0.8333333333333334,1,1.2
B2_penaltylow,B2,fitness,"{""b_ratio"": 1.6666666666666667, ""bias"": 2.0, ""fitness_mode"": ""count"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.001, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 1.0, ""penalty"": 0.2, ""penalty_ratio"": 0.1, ""reward"": 2.0, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 1.0, ""sigma_ratio"": 0.8333333333333334, ""stride"": 1, ""temperature"": 1.2}",4,True,0.2423456157702354,0.2232114461610475,0.2614797853794233,10.284009331597224,9.50965277777778,11.05836588541667,3.350666666666662,2.700296874999996,4.024624999999997,R3_strong_adaptation,2.350666666666662,R3_strong_adaptation,2.350666666666662,1.6666666666666667,2.0,count,0.1,0,5,0.001,80,150,4,4,8,1.0,0.2,0.1,2.0,native,60,1.0,0.8333333333333334,1,1.2
B2_reverse,B2,position,"{""b_ratio"": 1.6666666666666667, ""bias"": 2.0, ""fitness_mode"": ""count"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.001, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 1.0, ""penalty"": 0.5, ""penalty_ratio"": 0.25, ""reward"": 2.0, ""segment_order"": ""reverse"", ""seq_len"": 60, ""sigma"": 1.0, ""sigma_ratio"": 0.8333333333333334, ""stride"": 1, ""temperature"": 1.2}",4,True,0.2480858351022703,0.2225756669217254,0.27019181775722,12.263793945312498,11.45274522569444,13.074842664930555,4.919316406250001,4.010039062500002,6.143001302083336,R3_strong_adaptation,3.919316406250001,R3_strong_adaptation,3.919316406250001,1.6666666666666667,2.0,count,0.1,0,5,0.001,80,150,4,4,8,1.0,0.5,0.25,2.0,reverse,60,1.0,0.8333333333333334,1,1.2
