confirm_id,design_id,condition,baseline_replicate,replicate,map_id,map_hash,method,endpoint_type,actual_groups,retained_information,baseline_information,continuation_index,viability,final_population_hash
D0,A_high_2,selective,D0_r07,7,actual,actual,unintervened,actual,1024,0.3176800486041587,0.3176800486041587,0,12.669956597222223,9b07aa7533e31b1a6a4b6ad9e36ec01dac1204e37d3cc6aa1c43c2cb3ed376e3
D0,A_high_2,selective,D0_r07,7,m000_constant,9f1dcbc35c350d6027f98be0f5c8b43b42ca52b7604459c0c42be3aa88913d47,constant,constant,1,0.0,0.3176800486041587,0,8.227482638888887,144d4c0ff4eb19fd6f79134b51b1af224363d08da847cb73ad45e98dc9314369
D0,A_high_2,selective,D0_r07,7,m001_balanced_random_group,f9a61013dcfd5168cfac382b0103ebc61175babf90ead3fb241727582f7ebff8,balanced_random_group,intermediate,2,0.00043992715230280156,0.3176800486041587,0,8.271315104166668,fa353f98bd2285ce6082d10fa61686bc9c27fa3e808dd0cad2ac1f9fd55aef23
D0,A_high_2,selective,D0_r07,7,m002_affinity_rank_group,3f53151fb2f814971fd6c0128c5c0b7afe1b5cb5257e46a1db18b8ebc9946d94,affinity_rank_group,intermediate,2,0.000602039816150039,0.3176800486041587,0,8.243120659722225,84939e685fb279e4587661155ca2352c96a47c7356219e4930016ae833058bc6
D0,A_high_2,selective,D0_r07,7,m003_balanced_random_group,c3045d2c1c1e20ffe9a4bb2a2e96a1861dba82bdee39680a0c34776015233f77,balanced_random_group,intermediate,4,0.000991090476996204,0.3176800486041587,0,8.23240451388889,a203a4e2d7e6a3d4f7ad032bd752499acae91ba985d45a354d2ef6b82ac08997
D0,A_high_2,selective,D0_r07,7,m004_affinity_rank_group,92e56b0f11cdce879476507882d715f1eecc12de134fc3982530e28ffd4eba29,affinity_rank_group,intermediate,4,0.001481099793845324,0.3176800486041587,0,8.239101562500004,55efb0674e32c7a6d157ad190eb06174fdf973e915f8d82a3d43db7fcc0be90b
D0,A_high_2,selective,D0_r07,7,m005_balanced_random_group,04a74209e8dcd69b7ec938b6492b48b960e41d4a73c85f733213da8532e73d49,balanced_random_group,intermediate,8,0.002585164106495078,0.3176800486041587,0,8.274149305555556,b7a1c9e7900c2559ba00e3b27e4ff224280984cac2fea7bd59979ce92c25b4ad
D0,A_high_2,selective,D0_r07,7,m006_affinity_rank_group,0a19adabdd017fc722384804e89caf4ecf35837689486f63c24094087da5c2ba,affinity_rank_group,intermediate,8,0.002396007781393133,0.3176800486041587,0,8.257100694444444,fd3feb9adac4eccb259d529eaef5136eac01e8ad7cdae1ce0fec2b64bbe16a49
D0,A_high_2,selective,D0_r07,7,m007_balanced_random_group,848d2d075b0b38086c555c9d0d8524dccec4f14f30d66b4673f732303caf3b02,balanced_random_group,intermediate,16,0.005120137354932048,0.3176800486041587,0,8.285516493055557,67267fcaf08cf88246fb6b9d42305dc4f084a4f0e79db57498b8020f31962544
D0,A_high_2,selective,D0_r07,7,m008_affinity_rank_group,d176c8d0ee881709b5af7061b49578d8041bef9dde73ceb9e47e4dd86f7ee987,affinity_rank_group,intermediate,16,0.005257309738163899,0.3176800486041587,0,8.31224826388889,2e9392239202cfdf10661545286c238145f79d2e1e7c2d8166b507d5dffb3464
