source_file,seed_block,control_or_reference,value_of_information
results/phase5_causal_specificity/gate5_seed_block_metrics.csv,0,native_full_voi,12.646267361111107
results/phase5_causal_specificity/gate5_seed_block_metrics.csv,1,native_full_voi,12.176074218750014
results/phase5_causal_specificity/gate5_seed_block_metrics.csv,2,native_full_voi,11.21075303819444
results/phase5_causal_specificity/gate5_seed_block_metrics.csv,3,native_full_voi,9.093229166666667
results/phase5_causal_specificity/gate5_seed_block_metrics.csv,4,native_full_voi,13.007866753472223
results/phase5_causal_specificity/gate5_seed_block_metrics.csv,5,native_full_voi,12.749728732638893
results/phase5_causal_specificity/gate5_seed_block_metrics.csv,6,native_full_voi,10.9703342013889
results/phase5_causal_specificity/gate5_seed_block_metrics.csv,7,native_full_voi,10.11756727430555
results/phase5_causal_specificity/gate5_seed_block_metrics.csv,8,native_full_voi,13.323404947916671
results/phase5_causal_specificity/gate5_seed_block_metrics.csv,9,native_full_voi,10.53030598958334
results/phase5_causal_specificity/gate5_seed_block_metrics.csv,10,native_full_voi,11.791861979166669
results/phase5_causal_specificity/gate5_seed_block_metrics.csv,11,native_full_voi,11.993988715277773
results/phase5_causal_specificity/gate5_seed_block_metrics.csv,12,native_full_voi,13.624989149305556
results/phase5_causal_specificity/gate5_seed_block_metrics.csv,13,native_full_voi,11.679079861111106
results/phase5_causal_specificity/gate5_seed_block_metrics.csv,14,native_full_voi,12.938085937499991
results/phase5_causal_specificity/gate5_seed_block_metrics.csv,15,native_full_voi,12.620898437500005
results/phase5_causal_specificity/gate5_seed_block_metrics.csv,16,native_full_voi,13.36407335069444
results/phase5_causal_specificity/gate5_seed_block_metrics.csv,17,native_full_voi,13.595974392361107
results/phase5_causal_specificity/gate5_seed_block_metrics.csv,18,native_full_voi,9.828884548611114
results/phase5_causal_specificity/gate5_seed_block_metrics.csv,19,native_full_voi,10.880360243055552
results/phase5_causal_specificity/gate5_seed_block_metrics.csv,0,selection_neutral,7.055577256944439
