record_type,inherit_prob,metric,statistic,observed_difference,p_value_two_sided,group_a,group_b,n_group_a,n_group_b,n_permutations,exact,paired,analysis_unit,status,q_value_bh_across_fidelities,condition,estimate,confidence_level,lower,upper,n_independent_replicates,n_bootstrap,note,n_target_reached,n_right_censored,target_reached_fraction
replicate_permutation,0.1,corrected_conditional_information,mean_difference,0.2164200695173881,0.0001,selective,control,20.0,20.0,9999.0,False,False,independently evolved baseline replicate,performed,0.0001,,,,,,,,,,,
replicate_permutation,0.1,value_of_information,mean_difference,5.717515733506947,0.0001,selective,control,20.0,20.0,9999.0,False,False,independently evolved baseline replicate,performed,0.0001,,,,,,,,,,,
replicate_permutation,0.1,semantic_information,mean_difference,0.5048043369723187,0.0001,selective,control,20.0,20.0,9999.0,False,False,independently evolved baseline replicate,performed,0.0001,,,,,,,,,,,
replicate_permutation,0.2,corrected_conditional_information,mean_difference,0.2168436444299115,0.0001,selective,control,20.0,20.0,9999.0,False,False,independently evolved baseline replicate,performed,0.0001,,,,,,,,,,,
replicate_permutation,0.2,value_of_information,mean_difference,5.735029839409727,0.0001,selective,control,20.0,20.0,9999.0,False,False,independently evolved baseline replicate,performed,0.0001,,,,,,,,,,,
replicate_permutation,0.2,semantic_information,mean_difference,0.5048469029731856,0.0001,selective,control,20.0,20.0,9999.0,False,False,independently evolved baseline replicate,performed,0.0001,,,,,,,,,,,
replicate_permutation,0.3,corrected_conditional_information,mean_difference,0.2135363960416361,0.0001,selective,control,20.0,20.0,9999.0,False,False,independently evolved baseline replicate,performed,0.0001,,,,,,,,,,,
replicate_permutation,0.3,value_of_information,mean_difference,5.732299262152779,0.0001,selective,control,20.0,20.0,9999.0,False,False,independently evolved baseline replicate,performed,0.0001,,,,,,,,,,,
replicate_permutation,0.3,semantic_information,mean_difference,0.5016032876995838,0.0001,selective,control,20.0,20.0,9999.0,False,False,independently evolved baseline replicate,performed,0.0001,,,,,,,,,,,
replicate_permutation,0.4,corrected_conditional_information,mean_difference,0.2138000768523346,0.0001,selective,control,20.0,20.0,9999.0,False,False,independently evolved baseline replicate,performed,0.0001,,,,,,,,,,,
replicate_permutation,0.4,value_of_information,mean_difference,5.748680555555555,0.0001,selective,control,20.0,20.0,9999.0,False,False,independently evolved baseline replicate,performed,0.0001,,,,,,,,,,,
replicate_permutation,0.4,semantic_information,mean_difference,0.5018592650603815,0.0001,selective,control,20.0,20.0,9999.0,False,False,independently evolved baseline replicate,performed,0.0001,,,,,,,,,,,
replicate_permutation,0.5,corrected_conditional_information,mean_difference,0.2184638597439246,0.0001,selective,control,20.0,20.0,9999.0,False,False,independently evolved baseline replicate,performed,0.0001,,,,,,,,,,,
replicate_permutation,0.5,value_of_information,mean_difference,5.759677191840278,0.0001,selective,control,20.0,20.0,9999.0,False,False,independently evolved baseline replicate,performed,0.0001,,,,,,,,,,,
replicate_permutation,0.5,semantic_information,mean_difference,0.5030571353215119,0.0001,selective,control,20.0,20.0,9999.0,False,False,independently evolved baseline replicate,performed,0.0001,,,,,,,,,,,
replicate_permutation,0.6,corrected_conditional_information,mean_difference,0.2167095430501752,0.0001,selective,control,20.0,20.0,9999.0,False,False,independently evolved baseline replicate,performed,0.0001,,,,,,,,,,,
replicate_permutation,0.6,value_of_information,mean_difference,5.761606987847222,0.0001,selective,control,20.0,20.0,9999.0,False,False,independently evolved baseline replicate,performed,0.0001,,,,,,,,,,,
replicate_permutation,0.6,semantic_information,mean_difference,0.4998103370089571,0.0001,selective,control,20.0,20.0,9999.0,False,False,independently evolved baseline replicate,performed,0.0001,,,,,,,,,,,
replicate_permutation,0.7,corrected_conditional_information,mean_difference,0.2168544051983333,0.0001,selective,control,20.0,20.0,9999.0,False,False,independently evolved baseline replicate,performed,0.0001,,,,,,,,,,,
replicate_permutation,0.7,value_of_information,mean_difference,5.815589735243055,0.0001,selective,control,20.0,20.0,9999.0,False,False,independently evolved baseline replicate,performed,0.0001,,,,,,,,,,,
replicate_permutation,0.7,semantic_information,mean_difference,0.4960115700932005,0.0001,selective,control,20.0,20.0,9999.0,False,False,independently evolved baseline replicate,performed,0.0001,,,,,,,,,,,
replicate_permutation,0.8,corrected_conditional_information,mean_difference,0.2181065621129336,0.0001,selective,control,20.0,20.0,9999.0,False,False,independently evolved baseline replicate,performed,0.0001,,,,,,,,,,,
replicate_permutation,0.8,value_of_information,mean_difference,5.939152560763888,0.0001,selective,control,20.0,20.0,9999.0,False,False,independently evolved baseline replicate,performed,0.0001,,,,,,,,,,,
replicate_permutation,0.8,semantic_information,mean_difference,0.4865722913359799,0.0001,selective,control,20.0,20.0,9999.0,False,False,independently evolved baseline replicate,performed,0.0001,,,,,,,,,,,
replicate_permutation,0.9,corrected_conditional_information,mean_difference,0.2218580772228219,0.0001,selective,control,20.0,20.0,9999.0,False,False,independently evolved baseline replicate,performed,0.0001,,,,,,,,,,,
replicate_permutation,0.9,value_of_information,mean_difference,6.484306640625,0.0001,selective,control,20.0,20.0,9999.0,False,False,independently evolved baseline replicate,performed,0.0001,,,,,,,,,,,
replicate_permutation,0.9,semantic_information,mean_difference,0.4533077553677674,0.0001,selective,control,20.0,20.0,9999.0,False,False,independently evolved baseline replicate,performed,0.0001,,,,,,,,,,,
replicate_permutation,1.0,corrected_conditional_information,mean_difference,0.2534182739942556,0.0001,selective,control,20.0,20.0,9999.0,False,False,independently evolved baseline replicate,performed,0.0001,,,,,,,,,,,
replicate_permutation,1.0,value_of_information,mean_difference,11.907186414930557,0.0001,selective,control,20.0,20.0,9999.0,False,False,independently evolved baseline replicate,performed,0.0001,,,,,,,,,,,
replicate_permutation,1.0,semantic_information,mean_difference,0.2836315815180211,0.0001,selective,control,20.0,20.0,9999.0,False,False,independently evolved baseline replicate,performed,0.0001,,,,,,,,,,,
block_bootstrap_interval,0.1,reach_fraction,,,,,,,,,,,,,,control,1.0,0.95,1.0,1.0,20.0,2000.0,All independent replicates; censoring retained as target_reached=False.,,,
block_bootstrap_interval,0.1,median_semantic_information_among_reached,,,,,,,,,,,,,,control,0.0,0.95,0.0,0.0,20.0,2000.0,Conditional on target-reached replicates; censored values are not imputed.,,,
block_bootstrap_interval,0.1,median_censored_lower_bound,,,,,,,,,,,,,,control,,0.95,,,20.0,2000.0,Conditional on right-censored replicates; reports their tested lower bounds.,,,
block_bootstrap_interval,0.1,mean_value_of_information,,,,,,,,,,,,,,control,0.0,0.95,0.0,0.0,20.0,2000.0,Defined for every independent replicate.,,,
block_bootstrap_interval,0.1,reach_fraction,,,,,,,,,,,,,,selective,1.0,0.95,1.0,1.0,20.0,2000.0,All independent replicates; censoring retained as target_reached=False.,,,
block_bootstrap_interval,0.1,median_semantic_information_among_reached,,,,,,,,,,,,,,selective,0.5036152853168294,0.95,0.5015471469611852,0.5071521416439092,20.0,2000.0,Conditional on target-reached replicates; censored values are not imputed.,,,
block_bootstrap_interval,0.1,median_censored_lower_bound,,,,,,,,,,,,,,selective,,0.95,,,20.0,2000.0,Conditional on right-censored replicates; reports their tested lower bounds.,,,
block_bootstrap_interval,0.1,mean_value_of_information,,,,,,,,,,,,,,selective,5.717515733506947,0.95,5.687267849392363,5.747255995008683,20.0,2000.0,Defined for every independent replicate.,,,
block_bootstrap_interval,0.2,reach_fraction,,,,,,,,,,,,,,control,1.0,0.95,1.0,1.0,20.0,2000.0,All independent replicates; censoring retained as target_reached=False.,,,
block_bootstrap_interval,0.2,median_semantic_information_among_reached,,,,,,,,,,,,,,control,0.0,0.95,0.0,4.0042831297686464e-17,20.0,2000.0,Conditional on target-reached replicates; censored values are not imputed.,,,
block_bootstrap_interval,0.2,median_censored_lower_bound,,,,,,,,,,,,,,control,,0.95,,,20.0,2000.0,Conditional on right-censored replicates; reports their tested lower bounds.,,,
