condition_selective,viability_def_selective,inherit_prob,analysis_set_selective,methods_selective,syntactic_info_mean_selective,semantic_info_mean_selective,semantic_efficiency_mean_selective,value_of_information_mean_selective,actual_viability_mean_selective,frontier_max_viability_selective,frontier_reaches_target_selective,n_intervention_points_selective,condition_control,viability_def_control,analysis_set_control,methods_control,syntactic_info_mean_control,semantic_info_mean_control,semantic_efficiency_mean_control,value_of_information_mean_control,actual_viability_mean_control,frontier_max_viability_control,frontier_reaches_target_control,n_intervention_points_control,viability_def,syntactic_semantic_gap_selective,syntactic_semantic_gap_control,semantic_info_selective_minus_control,value_of_information_selective_minus_control
selective,excess_over_control,0.1,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.2590564452913007,0.2081251286118625,0.8033968364609978,6.069566514756943,5.825425889756943,2.049544270833337,False,504,control,excess_over_control,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.0638127425862303,0.0,0.0,0.3097900390625021,0.0064697265625,0.2916992187500007,True,504,excess_over_control,0.05093131667943818,0.0638127425862303,0.2081251286118625,5.759776475694441
selective,excess_over_control,0.2,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.2604079629789045,0.2083263703831236,0.8,5.967610677083332,5.7998046875,2.1656249999999986,False,504,control,excess_over_control,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.0645675557812929,0.0,0.0,0.2900661892361107,0.0190700954861107,0.3232747395833328,True,504,excess_over_control,0.05208159259578091,0.0645675557812929,0.2083263703831236,5.677544487847221
selective,excess_over_control,0.3,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.2627322615093242,0.2106735553220085,0.8018564378494943,5.9449300130208345,5.700984700520832,2.0624348958333343,False,504,control,excess_over_control,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.0666244653818895,0.0,0.0,0.3618760850694438,0.0393174913194445,0.3469726562499957,True,504,excess_over_control,0.05205870618731573,0.0666244653818895,0.2106735553220085,5.583053927951391
selective,excess_over_control,0.4,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.2623170130023624,0.2104407631524343,0.8022383327098158,5.978930664062498,5.795467122395833,2.079850260416663,False,504,control,excess_over_control,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.0693488977421827,0.0,0.0,0.3223198784722202,-0.0461697048611119,0.3666666666666636,True,504,excess_over_control,0.051876249849928086,0.0693488977421827,0.2104407631524343,5.656610785590278
selective,excess_over_control,0.5,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.2677003375542935,0.2169620552452598,0.8104661250240552,6.120274522569446,5.804942491319444,2.134798177083333,False,504,control,excess_over_control,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.075201337213682,0.0,0.0,0.2949055989583303,0.0310384114583331,0.3169596354166657,True,504,excess_over_control,0.05073828230903371,0.075201337213682,0.2169620552452598,5.825368923611116
selective,excess_over_control,0.6,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.2735752968414793,0.2219611089949255,0.8113346181381971,6.122555881076394,5.816370985243058,2.1125000000000007,False,504,control,excess_over_control,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.0826180330645641,0.0,0.0,0.3276557074652748,-0.0164198133680573,0.2472330729166607,True,504,excess_over_control,0.051614187846553805,0.0826180330645641,0.2219611089949255,5.794900173611119
selective,excess_over_control,0.7,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.2851008181190562,0.2339514419936457,0.8205919700165475,6.041674804687498,5.773413085937501,2.17454427083333,False,504,control,excess_over_control,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.0980010305857116,0.0,0.0,0.3309027777777782,0.0088650173611117,0.3180338541666643,True,504,excess_over_control,0.051149376125410484,0.0980010305857116,0.2339514419936457,5.71077202690972
selective,excess_over_control,0.8,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.3103029321509317,0.2487999874415179,0.801797088145146,6.154882812499992,5.872037760416664,2.117871093749997,False,504,control,excess_over_control,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.1300643968532897,0.0,0.0,0.3154866536458325,-0.0396891276041682,0.3989908854166728,True,504,excess_over_control,0.06150294470941378,0.1300643968532897,0.2487999874415179,5.83939615885416
selective,excess_over_control,0.9,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.3813416550130666,0.3142310785269381,0.8240145664552985,6.865828450520836,6.7610107421875005,2.429654947916664,False,504,control,excess_over_control,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.2115376593766441,0.0,0.0,0.353314887152773,0.0439073350694444,0.394628906249995,True,504,excess_over_control,0.0671105764861285,0.2115376593766441,0.3142310785269381,6.5125135633680635
selective,excess_over_control,1.0,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.5239127049008296,0.4392841163903315,0.8384681499057801,11.975124782986114,11.154584418402775,4.835253906249999,False,504,control,excess_over_control,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.4753794860799237,0.0,0.0,0.3079671223958342,0.0284749348958334,0.3036783854166671,True,504,excess_over_control,0.08462858851049815,0.4753794860799237,0.4392841163903315,11.66715766059028
selective,mean_future_fitness,0.1,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.2598119232069511,0.209346601057426,0.8057621008050224,5.916927083333331,32.884667968749994,29.23518880208333,False,504,control,mean_future_fitness,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.0642713598340442,0.0,0.0,0.2606445312499978,27.133365885416666,27.421647135416663,True,504,mean_future_fitness,0.05046532214952512,0.0642713598340442,0.209346601057426,5.656282552083333
